,artist,date,rank,song
58,KEVIN GATES,2016-04-16,59 ,Really Really
59,OLD DOMINION,2016-04-16,60 ,Snapback
60,BLAKE SHELTON,2016-04-16,61 ,Came Here To Forget
61,TAYLOR SWIFT,2016-04-16,62 ,New Romantics
62,ROBIN SCHULZ featuring FRANCESCO YATES,2016-04-16,63 ,Sugar
63,RIHANNA,2016-04-16,64 ,Needed Me
64,YOUNG THUG,2016-04-16,65 ,Best Friend
65,JUSTIN BIEBER,2016-04-16,66 ,Company
66,RUTH B,2016-04-16,67 ,Lost Boy
67,O.T. GENASIS featuring YOUNG DOLPH,2016-04-16,68 ,Cut It
68,DISTURBED,2016-04-16,69 ,The Sound Of Silence
69,KID INK featuring FETTY WAP,2016-04-16,70 ,Promise
70,SIA featuring SEAN PAUL,2016-04-16,71 ,Cheap Thrills
71,ZAC BROWN BAND,2016-04-16,72 ,Beautiful Drug
72,THE WEEKND,2016-04-16,73 ,Acquainted
73,THOMAS RHETT,2016-04-16,74 ,T-Shirt
74,CARRIE UNDERWOOD,2016-04-16,75 ,Heartbeat
75,COLDPLAY,2016-04-16,76 ,Adventure Of A Lifetime
76,RACHEL PLATTEN,2016-04-16,77 ,Stand By You
77,KELLY CLARKSON,2016-04-16,78 ,Piece By Piece
78,FETTY WAP,2016-04-16,79 ,Jimmy Choo
79,GWEN STEFANI,2016-04-16,80 ,Make Me Like You
80,BELLY featuring THE WEEKND,2016-04-16,81 ,Might Not
81,CHRIS STAPLETON,2016-04-16,82 ,Nobody To Blame
82,LUKE NASTY,2016-04-16,83 ,Might Be
83,DUSTIN LYNCH,2016-04-16,84 ,Mind Reader
84,CHASE BRYANT,2016-04-16,85 ,Little Bit Of You
85,SHAKIRA,2016-04-16,86 ,Try Everything
86,ELLIE GOULDING,2016-04-16,87 ,Something In The Way You Move
87,SHAWN MENDES & CAMILA CABELLO,2016-04-16,88 ,I Know What You Did Last Summer
88,TY DOLLA $IGN featuring E-40,2016-04-16,89 ,Saved
89,LEE BRICE,2016-04-16,90 ,That Don't Sound Like You
90,LUKE BRYAN featuring KAREN FAIRCHILD,2016-04-16,91 ,Home Alone Tonight
91,JON PARDI,2016-04-16,92 ,Head Over Boots
92,ZAYN,2016-04-16,93 ,Like I Would
93,GRANGER SMITH,2016-04-16,94 ,Backroad Song
94,MAJOR LAZER featuring NYLA,2016-04-16,95 ,Light It Up
95,TWENTY ONE PILOTS,2016-04-16,96 ,Ride
96,ZENDAYA featuring CHRIS BROWN,2016-04-16,97 ,Something New
97,DREEZY featuring JEREMIH,2016-04-16,98 ,Body
98,BRYSON TILLER,2016-04-16,99 ,Sorry Not Sorry
99,JONAS BLUE featuring DAKOTA,2016-04-16,100,Fast Car
