,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0
12,25.0,24.0,24.0,32.0,41.0,54.0,63.0
13,24.0,24.0,32.0,41.0,54.0,63.0,72.0
14,24.0,32.0,41.0,54.0,63.0,72.0,101.0
15,25.0,17.0,12.0,11.0,8.0,6.0,5.0
16,17.0,12.0,11.0,8.0,6.0,5.0,4.0
17,12.0,11.0,8.0,6.0,5.0,4.0,4.0
18,11.0,8.0,6.0,5.0,4.0,4.0,4.0
19,8.0,6.0,5.0,4.0,4.0,4.0,5.0
20,6.0,5.0,4.0,4.0,4.0,5.0,5.0
21,5.0,4.0,4.0,4.0,5.0,5.0,6.0
22,4.0,4.0,4.0,5.0,5.0,6.0,8.0
23,4.0,4.0,5.0,5.0,6.0,8.0,9.0
24,4.0,5.0,5.0,6.0,8.0,9.0,10.0
25,5.0,5.0,6.0,8.0,9.0,10.0,10.0
26,5.0,6.0,8.0,9.0,10.0,10.0,7.0
27,6.0,8.0,9.0,10.0,10.0,7.0,7.0
28,8.0,9.0,10.0,10.0,7.0,7.0,7.0
29,9.0,10.0,10.0,7.0,7.0,7.0,10.0
30,10.0,10.0,7.0,7.0,7.0,10.0,43.0
31,10.0,7.0,7.0,7.0,10.0,43.0,101.0
32,58.0,55.0,54.0,57.0,67.0,75.0,77.0
33,55.0,54.0,57.0,67.0,75.0,77.0,79.0
34,54.0,57.0,67.0,75.0,77.0,79.0,79.0
35,57.0,67.0,75.0,77.0,79.0,79.0,83.0
36,67.0,75.0,77.0,79.0,79.0,83.0,91.0
37,75.0,77.0,79.0,79.0,83.0,91.0,101.0
38,93.0,80.0,63.0,54.0,43.0,32.0,25.0
39,80.0,63.0,54.0,43.0,32.0,25.0,15.0
40,63.0,54.0,43.0,32.0,25.0,15.0,12.0
41,54.0,43.0,32.0,25.0,15.0,12.0,8.0
42,43.0,32.0,25.0,15.0,12.0,8.0,6.0
