,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
143,24.0,20.0,21.0,25.0,26.0,23.0,24.0,26.0,32.0
144,20.0,21.0,25.0,26.0,23.0,24.0,26.0,32.0,41.0
145,21.0,25.0,26.0,23.0,24.0,26.0,32.0,41.0,49.0
146,25.0,26.0,23.0,24.0,26.0,32.0,41.0,49.0,55.0
147,26.0,23.0,24.0,26.0,32.0,41.0,49.0,55.0,65.0
148,23.0,24.0,26.0,32.0,41.0,49.0,55.0,65.0,101.0
149,11.0,17.0,14.0,14.0,12.0,13.0,17.0,12.0,15.0
150,17.0,14.0,14.0,12.0,13.0,17.0,12.0,15.0,16.0
151,14.0,14.0,12.0,13.0,17.0,12.0,15.0,16.0,21.0
152,14.0,12.0,13.0,17.0,12.0,15.0,16.0,21.0,18.0
153,12.0,13.0,17.0,12.0,15.0,16.0,21.0,18.0,20.0
154,13.0,17.0,12.0,15.0,16.0,21.0,18.0,20.0,14.0
155,17.0,12.0,15.0,16.0,21.0,18.0,20.0,14.0,22.0
156,12.0,15.0,16.0,21.0,18.0,20.0,14.0,22.0,23.0
157,15.0,16.0,21.0,18.0,20.0,14.0,22.0,23.0,29.0
158,16.0,21.0,18.0,20.0,14.0,22.0,23.0,29.0,37.0
159,21.0,18.0,20.0,14.0,22.0,23.0,29.0,37.0,42.0
160,18.0,20.0,14.0,22.0,23.0,29.0,37.0,42.0,47.0
161,20.0,14.0,22.0,23.0,29.0,37.0,42.0,47.0,48.0
162,14.0,22.0,23.0,29.0,37.0,42.0,47.0,48.0,50.0
163,22.0,23.0,29.0,37.0,42.0,47.0,48.0,50.0,101.0
164,9.0,10.0,13.0,16.0,15.0,24.0,35.0,39.0,53.0
165,10.0,13.0,16.0,15.0,24.0,35.0,39.0,53.0,63.0
166,13.0,16.0,15.0,24.0,35.0,39.0,53.0,63.0,72.0
167,16.0,15.0,24.0,35.0,39.0,53.0,63.0,72.0,101.0
168,62.0,30.0,25.0,20.0,14.0,11.0,12.0,15.0,11.0
169,30.0,25.0,20.0,14.0,11.0,12.0,15.0,11.0,11.0
170,25.0,20.0,14.0,11.0,12.0,15.0,11.0,11.0,10.0
171,20.0,14.0,11.0,12.0,15.0,11.0,11.0,10.0,10.0
172,14.0,11.0,12.0,15.0,11.0,11.0,10.0,10.0,13.0
173,11.0,12.0,15.0,11.0,11.0,10.0,10.0,13.0,16.0
174,12.0,15.0,11.0,11.0,10.0,10.0,13.0,16.0,22.0
175,15.0,11.0,11.0,10.0,10.0,13.0,16.0,22.0,29.0
176,11.0,11.0,10.0,10.0,13.0,16.0,22.0,29.0,40.0
177,11.0,10.0,10.0,13.0,16.0,22.0,29.0,40.0,55.0
178,10.0,10.0,13.0,16.0,22.0,29.0,40.0,55.0,76.0
179,10.0,13.0,16.0,22.0,29.0,40.0,55.0,76.0,83.0
180,13.0,16.0,22.0,29.0,40.0,55.0,76.0,83.0,101.0
181,94.0,73.0,66.0,56.0,48.0,40.0,37.0,34.0,37.0
182,73.0,66.0,56.0,48.0,40.0,37.0,34.0,37.0,36.0
183,66.0,56.0,48.0,40.0,37.0,34.0,37.0,36.0,33.0
184,56.0,48.0,40.0,37.0,34.0,37.0,36.0,33.0,40.0
185,48.0,40.0,37.0,34.0,37.0,36.0,33.0,40.0,51.0
186,40.0,37.0,34.0,37.0,36.0,33.0,40.0,51.0,59.0
187,37.0,34.0,37.0,36.0,33.0,40.0,51.0,59.0,71.0
188,34.0,37.0,36.0,33.0,40.0,51.0,59.0,71.0,77.0
189,37.0,36.0,33.0,40.0,51.0,59.0,71.0,77.0,83.0
190,36.0,33.0,40.0,51.0,59.0,71.0,77.0,83.0,85.0
191,33.0,40.0,51.0,59.0,71.0,77.0,83.0,85.0,93.0
192,40.0,51.0,59.0,71.0,77.0,83.0,85.0,93.0,90.0
193,51.0,59.0,71.0,77.0,83.0,85.0,93.0,90.0,101.0
194,98.0,92.0,83.0,71.0,54.0,52.0,34.0,32.0,31.0
195,92.0,83.0,71.0,54.0,52.0,34.0,32.0,31.0,30.0
196,83.0,71.0,54.0,52.0,34.0,32.0,31.0,30.0,26.0
197,71.0,54.0,52.0,34.0,32.0,31.0,30.0,26.0,30.0
198,54.0,52.0,34.0,32.0,31.0,30.0,26.0,30.0,28.0
199,52.0,34.0,32.0,31.0,30.0,26.0,30.0,28.0,24.0
200,34.0,32.0,31.0,30.0,26.0,30.0,28.0,24.0,20.0
201,32.0,31.0,30.0,26.0,30.0,28.0,24.0,20.0,21.0
202,31.0,30.0,26.0,30.0,28.0,24.0,20.0,21.0,24.0
203,30.0,26.0,30.0,28.0,24.0,20.0,21.0,24.0,24.0
204,26.0,30.0,28.0,24.0,20.0,21.0,24.0,24.0,28.0
205,30.0,28.0,24.0,20.0,21.0,24.0,24.0,28.0,44.0
206,28.0,24.0,20.0,21.0,24.0,24.0,28.0,44.0,101.0
207,9.0,11.0,17.0,12.0,11.0,14.0,17.0,18.0,16.0
208,11.0,17.0,12.0,11.0,14.0,17.0,18.0,16.0,20.0
209,17.0,12.0,11.0,14.0,17.0,18.0,16.0,20.0,28.0
210,12.0,11.0,14.0,17.0,18.0,16.0,20.0,28.0,24.0
211,11.0,14.0,17.0,18.0,16.0,20.0,28.0,24.0,21.0
212,14.0,17.0,18.0,16.0,20.0,28.0,24.0,21.0,28.0
213,17.0,18.0,16.0,20.0,28.0,24.0,21.0,28.0,30.0
214,18.0,16.0,20.0,28.0,24.0,21.0,28.0,30.0,32.0
215,16.0,20.0,28.0,24.0,21.0,28.0,30.0,32.0,32.0
216,20.0,28.0,24.0,21.0,28.0,30.0,32.0,32.0,33.0
217,28.0,24.0,21.0,28.0,30.0,32.0,32.0,33.0,34.0
218,24.0,21.0,28.0,30.0,32.0,32.0,33.0,34.0,35.0
219,21.0,28.0,30.0,32.0,32.0,33.0,34.0,35.0,44.0
220,28.0,30.0,32.0,32.0,33.0,34.0,35.0,44.0,101.0
221,34.0,19.0,18.0,18.0,16.0,17.0,13.0,8.0,7.0
222,19.0,18.0,18.0,16.0,17.0,13.0,8.0,7.0,8.0
223,18.0,18.0,16.0,17.0,13.0,8.0,7.0,8.0,8.0
224,18.0,16.0,17.0,13.0,8.0,7.0,8.0,8.0,7.0
225,16.0,17.0,13.0,8.0,7.0,8.0,8.0,7.0,6.0
226,17.0,13.0,8.0,7.0,8.0,8.0,7.0,6.0,5.0
227,13.0,8.0,7.0,8.0,8.0,7.0,6.0,5.0,5.0
228,8.0,7.0,8.0,8.0,7.0,6.0,5.0,5.0,4.0
229,7.0,8.0,8.0,7.0,6.0,5.0,5.0,4.0,6.0
230,8.0,8.0,7.0,6.0,5.0,5.0,4.0,6.0,8.0
231,8.0,7.0,6.0,5.0,5.0,4.0,6.0,8.0,9.0
232,7.0,6.0,5.0,5.0,4.0,6.0,8.0,9.0,7.0
233,6.0,5.0,5.0,4.0,6.0,8.0,9.0,7.0,8.0
234,5.0,5.0,4.0,6.0,8.0,9.0,7.0,8.0,9.0
235,5.0,4.0,6.0,8.0,9.0,7.0,8.0,9.0,11.0
236,4.0,6.0,8.0,9.0,7.0,8.0,9.0,11.0,11.0
237,6.0,8.0,9.0,7.0,8.0,9.0,11.0,11.0,11.0
238,8.0,9.0,7.0,8.0,9.0,11.0,11.0,11.0,14.0
239,9.0,7.0,8.0,9.0,11.0,11.0,11.0,14.0,12.0
240,7.0,8.0,9.0,11.0,11.0,11.0,14.0,12.0,18.0
241,8.0,9.0,11.0,11.0,11.0,14.0,12.0,18.0,18.0
242,9.0,11.0,11.0,11.0,14.0,12.0,18.0,18.0,20.0
243,11.0,11.0,11.0,14.0,12.0,18.0,18.0,20.0,28.0
244,11.0,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0
245,11.0,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0
246,14.0,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0
247,12.0,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0
248,18.0,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0
249,18.0,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0
250,20.0,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0
251,28.0,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0
252,31.0,31.0,34.0,30.0,35.0,39.0,40.0,39.0,40.0
253,96.0,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0
254,57.0,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0
255,43.0,35.0,20.0,12.0,9.0,5.0,3.0,2.0,2.0
256,18.0,13.0,20.0,24.0,25.0,24.0,20.0,18.0,19.0
257,13.0,20.0,24.0,25.0,24.0,20.0,18.0,19.0,22.0
258,20.0,24.0,25.0,24.0,20.0,18.0,19.0,22.0,20.0
259,24.0,25.0,24.0,20.0,18.0,19.0,22.0,20.0,23.0
260,25.0,24.0,20.0,18.0,19.0,22.0,20.0,23.0,25.0
261,24.0,20.0,18.0,19.0,22.0,20.0,23.0,25.0,31.0
262,20.0,18.0,19.0,22.0,20.0,23.0,25.0,31.0,35.0
263,18.0,19.0,22.0,20.0,23.0,25.0,31.0,35.0,36.0
264,19.0,22.0,20.0,23.0,25.0,31.0,35.0,36.0,42.0
265,22.0,20.0,23.0,25.0,31.0,35.0,36.0,42.0,44.0
266,20.0,23.0,25.0,31.0,35.0,36.0,42.0,44.0,49.0
267,23.0,25.0,31.0,35.0,36.0,42.0,44.0,49.0,51.0
268,25.0,31.0,35.0,36.0,42.0,44.0,49.0,51.0,101.0
269,97.0,97.0,99.0,98.0,91.0,90.0,87.0,86.0,82.0
270,97.0,99.0,98.0,91.0,90.0,87.0,86.0,82.0,77.0
271,99.0,98.0,91.0,90.0,87.0,86.0,82.0,77.0,74.0
272,98.0,91.0,90.0,87.0,86.0,82.0,77.0,74.0,73.0
273,91.0,90.0,87.0,86.0,82.0,77.0,74.0,73.0,64.0
274,90.0,87.0,86.0,82.0,77.0,74.0,73.0,64.0,65.0
275,87.0,86.0,82.0,77.0,74.0,73.0,64.0,65.0,62.0
276,86.0,82.0,77.0,74.0,73.0,64.0,65.0,62.0,59.0
277,82.0,77.0,74.0,73.0,64.0,65.0,62.0,59.0,56.0
278,77.0,74.0,73.0,64.0,65.0,62.0,59.0,56.0,52.0
279,74.0,73.0,64.0,65.0,62.0,59.0,56.0,52.0,51.0
280,73.0,64.0,65.0,62.0,59.0,56.0,52.0,51.0,52.0
281,64.0,65.0,62.0,59.0,56.0,52.0,51.0,52.0,101.0
282,98.0,82.0,82.0,77.0,73.0,74.0,74.0,73.0,72.0
283,82.0,82.0,77.0,73.0,74.0,74.0,73.0,72.0,67.0
284,82.0,77.0,73.0,74.0,74.0,73.0,72.0,67.0,50.0
285,77.0,73.0,74.0,74.0,73.0,72.0,67.0,50.0,56.0
286,73.0,74.0,74.0,73.0,72.0,67.0,50.0,56.0,51.0
287,74.0,74.0,73.0,72.0,67.0,50.0,56.0,51.0,45.0
288,74.0,73.0,72.0,67.0,50.0,56.0,51.0,45.0,38.0
289,73.0,72.0,67.0,50.0,56.0,51.0,45.0,38.0,41.0
290,72.0,67.0,50.0,56.0,51.0,45.0,38.0,41.0,37.0
291,67.0,50.0,56.0,51.0,45.0,38.0,41.0,37.0,37.0
292,50.0,56.0,51.0,45.0,38.0,41.0,37.0,37.0,34.0
293,56.0,51.0,45.0,38.0,41.0,37.0,37.0,34.0,45.0
294,51.0,45.0,38.0,41.0,37.0,37.0,34.0,45.0,49.0
295,45.0,38.0,41.0,37.0,37.0,34.0,45.0,49.0,101.0
296,100.0,95.0,91.0,82.0,79.0,83.0,92.0,62.0,49.0
297,95.0,91.0,82.0,79.0,83.0,92.0,62.0,49.0,43.0
298,91.0,82.0,79.0,83.0,92.0,62.0,49.0,43.0,42.0
299,82.0,79.0,83.0,92.0,62.0,49.0,43.0,42.0,46.0
300,79.0,83.0,92.0,62.0,49.0,43.0,42.0,46.0,53.0
301,83.0,92.0,62.0,49.0,43.0,42.0,46.0,53.0,56.0
302,92.0,62.0,49.0,43.0,42.0,46.0,53.0,56.0,65.0
303,62.0,49.0,43.0,42.0,46.0,53.0,56.0,65.0,74.0
304,49.0,43.0,42.0,46.0,53.0,56.0,65.0,74.0,86.0
305,43.0,42.0,46.0,53.0,56.0,65.0,74.0,86.0,83.0
306,42.0,46.0,53.0,56.0,65.0,74.0,86.0,83.0,90.0
307,46.0,53.0,56.0,65.0,74.0,86.0,83.0,90.0,94.0
308,53.0,56.0,65.0,74.0,86.0,83.0,90.0,94.0,101.0
309,24.0,43.0,10.0,28.0,47.0,63.0,71.0,56.0,57.0
310,43.0,10.0,28.0,47.0,63.0,71.0,56.0,57.0,59.0
311,10.0,28.0,47.0,63.0,71.0,56.0,57.0,59.0,51.0
312,28.0,47.0,63.0,71.0,56.0,57.0,59.0,51.0,49.0
313,47.0,63.0,71.0,56.0,57.0,59.0,51.0,49.0,41.0
314,63.0,71.0,56.0,57.0,59.0,51.0,49.0,41.0,36.0
315,71.0,56.0,57.0,59.0,51.0,49.0,41.0,36.0,37.0
316,56.0,57.0,59.0,51.0,49.0,41.0,36.0,37.0,34.0
317,57.0,59.0,51.0,49.0,41.0,36.0,37.0,34.0,32.0
318,59.0,51.0,49.0,41.0,36.0,37.0,34.0,32.0,28.0
319,51.0,49.0,41.0,36.0,37.0,34.0,32.0,28.0,25.0
320,49.0,41.0,36.0,37.0,34.0,32.0,28.0,25.0,26.0
321,41.0,36.0,37.0,34.0,32.0,28.0,25.0,26.0,25.0
322,36.0,37.0,34.0,32.0,28.0,25.0,26.0,25.0,21.0
323,37.0,34.0,32.0,28.0,25.0,26.0,25.0,21.0,25.0
324,34.0,32.0,28.0,25.0,26.0,25.0,21.0,25.0,30.0
325,32.0,28.0,25.0,26.0,25.0,21.0,25.0,30.0,37.0
326,28.0,25.0,26.0,25.0,21.0,25.0,30.0,37.0,44.0
327,25.0,26.0,25.0,21.0,25.0,30.0,37.0,44.0,101.0
328,74.0,95.0,59.0,46.0,43.0,50.0,55.0,62.0,60.0
329,95.0,59.0,46.0,43.0,50.0,55.0,62.0,60.0,52.0
330,59.0,46.0,43.0,50.0,55.0,62.0,60.0,52.0,50.0
331,46.0,43.0,50.0,55.0,62.0,60.0,52.0,50.0,52.0
332,43.0,50.0,55.0,62.0,60.0,52.0,50.0,52.0,54.0
333,50.0,55.0,62.0,60.0,52.0,50.0,52.0,54.0,54.0
334,55.0,62.0,60.0,52.0,50.0,52.0,54.0,54.0,51.0
335,62.0,60.0,52.0,50.0,52.0,54.0,54.0,51.0,38.0
336,60.0,52.0,50.0,52.0,54.0,54.0,51.0,38.0,31.0
337,52.0,50.0,52.0,54.0,54.0,51.0,38.0,31.0,35.0
338,50.0,52.0,54.0,54.0,51.0,38.0,31.0,35.0,34.0
339,52.0,54.0,54.0,51.0,38.0,31.0,35.0,34.0,36.0
340,54.0,54.0,51.0,38.0,31.0,35.0,34.0,36.0,34.0
341,54.0,51.0,38.0,31.0,35.0,34.0,36.0,34.0,35.0
342,51.0,38.0,31.0,35.0,34.0,36.0,34.0,35.0,36.0
343,38.0,31.0,35.0,34.0,36.0,34.0,35.0,36.0,40.0
344,31.0,35.0,34.0,36.0,34.0,35.0,36.0,40.0,46.0
345,35.0,34.0,36.0,34.0,35.0,36.0,40.0,46.0,46.0
346,34.0,36.0,34.0,35.0,36.0,40.0,46.0,46.0,101.0
347,96.0,81.0,66.0,66.0,60.0,59.0,52.0,52.0,44.0
348,81.0,66.0,66.0,60.0,59.0,52.0,52.0,44.0,43.0
349,66.0,66.0,60.0,59.0,52.0,52.0,44.0,43.0,46.0
350,66.0,60.0,59.0,52.0,52.0,44.0,43.0,46.0,38.0
351,60.0,59.0,52.0,52.0,44.0,43.0,46.0,38.0,33.0
352,59.0,52.0,52.0,44.0,43.0,46.0,38.0,33.0,34.0
353,52.0,52.0,44.0,43.0,46.0,38.0,33.0,34.0,36.0
354,52.0,44.0,43.0,46.0,38.0,33.0,34.0,36.0,36.0
355,44.0,43.0,46.0,38.0,33.0,34.0,36.0,36.0,41.0
356,43.0,46.0,38.0,33.0,34.0,36.0,36.0,41.0,45.0
357,46.0,38.0,33.0,34.0,36.0,36.0,41.0,45.0,52.0
358,38.0,33.0,34.0,36.0,36.0,41.0,45.0,52.0,101.0
359,99.0,91.0,79.0,70.0,63.0,68.0,64.0,59.0,59.0
360,91.0,79.0,70.0,63.0,68.0,64.0,59.0,59.0,58.0
361,79.0,70.0,63.0,68.0,64.0,59.0,59.0,58.0,52.0
362,70.0,63.0,68.0,64.0,59.0,59.0,58.0,52.0,42.0
363,63.0,68.0,64.0,59.0,59.0,58.0,52.0,42.0,47.0
