,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
0,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0
1,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
2,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
3,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
4,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
5,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
6,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
7,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
8,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0
9,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
10,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
11,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0
12,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
13,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
14,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
15,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
16,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
17,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
18,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
19,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
20,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
21,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
22,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
23,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
24,92.0,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0
