,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
93,16.0,25.0,34.0,41.0,51.0,56.0,75.0,87.0
94,25.0,34.0,41.0,51.0,56.0,75.0,87.0,94.0
95,34.0,41.0,51.0,56.0,75.0,87.0,94.0,94.0
96,41.0,51.0,56.0,75.0,87.0,94.0,94.0,101.0
97,53.0,31.0,14.0,4.0,1.0,1.0,1.0,1.0
98,31.0,14.0,4.0,1.0,1.0,1.0,1.0,1.0
99,14.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
102,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0
103,1.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0
104,1.0,1.0,1.0,1.0,3.0,6.0,12.0,13.0
105,1.0,1.0,1.0,3.0,6.0,12.0,13.0,23.0
106,1.0,1.0,3.0,6.0,12.0,13.0,23.0,33.0
107,1.0,3.0,6.0,12.0,13.0,23.0,33.0,40.0
108,3.0,6.0,12.0,13.0,23.0,33.0,40.0,46.0
109,6.0,12.0,13.0,23.0,33.0,40.0,46.0,60.0
110,12.0,13.0,23.0,33.0,40.0,46.0,60.0,64.0
111,13.0,23.0,33.0,40.0,46.0,60.0,64.0,75.0
112,23.0,33.0,40.0,46.0,60.0,64.0,75.0,101.0
113,85.0,76.0,73.0,70.0,75.0,85.0,94.0,101.0
114,60.0,57.0,44.0,34.0,35.0,36.0,30.0,23.0
115,57.0,44.0,34.0,35.0,36.0,30.0,23.0,26.0
116,44.0,34.0,35.0,36.0,30.0,23.0,26.0,28.0
117,34.0,35.0,36.0,30.0,23.0,26.0,28.0,21.0
118,35.0,36.0,30.0,23.0,26.0,28.0,21.0,21.0
119,36.0,30.0,23.0,26.0,28.0,21.0,21.0,8.0
120,30.0,23.0,26.0,28.0,21.0,21.0,8.0,8.0
121,23.0,26.0,28.0,21.0,21.0,8.0,8.0,12.0
122,26.0,28.0,21.0,21.0,8.0,8.0,12.0,14.0
