,diff_0,diff_1,target
227,9.0,9.0,11.0
228,54.0,42.0,61.0
229,42.0,61.0,48.0
230,15.0,15.0,21.0
231,15.0,21.0,24.0
232,21.0,24.0,24.0
233,24.0,24.0,27.0
234,24.0,27.0,32.0
235,27.0,32.0,35.0
236,32.0,35.0,42.0
237,35.0,42.0,42.0
238,42.0,42.0,32.0
239,42.0,32.0,38.0
240,32.0,38.0,39.0
241,38.0,39.0,45.0
242,39.0,45.0,50.0
243,45.0,50.0,101.0
244,81.0,97.0,91.0
245,97.0,91.0,92.0
246,91.0,92.0,87.0
247,92.0,87.0,71.0
248,87.0,71.0,39.0
249,43.0,49.0,101.0
250,79.0,84.0,76.0
251,84.0,76.0,71.0
252,76.0,71.0,85.0
253,71.0,85.0,96.0
254,85.0,96.0,97.0
255,96.0,97.0,101.0
256,89.0,77.0,66.0
257,77.0,66.0,57.0
258,99.0,91.0,84.0
259,91.0,84.0,78.0
260,84.0,78.0,69.0
261,78.0,69.0,69.0
262,69.0,69.0,68.0
263,69.0,68.0,69.0
264,68.0,69.0,62.0
265,69.0,62.0,62.0
266,62.0,62.0,60.0
267,62.0,60.0,60.0
268,60.0,60.0,55.0
269,60.0,55.0,56.0
270,31.0,30.0,27.0
271,30.0,27.0,23.0
272,27.0,23.0,25.0
273,23.0,25.0,30.0
274,25.0,30.0,40.0
275,30.0,40.0,47.0
276,40.0,47.0,67.0
277,47.0,67.0,70.0
278,67.0,70.0,75.0
279,70.0,75.0,101.0
280,94.0,94.0,101.0
281,94.0,85.0,80.0
282,85.0,80.0,74.0
283,80.0,74.0,68.0
284,74.0,68.0,62.0
285,10.0,13.0,12.0
286,89.0,92.0,75.0
287,92.0,75.0,73.0
288,75.0,73.0,73.0
289,73.0,73.0,79.0
290,73.0,79.0,68.0
291,79.0,68.0,90.0
292,68.0,90.0,93.0
293,90.0,93.0,98.0
294,93.0,98.0,100.0
295,98.0,100.0,101.0
296,86.0,87.0,97.0
297,87.0,97.0,76.0
298,97.0,76.0,75.0
299,76.0,75.0,75.0
300,75.0,75.0,71.0
301,75.0,71.0,66.0
302,71.0,66.0,66.0
303,66.0,66.0,58.0
304,66.0,58.0,60.0
305,58.0,60.0,69.0
306,60.0,69.0,101.0
307,25.0,21.0,25.0
308,21.0,25.0,25.0
309,25.0,25.0,23.0
310,25.0,23.0,24.0
311,23.0,24.0,25.0
312,24.0,25.0,26.0
313,25.0,26.0,30.0
314,26.0,30.0,30.0
315,30.0,30.0,35.0
316,30.0,35.0,39.0
317,35.0,39.0,38.0
318,39.0,38.0,41.0
319,38.0,41.0,43.0
320,41.0,43.0,44.0
321,43.0,44.0,45.0
322,81.0,76.0,63.0
323,76.0,63.0,54.0
324,63.0,54.0,31.0
325,54.0,31.0,25.0
326,20.0,20.0,18.0
327,20.0,18.0,21.0
328,18.0,21.0,17.0
329,21.0,17.0,13.0
330,17.0,13.0,15.0
331,13.0,15.0,16.0
332,15.0,16.0,19.0
333,16.0,19.0,17.0
334,19.0,17.0,16.0
335,17.0,16.0,17.0
336,16.0,17.0,19.0
337,17.0,19.0,19.0
338,19.0,19.0,21.0
339,19.0,21.0,23.0
340,21.0,23.0,24.0
341,68.0,57.0,52.0
342,57.0,52.0,48.0
343,52.0,48.0,39.0
344,48.0,39.0,36.0
345,39.0,36.0,31.0
346,36.0,31.0,33.0
347,31.0,33.0,39.0
348,33.0,39.0,21.0
349,39.0,21.0,18.0
350,21.0,18.0,13.0
351,18.0,13.0,18.0
352,13.0,18.0,18.0
353,18.0,18.0,22.0
354,18.0,22.0,25.0
355,22.0,25.0,26.0
356,76.0,89.0,82.0
357,89.0,82.0,72.0
358,82.0,72.0,70.0
359,72.0,70.0,101.0
360,46.0,50.0,101.0
361,94.0,69.0,62.0
362,69.0,62.0,61.0
363,62.0,61.0,59.0
364,61.0,59.0,61.0
365,59.0,61.0,52.0
366,61.0,52.0,54.0
367,52.0,54.0,49.0
368,54.0,49.0,44.0
369,49.0,44.0,40.0
370,44.0,40.0,35.0
371,72.0,96.0,101.0
372,12.0,17.0,23.0
373,17.0,23.0,14.0
374,23.0,14.0,20.0
375,14.0,20.0,25.0
376,20.0,25.0,29.0
377,25.0,29.0,31.0
378,29.0,31.0,32.0
379,31.0,32.0,36.0
380,32.0,36.0,33.0
381,36.0,33.0,34.0
382,33.0,34.0,40.0
383,34.0,40.0,40.0
384,40.0,40.0,48.0
385,40.0,48.0,49.0
386,48.0,49.0,101.0
387,53.0,48.0,51.0
388,48.0,51.0,46.0
389,51.0,46.0,44.0
390,46.0,44.0,44.0
391,44.0,44.0,39.0
392,44.0,39.0,40.0
393,39.0,40.0,44.0
394,40.0,44.0,39.0
395,44.0,39.0,43.0
396,39.0,43.0,37.0
397,43.0,37.0,36.0
398,37.0,36.0,26.0
399,36.0,26.0,30.0
400,26.0,30.0,26.0
401,30.0,26.0,29.0
402,100.0,100.0,98.0
403,24.0,33.0,35.0
404,33.0,35.0,39.0
405,35.0,39.0,50.0
406,39.0,50.0,53.0
407,50.0,53.0,51.0
408,53.0,51.0,89.0
409,51.0,89.0,101.0
410,100.0,70.0,66.0
411,70.0,66.0,62.0
412,66.0,62.0,54.0
413,62.0,54.0,52.0
414,54.0,52.0,56.0
415,52.0,56.0,56.0
416,56.0,56.0,58.0
417,56.0,58.0,65.0
418,58.0,65.0,77.0
419,65.0,77.0,97.0
420,77.0,97.0,101.0
421,96.0,100.0,99.0
422,100.0,99.0,101.0
423,65.0,66.0,65.0
424,66.0,65.0,56.0
425,65.0,56.0,54.0
426,56.0,54.0,61.0
427,54.0,61.0,74.0
428,61.0,74.0,93.0
429,74.0,93.0,101.0
430,54.0,63.0,74.0
431,63.0,74.0,75.0
432,74.0,75.0,72.0
433,75.0,72.0,92.0
434,72.0,92.0,101.0
435,40.0,43.0,101.0
436,86.0,83.0,62.0
437,83.0,62.0,62.0
438,62.0,62.0,81.0
439,62.0,81.0,83.0
440,81.0,83.0,70.0
441,83.0,70.0,84.0
442,70.0,84.0,87.0
443,84.0,87.0,90.0
444,87.0,90.0,101.0
445,77.0,62.0,39.0
446,62.0,39.0,42.0
447,39.0,42.0,42.0
448,42.0,42.0,37.0
449,42.0,37.0,21.0
450,37.0,21.0,7.0
451,21.0,7.0,13.0
452,7.0,13.0,12.0
453,13.0,12.0,11.0
454,12.0,11.0,11.0
455,11.0,11.0,15.0
456,11.0,15.0,13.0
457,15.0,13.0,15.0
458,13.0,15.0,15.0
459,15.0,15.0,17.0
460,97.0,98.0,94.0
461,98.0,94.0,92.0
462,94.0,92.0,85.0
463,76.0,70.0,60.0
464,70.0,60.0,58.0
465,60.0,58.0,58.0
466,58.0,58.0,55.0
467,58.0,55.0,42.0
468,55.0,42.0,44.0
469,42.0,44.0,46.0
470,44.0,46.0,48.0
471,46.0,48.0,56.0
472,48.0,56.0,75.0
473,56.0,75.0,80.0
474,1.0,1.0,1.0
475,1.0,1.0,1.0
476,1.0,1.0,2.0
477,1.0,2.0,2.0
478,2.0,2.0,3.0
479,2.0,3.0,4.0
480,3.0,4.0,5.0
481,4.0,5.0,6.0
482,5.0,6.0,7.0
483,6.0,7.0,8.0
484,7.0,8.0,11.0
485,8.0,11.0,12.0
486,11.0,12.0,16.0
487,12.0,16.0,19.0
488,16.0,19.0,19.0
489,8.0,8.0,7.0
490,8.0,7.0,8.0
491,7.0,8.0,9.0
492,8.0,9.0,6.0
493,9.0,6.0,5.0
494,6.0,5.0,10.0
495,5.0,10.0,12.0
496,10.0,12.0,19.0
497,12.0,19.0,21.0
498,19.0,21.0,26.0
499,21.0,26.0,33.0
500,26.0,33.0,32.0
501,33.0,32.0,39.0
502,32.0,39.0,47.0
503,39.0,47.0,101.0
504,48.0,41.0,42.0
505,41.0,42.0,31.0
506,42.0,31.0,33.0
507,31.0,33.0,31.0
508,33.0,31.0,30.0
509,31.0,30.0,24.0
510,30.0,24.0,25.0
511,24.0,25.0,24.0
512,25.0,24.0,26.0
513,24.0,26.0,23.0
514,26.0,23.0,31.0
