,ngram_2,ngram_3,ngram_4,ngram_5,ngram_6,ngram_7,ngram_8
train_mse,11.497620338,4.5249658132,0.931827747425,0.14239633969,0.0,0.0,0.0
test_mse,11.497620338,4.5249658132,0.931827747425,0.14239633969,0.0,0.0,0.0
