,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,target
0,75.0,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0
1,67.0,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0
2,61.0,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0
3,54.0,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0
4,40.0,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0
5,30.0,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0
6,23.0,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0
7,23.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0
8,22.0,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0
9,22.0,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0
10,25.0,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0
11,25.0,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0
12,25.0,24.0,24.0,32.0,41.0,54.0,63.0,72.0,101.0
13,25.0,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0
14,17.0,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0
15,12.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0
16,11.0,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0
17,8.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0
18,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0
19,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0
20,4.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0
21,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0
22,4.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0
23,5.0,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0
24,5.0,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0
25,6.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0
26,8.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0,43.0
27,9.0,10.0,10.0,7.0,7.0,7.0,10.0,43.0,101.0
28,58.0,55.0,54.0,57.0,67.0,75.0,77.0,79.0,79.0
29,55.0,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0
30,54.0,57.0,67.0,75.0,77.0,79.0,79.0,83.0,91.0
31,57.0,67.0,75.0,77.0,79.0,79.0,83.0,91.0,101.0
32,93.0,80.0,63.0,54.0,43.0,32.0,25.0,15.0,12.0
33,80.0,63.0,54.0,43.0,32.0,25.0,15.0,12.0,8.0
34,63.0,54.0,43.0,32.0,25.0,15.0,12.0,8.0,6.0
35,54.0,43.0,32.0,25.0,15.0,12.0,8.0,6.0,4.0
36,43.0,32.0,25.0,15.0,12.0,8.0,6.0,4.0,1.0
37,32.0,25.0,15.0,12.0,8.0,6.0,4.0,1.0,3.0
38,25.0,15.0,12.0,8.0,6.0,4.0,1.0,3.0,6.0
39,15.0,12.0,8.0,6.0,4.0,1.0,3.0,6.0,10.0
40,12.0,8.0,6.0,4.0,1.0,3.0,6.0,10.0,16.0
41,8.0,6.0,4.0,1.0,3.0,6.0,10.0,16.0,25.0
42,6.0,4.0,1.0,3.0,6.0,10.0,16.0,25.0,34.0
43,4.0,1.0,3.0,6.0,10.0,16.0,25.0,34.0,41.0
44,1.0,3.0,6.0,10.0,16.0,25.0,34.0,41.0,51.0
45,3.0,6.0,10.0,16.0,25.0,34.0,41.0,51.0,56.0
46,6.0,10.0,16.0,25.0,34.0,41.0,51.0,56.0,75.0
47,10.0,16.0,25.0,34.0,41.0,51.0,56.0,75.0,87.0
