,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
75,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0
76,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0
77,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0
78,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0
79,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0
80,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0
81,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0
82,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0
83,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0
84,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0
85,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0
86,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0
87,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0
88,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0
89,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0
90,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0
91,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0
92,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0
93,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0
94,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,101.0
95,84.0,78.0,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0
96,78.0,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0
97,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0
98,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0
99,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0
100,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0
101,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0
102,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0
103,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0
104,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0
105,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0,96.0
