,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
75,6.0,10.0,16.0,25.0,34.0,41.0,51.0,56.0,75.0,87.0
76,10.0,16.0,25.0,34.0,41.0,51.0,56.0,75.0,87.0,94.0
77,16.0,25.0,34.0,41.0,51.0,56.0,75.0,87.0,94.0,94.0
78,25.0,34.0,41.0,51.0,56.0,75.0,87.0,94.0,94.0,101.0
79,53.0,31.0,14.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
80,31.0,14.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,14.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
82,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0
84,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0,13.0
85,1.0,1.0,1.0,1.0,1.0,3.0,6.0,12.0,13.0,23.0
86,1.0,1.0,1.0,1.0,3.0,6.0,12.0,13.0,23.0,33.0
87,1.0,1.0,1.0,3.0,6.0,12.0,13.0,23.0,33.0,40.0
88,1.0,1.0,3.0,6.0,12.0,13.0,23.0,33.0,40.0,46.0
89,1.0,3.0,6.0,12.0,13.0,23.0,33.0,40.0,46.0,60.0
90,3.0,6.0,12.0,13.0,23.0,33.0,40.0,46.0,60.0,64.0
91,6.0,12.0,13.0,23.0,33.0,40.0,46.0,60.0,64.0,75.0
92,12.0,13.0,23.0,33.0,40.0,46.0,60.0,64.0,75.0,101.0
93,60.0,57.0,44.0,34.0,35.0,36.0,30.0,23.0,26.0,28.0
94,57.0,44.0,34.0,35.0,36.0,30.0,23.0,26.0,28.0,21.0
95,44.0,34.0,35.0,36.0,30.0,23.0,26.0,28.0,21.0,21.0
96,34.0,35.0,36.0,30.0,23.0,26.0,28.0,21.0,21.0,8.0
97,35.0,36.0,30.0,23.0,26.0,28.0,21.0,21.0,8.0,8.0
98,36.0,30.0,23.0,26.0,28.0,21.0,21.0,8.0,8.0,12.0
99,30.0,23.0,26.0,28.0,21.0,21.0,8.0,8.0,12.0,14.0
