,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank
0,1374,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-23 ~ 2016-04-29,$ave Dat Money%LIL DICKY ,1,101,101,101,101,89,95,95,89,82,0
0,1371,1.05401844532,0.888888888889,0.0,17.0,0.277777777778,101,2016-04-02 ~ 2016-04-08,$ave Dat Money%LIL DICKY ,1,101,89,95,95,89,82,80,73,77,101
1,1372,15.8152706677,0.911845730028,0.0110192837466,66.4,0.31129476584,101,2016-04-09 ~ 2016-04-15,$ave Dat Money%LIL DICKY ,1,101,101,89,95,95,89,82,80,73,101
2,1373,16937.704918,0.94425087108,0.0,272.0,0.243902439024,101,2016-04-16 ~ 2016-04-22,$ave Dat Money%LIL DICKY ,1,101,101,101,89,95,95,89,82,80,101
0,1374,0.00595238095238,0.0,0.0,1.0,0.0,17,2016-04-23 ~ 2016-04-29,2 Phones%KEVIN GATES,2,18,18,18,21,25,29,40,44,46,0
0,1371,7.78734338932,0.248322147651,0.0671140939597,3.45454545455,0.355704697987,18,2016-04-02 ~ 2016-04-08,2 Phones%KEVIN GATES,2,21,25,29,40,44,46,67,62,71,18
1,1372,102.097155848,0.2,0.0613496932515,3.24503311258,0.575051124744,18,2016-04-09 ~ 2016-04-15,2 Phones%KEVIN GATES,2,18,21,25,29,40,44,46,67,62,18
2,1373,3816.25441696,0.186666666667,0.0492592592593,3.76865671642,0.864444444444,18,2016-04-16 ~ 2016-04-22,2 Phones%KEVIN GATES,2,18,18,21,25,29,40,44,46,67,17
