,diff_0,target
0,24.0,20.0
1,20.0,20.0
2,20.0,17.0
3,17.0,15.0
4,15.0,15.0
5,15.0,16.0
6,16.0,17.0
7,17.0,17.0
8,17.0,23.0
9,23.0,37.0
10,37.0,54.0
11,54.0,60.0
12,60.0,73.0
13,73.0,86.0
14,86.0,95.0
15,95.0,101.0
16,55.0,28.0
17,28.0,18.0
18,18.0,16.0
19,16.0,18.0
20,18.0,20.0
21,20.0,33.0
22,33.0,45.0
23,45.0,61.0
24,61.0,79.0
25,79.0,95.0
26,95.0,101.0
27,42.0,60.0
28,60.0,65.0
29,65.0,60.0
30,60.0,43.0
31,43.0,17.0
32,17.0,19.0
33,19.0,20.0
34,20.0,19.0
35,19.0,19.0
36,19.0,21.0
37,21.0,33.0
38,33.0,54.0
39,54.0,61.0
40,61.0,71.0
41,71.0,85.0
42,85.0,101.0
43,71.0,101.0
44,98.0,100.0
45,100.0,94.0
46,94.0,89.0
47,89.0,93.0
48,93.0,101.0
49,87.0,81.0
50,81.0,73.0
51,73.0,78.0
52,78.0,77.0
53,77.0,77.0
54,77.0,73.0
55,73.0,80.0
56,80.0,82.0
57,82.0,89.0
58,89.0,95.0
59,95.0,95.0
60,95.0,89.0
61,89.0,101.0
62,92.0,90.0
63,90.0,86.0
64,86.0,85.0
65,85.0,79.0
66,79.0,82.0
67,82.0,69.0
68,69.0,64.0
69,64.0,59.0
70,59.0,63.0
71,63.0,59.0
72,59.0,63.0
73,63.0,58.0
74,58.0,72.0
75,72.0,82.0
76,82.0,94.0
77,94.0,101.0
78,38.0,101.0
79,95.0,95.0
80,95.0,101.0
81,35.0,70.0
82,70.0,91.0
83,91.0,100.0
84,100.0,101.0
85,97.0,88.0
86,88.0,85.0
87,85.0,83.0
88,83.0,84.0
89,84.0,81.0
90,81.0,72.0
91,72.0,44.0
92,44.0,54.0
93,54.0,55.0
94,55.0,51.0
95,51.0,48.0
96,48.0,45.0
97,45.0,43.0
98,43.0,40.0
99,40.0,36.0
100,36.0,36.0
101,36.0,34.0
102,34.0,39.0
