,diff_0,diff_1,diff_2,diff_3,diff_4,rank,target
151,-1,-1,-1,-1,1,36.0,-1
152,1,1,0,-1,-1,79.0,1
153,1,0,-1,-1,1,76.0,1
154,0,-1,-1,1,1,70.0,0
155,-1,-1,1,1,0,70.0,-1
156,-1,1,1,0,-1,73.0,1
157,1,1,0,-1,1,71.0,-1
158,1,0,-1,1,-1,77.0,-1
159,0,-1,1,-1,-1,81.0,1
160,-1,1,-1,-1,1,67.0,-1
161,1,-1,-1,1,-1,68.0,1
162,-1,-1,1,-1,1,67.0,-1
163,-1,1,-1,1,-1,78.0,-1
164,1,-1,1,-1,-1,91.0,0
165,-1,1,-1,-1,0,91.0,-1
166,1,1,1,1,0,55.0,0
167,1,1,1,0,0,55.0,-1
168,1,1,0,0,-1,64.0,0
169,1,0,0,-1,0,64.0,-1
170,0,0,-1,0,-1,67.0,-1
171,0,-1,0,-1,-1,71.0,-1
172,-1,0,-1,-1,-1,75.0,1
173,0,-1,-1,-1,1,71.0,0
174,-1,-1,-1,1,0,71.0,-1
175,-1,-1,1,0,-1,73.0,1
176,-1,1,0,-1,1,70.0,1
177,1,0,-1,1,1,68.0,1
178,0,-1,1,1,1,67.0,-1
179,-1,1,1,1,-1,69.0,1
180,1,1,1,1,0,35.0,0
181,1,1,1,0,0,35.0,0
182,1,1,0,0,0,35.0,0
183,1,0,0,0,0,35.0,-1
184,0,0,0,0,-1,39.0,1
185,0,0,0,-1,1,37.0,0
186,0,0,-1,1,0,37.0,0
187,0,-1,1,0,0,37.0,-1
188,-1,1,0,0,-1,59.0,-1
189,1,0,0,-1,-1,64.0,-1
190,0,0,-1,-1,-1,67.0,-1
191,0,-1,-1,-1,-1,71.0,-1
192,-1,-1,-1,-1,-1,82.0,-1
193,-1,-1,-1,-1,-1,84.0,-1
194,-1,-1,1,1,-1,95.0,0
195,1,1,1,-1,1,81.0,1
196,1,1,-1,1,1,72.0,1
197,1,-1,1,1,1,44.0,-1
198,-1,1,1,1,-1,54.0,-1
199,1,1,1,-1,-1,55.0,1
200,1,1,-1,-1,1,51.0,1
201,1,-1,-1,1,1,48.0,1
202,-1,-1,1,1,1,45.0,1
203,-1,1,1,1,1,43.0,1
204,1,1,1,1,1,40.0,1
205,1,1,1,1,1,36.0,0
206,1,1,1,1,0,36.0,1
207,1,1,1,0,1,34.0,-1
208,1,1,0,1,-1,39.0,-1
209,1,1,1,-1,-1,37.0,-1
210,1,1,-1,-1,-1,42.0,-1
211,1,-1,-1,-1,-1,52.0,-1
212,-1,-1,-1,-1,-1,61.0,-1
213,-1,-1,-1,-1,-1,81.0,-1
214,-1,-1,-1,-1,-1,87.0,-1
215,1,1,0,1,-1,78.0,1
216,1,0,1,-1,1,72.0,0
217,0,1,-1,1,0,72.0,-1
218,1,-1,1,0,-1,78.0,-1
219,-1,1,0,-1,-1,82.0,-1
220,1,0,1,1,1,71.0,1
221,0,1,1,1,1,64.0,-1
222,1,1,1,1,-1,70.0,1
223,1,1,1,-1,1,69.0,1
224,1,1,-1,1,1,67.0,1
225,1,-1,1,1,1,60.0,1
226,-1,1,1,1,1,57.0,-1
227,1,1,1,1,-1,62.0,-1
228,1,1,1,-1,-1,63.0,1
229,1,1,-1,-1,1,60.0,-1
230,1,-1,-1,1,-1,64.0,1
231,-1,-1,1,-1,1,63.0,-1
232,-1,1,-1,1,-1,65.0,-1
233,1,-1,1,-1,-1,70.0,-1
234,1,1,-1,-1,-1,84.0,-1
235,1,1,1,1,1,54.0,1
236,1,1,1,1,1,49.0,1
237,1,1,1,1,1,41.0,1
238,1,1,1,1,1,40.0,1
239,1,1,1,1,1,34.0,1
240,1,1,1,1,1,33.0,1
241,1,1,1,1,1,31.0,1
242,1,1,1,1,1,30.0,0
243,1,1,1,1,0,30.0,-1
244,1,1,1,0,-1,38.0,-1
245,1,1,0,-1,-1,44.0,-1
246,1,0,-1,-1,-1,52.0,-1
247,0,-1,-1,-1,-1,56.0,-1
248,-1,-1,-1,-1,-1,62.0,-1
249,1,1,1,1,1,14.0,1
250,1,1,1,1,1,10.0,-1
251,1,1,1,1,-1,14.0,-1
252,1,1,1,-1,-1,17.0,-1
253,1,1,-1,-1,-1,18.0,-1
254,1,-1,-1,-1,-1,23.0,-1
255,-1,-1,-1,-1,-1,36.0,-1
256,-1,-1,-1,-1,-1,53.0,-1
257,-1,-1,-1,-1,-1,76.0,-1
258,-1,-1,-1,-1,-1,89.0,1
259,-1,-1,-1,-1,1,73.0,-1
260,-1,-1,-1,1,-1,87.0,-1
261,-1,-1,-1,-1,1,84.0,1
262,-1,-1,-1,1,1,71.0,1
263,-1,-1,1,1,1,39.0,-1
264,-1,1,1,1,-1,55.0,-1
265,1,1,1,-1,-1,59.0,-1
266,1,1,-1,-1,-1,68.0,-1
267,1,-1,-1,-1,-1,77.0,-1
268,-1,-1,-1,-1,-1,88.0,1
269,-1,-1,-1,-1,1,86.0,-1
270,-1,-1,-1,1,-1,90.0,-1
271,-1,-1,1,-1,-1,99.0,1
272,-1,1,-1,-1,1,97.0,1
273,1,-1,-1,1,1,95.0,1
274,-1,-1,1,1,1,92.0,-1
275,-1,1,-1,1,-1,85.0,1
276,1,-1,1,-1,1,76.0,-1
277,-1,1,-1,1,-1,77.0,-1
278,-1,-1,-1,1,-1,81.0,-1
279,-1,-1,1,-1,-1,88.0,-1
280,-1,1,-1,-1,-1,93.0,-1
281,1,-1,-1,-1,-1,100.0,0
282,-1,-1,-1,-1,0,100.0,1
283,1,-1,1,1,1,5.0,1
284,-1,1,1,1,1,4.0,0
285,1,1,1,1,0,4.0,0
286,1,1,1,0,0,4.0,1
287,1,1,0,0,1,3.0,1
288,1,0,0,1,1,1.0,0
289,0,0,1,1,0,1.0,-1
290,0,1,1,0,-1,2.0,0
291,1,1,0,-1,0,2.0,-1
292,1,0,-1,0,-1,4.0,-1
293,0,-1,0,-1,-1,5.0,-1
294,-1,0,-1,-1,-1,8.0,-1
295,0,-1,-1,-1,-1,11.0,-1
296,-1,-1,-1,-1,-1,13.0,-1
297,-1,-1,-1,-1,-1,14.0,-1
298,-1,-1,-1,-1,-1,17.0,-1
299,-1,-1,-1,-1,-1,19.0,-1
300,-1,-1,-1,-1,-1,20.0,-1
301,-1,-1,-1,-1,-1,21.0,1
302,-1,-1,-1,-1,1,18.0,-1
303,-1,-1,-1,1,-1,24.0,-1
304,-1,-1,1,-1,-1,29.0,-1
305,-1,1,-1,-1,-1,31.0,-1
306,1,-1,-1,-1,-1,38.0,-1
307,-1,-1,-1,-1,-1,46.0,0
308,-1,-1,-1,-1,0,46.0,-1
309,1,1,1,0,1,44.0,1
310,1,1,0,1,1,35.0,0
311,1,0,1,1,0,35.0,0
312,0,1,1,0,0,35.0,0
313,1,1,0,0,0,35.0,-1
314,1,0,0,0,-1,38.0,1
315,0,0,0,-1,1,37.0,1
316,0,0,-1,1,1,36.0,-1
317,0,-1,1,1,-1,41.0,-1
318,-1,1,1,-1,-1,44.0,-1
319,1,1,-1,-1,-1,52.0,-1
320,1,-1,-1,-1,-1,53.0,-1
321,-1,-1,-1,-1,-1,59.0,-1
322,-1,-1,-1,-1,-1,63.0,-1
323,1,1,-1,-1,-1,76.0,-1
324,1,-1,-1,-1,-1,82.0,-1
325,-1,-1,-1,-1,-1,86.0,1
326,-1,-1,-1,-1,1,83.0,-1
327,-1,-1,-1,1,-1,85.0,-1
328,1,1,1,0,-1,52.0,1
329,1,1,0,-1,1,47.0,-1
330,1,0,-1,1,-1,49.0,1
331,0,-1,1,-1,1,46.0,1
332,-1,1,-1,1,1,42.0,1
333,1,-1,1,1,1,41.0,1
334,-1,1,1,1,1,35.0,-1
335,1,1,1,1,-1,36.0,-1
336,1,1,1,-1,-1,39.0,1
337,1,1,-1,-1,1,35.0,1
338,1,-1,-1,1,1,34.0,-1
339,-1,-1,1,1,-1,43.0,-1
340,-1,1,1,-1,-1,53.0,1
341,1,1,-1,-1,1,50.0,1
342,1,1,1,1,1,9.0,1
343,1,1,1,1,1,6.0,1
344,1,1,1,1,1,5.0,1
345,1,1,1,1,1,3.0,0
346,1,1,1,1,0,3.0,1
347,1,1,1,0,1,2.0,0
348,1,1,0,1,0,2.0,0
349,1,0,1,0,0,2.0,0
350,0,1,0,0,0,2.0,0
351,1,0,0,0,0,2.0,0
352,0,0,0,0,0,2.0,0
353,0,0,0,0,0,2.0,-1
354,0,0,0,0,-1,4.0,-1
355,0,0,0,-1,-1,5.0,-1
356,0,0,-1,-1,-1,6.0,-1
357,0,-1,-1,-1,-1,7.0,-1
358,-1,-1,-1,-1,-1,9.0,-1
359,-1,-1,-1,-1,-1,11.0,0
360,-1,-1,-1,-1,0,11.0,0
361,-1,-1,-1,0,0,11.0,-1
362,-1,-1,0,0,-1,19.0,-1
363,-1,0,0,-1,-1,21.0,-1
364,0,0,-1,-1,-1,25.0,-1
365,0,-1,-1,-1,-1,30.0,-1
366,-1,-1,-1,-1,-1,34.0,1
367,-1,-1,-1,-1,1,32.0,-1
368,-1,-1,-1,1,-1,34.0,1
369,-1,-1,1,-1,1,32.0,-1
370,-1,1,-1,1,-1,36.0,-1
371,1,-1,1,-1,-1,42.0,-1
372,-1,1,-1,-1,-1,44.0,1
373,1,-1,-1,-1,1,43.0,-1
374,-1,-1,-1,1,-1,44.0,-1
375,1,1,1,1,1,7.0,1
376,1,1,1,1,1,6.0,1
377,1,1,1,1,1,5.0,0
378,1,1,1,1,0,5.0,-1
379,1,1,1,0,-1,7.0,0
380,1,1,0,-1,0,7.0,-1
381,1,0,-1,0,-1,9.0,-1
382,0,-1,0,-1,-1,14.0,-1
383,-1,0,-1,-1,-1,23.0,-1
384,0,-1,-1,-1,-1,29.0,-1
385,-1,-1,-1,-1,-1,39.0,-1
386,-1,-1,-1,-1,-1,42.0,-1
387,-1,-1,-1,-1,-1,45.0,-1
388,-1,-1,-1,-1,-1,46.0,-1
389,-1,-1,-1,-1,-1,50.0,0
390,1,1,-1,1,-1,98.0,1
391,1,-1,1,-1,1,91.0,-1
392,1,0,-1,1,0,77.0,1
393,0,-1,1,0,1,73.0,1
394,-1,1,0,1,1,71.0,-1
395,1,0,1,1,-1,73.0,-1
396,0,1,1,-1,-1,76.0,-1
397,1,1,-1,-1,-1,81.0,-1
398,1,-1,-1,-1,-1,86.0,-1
399,-1,-1,-1,-1,-1,87.0,-1
400,1,-1,-1,-1,1,76.0,1
401,-1,-1,-1,1,1,74.0,-1
402,-1,-1,1,1,-1,82.0,1
403,-1,1,1,-1,1,75.0,-1
404,1,1,-1,1,-1,82.0,-1
405,1,-1,1,-1,-1,89.0,-1
406,-1,1,-1,-1,-1,92.0,-1
407,1,1,1,1,1,45.0,1
408,1,1,1,1,1,34.0,-1
409,1,1,1,1,-1,36.0,0
410,1,1,1,-1,0,36.0,1
411,1,1,-1,0,1,35.0,0
412,1,-1,0,1,0,35.0,0
413,-1,0,1,0,0,35.0,0
414,0,1,0,0,0,35.0,1
415,1,0,0,0,1,33.0,1
416,0,0,0,1,1,28.0,-1
417,0,0,1,1,-1,31.0,-1
418,0,1,1,-1,-1,32.0,-1
419,1,1,-1,-1,-1,35.0,-1
420,1,-1,-1,-1,-1,37.0,-1
421,-1,-1,-1,-1,-1,41.0,-1
422,-1,-1,-1,-1,-1,47.0,-1
423,1,1,1,1,1,43.0,1
424,1,1,1,1,1,36.0,1
425,1,1,1,1,1,35.0,-1
426,1,1,1,1,-1,36.0,0
427,1,1,1,-1,0,36.0,1
428,1,1,-1,0,1,32.0,1
429,1,-1,0,1,1,28.0,0
430,-1,0,1,1,0,28.0,1
431,0,1,1,0,1,25.0,1
432,1,1,0,1,1,21.0,1
433,1,0,1,1,1,18.0,0
434,0,1,1,1,0,18.0,1
435,1,1,1,0,1,14.0,1
436,1,1,0,1,1,13.0,1
437,1,0,1,1,1,11.0,0
438,0,1,1,1,0,11.0,-1
439,1,1,1,0,-1,12.0,0
440,1,1,0,-1,0,12.0,0
441,1,0,-1,0,0,12.0,-1
442,0,-1,0,0,-1,13.0,-1
443,-1,0,0,-1,-1,15.0,0
444,0,0,-1,-1,0,15.0,0
445,0,-1,-1,0,0,15.0,0
446,-1,-1,0,0,0,15.0,-1
447,-1,0,0,0,-1,16.0,-1
448,0,0,0,-1,-1,19.0,-1
449,0,0,-1,-1,-1,21.0,-1
450,0,-1,-1,-1,-1,26.0,1
451,-1,-1,-1,-1,1,22.0,-1
452,-1,-1,-1,1,-1,26.0,-1
453,-1,-1,1,-1,-1,29.0,0
454,-1,1,-1,-1,0,29.0,-1
455,1,-1,-1,0,-1,33.0,-1
456,-1,-1,0,-1,-1,34.0,-1
457,-1,0,-1,-1,-1,38.0,-1
458,0,-1,-1,-1,-1,46.0,1
459,-1,-1,-1,-1,1,44.0,-1
460,-1,-1,-1,1,-1,48.0,1
461,-1,-1,1,-1,1,47.0,-1
462,0,-1,1,1,-1,92.0,1
463,-1,1,1,1,-1,89.0,1
464,1,1,1,-1,1,86.0,1
465,1,1,-1,1,1,84.0,1
466,1,-1,1,1,1,76.0,-1
467,-1,1,1,1,-1,85.0,-1
468,1,0,1,1,1,55.0,1
469,0,1,1,1,1,54.0,1
470,1,1,1,1,1,41.0,-1
471,1,1,1,1,-1,44.0,1
472,1,1,1,-1,1,29.0,-1
473,1,1,-1,1,-1,36.0,1
474,1,-1,1,-1,1,27.0,-1
475,-1,1,-1,1,-1,43.0,-1
476,1,-1,1,-1,-1,59.0,-1
477,-1,1,-1,-1,-1,67.0,-1
478,1,1,1,1,1,31.0,1
479,1,1,1,1,1,28.0,0
480,1,1,1,1,0,28.0,1
481,1,1,1,0,1,23.0,0
482,1,1,0,1,0,23.0,0
483,1,0,1,0,0,23.0,0
484,0,1,0,0,0,23.0,-1
485,1,0,0,0,-1,28.0,1
486,0,0,0,-1,1,26.0,-1
487,0,0,-1,1,-1,27.0,1
488,0,-1,1,-1,1,25.0,-1
489,-1,1,-1,1,-1,33.0,-1
490,1,-1,1,-1,-1,38.0,-1
491,-1,1,-1,-1,-1,41.0,-1
492,1,0,1,-1,1,72.0,1
493,0,1,-1,1,1,71.0,1
494,1,-1,1,1,1,64.0,1
495,-1,1,1,1,1,60.0,-1
496,1,1,1,1,-1,63.0,-1
497,1,1,1,-1,-1,69.0,1
498,1,1,-1,-1,1,57.0,1
499,1,-1,-1,1,1,54.0,1
500,-1,-1,1,1,1,42.0,-1
501,-1,1,1,1,-1,57.0,1
502,1,1,1,-1,1,55.0,-1
503,1,1,-1,1,-1,68.0,-1
504,1,-1,0,1,1,84.0,-1
505,-1,0,1,1,-1,91.0,1
506,0,1,1,-1,1,89.0,-1
507,1,1,-1,1,-1,90.0,-1
508,1,1,0,1,0,13.0,0
509,1,0,1,0,0,13.0,1
510,0,1,0,0,1,12.0,-1
511,1,0,0,1,-1,17.0,0
512,0,0,1,-1,0,17.0,-1
513,0,1,-1,0,-1,18.0,1
514,1,-1,0,-1,1,17.0,-1
515,-1,0,-1,1,-1,21.0,-1
516,0,-1,1,-1,-1,25.0,-1
517,-1,1,-1,-1,-1,26.0,-1
518,1,-1,-1,-1,-1,28.0,-1
519,-1,-1,-1,-1,-1,34.0,-1
520,-1,-1,-1,-1,-1,35.0,-1
521,-1,-1,-1,-1,-1,40.0,-1
522,-1,-1,-1,-1,-1,46.0,0
523,-1,-1,-1,-1,0,46.0,-1
524,1,1,1,0,1,41.0,1
525,1,1,0,1,1,34.0,1
526,1,0,1,1,1,28.0,1
527,0,1,1,1,1,25.0,1
528,1,1,1,1,1,23.0,-1
529,1,1,1,1,-1,29.0,0
530,1,1,1,-1,0,29.0,-1
531,1,1,-1,0,-1,36.0,-1
532,1,-1,0,-1,-1,46.0,-1
533,-1,0,-1,-1,-1,55.0,-1
534,0,-1,-1,-1,-1,64.0,-1
535,-1,-1,-1,-1,-1,68.0,1
536,-1,-1,-1,-1,1,66.0,-1
537,-1,-1,-1,1,-1,67.0,-1
538,1,1,1,1,1,52.0,-1
539,1,1,1,1,-1,54.0,-1
540,1,1,1,-1,-1,57.0,-1
541,1,1,-1,-1,-1,63.0,-1
542,1,-1,-1,-1,-1,76.0,-1
543,1,1,0,0,-1,20.0,-1
544,1,0,0,-1,-1,23.0,1
545,0,0,-1,-1,1,21.0,-1
546,0,-1,-1,1,-1,26.0,-1
547,-1,-1,1,-1,-1,30.0,-1
548,-1,1,-1,-1,-1,35.0,-1
549,1,-1,-1,-1,-1,47.0,-1
550,-1,-1,-1,-1,-1,65.0,-1
551,-1,-1,-1,-1,-1,66.0,-1
552,-1,-1,-1,-1,-1,74.0,-1
553,-1,-1,-1,-1,-1,86.0,-1
554,-1,-1,-1,-1,-1,96.0,-1
555,-1,-1,-1,-1,-1,99.0,1
556,-1,-1,-1,-1,1,96.0,-1
557,1,0,1,-1,-1,7.0,-1
558,0,1,-1,-1,-1,8.0,0
559,1,-1,-1,-1,0,8.0,-1
560,-1,-1,-1,0,-1,10.0,-1
