,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,diff_9,target
160,61.0,60.0,53.0,51.0,48.0,44.0,38.0,40.0,43.0,52.0,56.0
161,60.0,53.0,51.0,48.0,44.0,38.0,40.0,43.0,52.0,56.0,63.0
162,53.0,51.0,48.0,44.0,38.0,40.0,43.0,52.0,56.0,63.0,70.0
163,51.0,48.0,44.0,38.0,40.0,43.0,52.0,56.0,63.0,70.0,85.0
164,48.0,44.0,38.0,40.0,43.0,52.0,56.0,63.0,70.0,85.0,91.0
165,44.0,38.0,40.0,43.0,52.0,56.0,63.0,70.0,85.0,91.0,90.0
166,3.0,3.0,4.0,4.0,4.0,7.0,9.0,14.0,18.0,16.0,19.0
167,3.0,4.0,4.0,4.0,7.0,9.0,14.0,18.0,16.0,19.0,21.0
168,4.0,4.0,4.0,7.0,9.0,14.0,18.0,16.0,19.0,21.0,24.0
169,4.0,4.0,7.0,9.0,14.0,18.0,16.0,19.0,21.0,24.0,27.0
170,4.0,7.0,9.0,14.0,18.0,16.0,19.0,21.0,24.0,27.0,28.0
171,7.0,9.0,14.0,18.0,16.0,19.0,21.0,24.0,27.0,28.0,34.0
172,9.0,14.0,18.0,16.0,19.0,21.0,24.0,27.0,28.0,34.0,38.0
173,52.0,46.0,33.0,28.0,22.0,20.0,24.0,25.0,26.0,28.0,37.0
174,46.0,33.0,28.0,22.0,20.0,24.0,25.0,26.0,28.0,37.0,51.0
175,33.0,28.0,22.0,20.0,24.0,25.0,26.0,28.0,37.0,51.0,61.0
176,28.0,22.0,20.0,24.0,25.0,26.0,28.0,37.0,51.0,61.0,71.0
177,22.0,20.0,24.0,25.0,26.0,28.0,37.0,51.0,61.0,71.0,82.0
178,20.0,24.0,25.0,26.0,28.0,37.0,51.0,61.0,71.0,82.0,88.0
179,24.0,25.0,26.0,28.0,37.0,51.0,61.0,71.0,82.0,88.0,86.0
180,74.0,73.0,70.0,65.0,57.0,59.0,56.0,68.0,75.0,90.0,99.0
181,73.0,70.0,65.0,57.0,59.0,56.0,68.0,75.0,90.0,99.0,99.0
182,70.0,65.0,57.0,59.0,56.0,68.0,75.0,90.0,99.0,99.0,101.0
183,79.0,59.0,48.0,33.0,24.0,15.0,14.0,10.0,11.0,10.0,9.0
184,19.0,12.0,15.0,20.0,16.0,15.0,13.0,13.0,16.0,14.0,15.0
185,12.0,15.0,20.0,16.0,15.0,13.0,13.0,16.0,14.0,15.0,19.0
186,15.0,20.0,16.0,15.0,13.0,13.0,16.0,14.0,15.0,19.0,28.0
187,20.0,16.0,15.0,13.0,13.0,16.0,14.0,15.0,19.0,28.0,36.0
188,16.0,15.0,13.0,13.0,16.0,14.0,15.0,19.0,28.0,36.0,47.0
189,15.0,13.0,13.0,16.0,14.0,15.0,19.0,28.0,36.0,47.0,52.0
190,13.0,13.0,16.0,14.0,15.0,19.0,28.0,36.0,47.0,52.0,101.0
191,84.0,79.0,68.0,55.0,48.0,57.0,52.0,51.0,64.0,86.0,94.0
192,79.0,68.0,55.0,48.0,57.0,52.0,51.0,64.0,86.0,94.0,101.0
193,14.0,13.0,12.0,13.0,12.0,12.0,14.0,20.0,22.0,22.0,23.0
194,13.0,12.0,13.0,12.0,12.0,14.0,20.0,22.0,22.0,23.0,24.0
195,12.0,13.0,12.0,12.0,14.0,20.0,22.0,22.0,23.0,24.0,22.0
196,13.0,12.0,12.0,14.0,20.0,22.0,22.0,23.0,24.0,22.0,23.0
197,12.0,12.0,14.0,20.0,22.0,22.0,23.0,24.0,22.0,23.0,24.0
198,12.0,14.0,20.0,22.0,22.0,23.0,24.0,22.0,23.0,24.0,27.0
199,14.0,20.0,22.0,22.0,23.0,24.0,22.0,23.0,24.0,27.0,32.0
200,17.0,25.0,28.0,33.0,31.0,32.0,36.0,36.0,41.0,46.0,49.0
201,25.0,28.0,33.0,31.0,32.0,36.0,36.0,41.0,46.0,49.0,49.0
202,28.0,33.0,31.0,32.0,36.0,36.0,41.0,46.0,49.0,49.0,48.0
203,33.0,31.0,32.0,36.0,36.0,41.0,46.0,49.0,49.0,48.0,101.0
204,98.0,90.0,90.0,87.0,86.0,75.0,80.0,75.0,38.0,35.0,52.0
205,90.0,90.0,87.0,86.0,75.0,80.0,75.0,38.0,35.0,52.0,50.0
206,90.0,87.0,86.0,75.0,80.0,75.0,38.0,35.0,52.0,50.0,38.0
207,87.0,86.0,75.0,80.0,75.0,38.0,35.0,52.0,50.0,38.0,35.0
208,86.0,75.0,80.0,75.0,38.0,35.0,52.0,50.0,38.0,35.0,30.0
209,10.0,10.0,10.0,10.0,10.0,9.0,11.0,15.0,20.0,27.0,29.0
210,10.0,10.0,10.0,10.0,9.0,11.0,15.0,20.0,27.0,29.0,31.0
211,10.0,10.0,10.0,9.0,11.0,15.0,20.0,27.0,29.0,31.0,37.0
212,10.0,10.0,9.0,11.0,15.0,20.0,27.0,29.0,31.0,37.0,42.0
213,10.0,9.0,11.0,15.0,20.0,27.0,29.0,31.0,37.0,42.0,46.0
214,9.0,11.0,15.0,20.0,27.0,29.0,31.0,37.0,42.0,46.0,41.0
215,11.0,15.0,20.0,27.0,29.0,31.0,37.0,42.0,46.0,41.0,46.0
216,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0
217,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0
218,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
219,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
220,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
221,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0
222,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
223,36.0,40.0,36.0,35.0,29.0,19.0,16.0,12.0,10.0,8.0,8.0
224,40.0,36.0,35.0,29.0,19.0,16.0,12.0,10.0,8.0,8.0,7.0
225,36.0,35.0,29.0,19.0,16.0,12.0,10.0,8.0,8.0,7.0,7.0
226,35.0,29.0,19.0,16.0,12.0,10.0,8.0,8.0,7.0,7.0,7.0
227,29.0,19.0,16.0,12.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0
228,19.0,16.0,12.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
229,16.0,12.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0
230,95.0,88.0,79.0,73.0,70.0,57.0,50.0,31.0,26.0,20.0,22.0
231,55.0,51.0,37.0,34.0,32.0,23.0,12.0,5.0,8.0,5.0,5.0
232,51.0,37.0,34.0,32.0,23.0,12.0,5.0,8.0,5.0,5.0,5.0
233,37.0,34.0,32.0,23.0,12.0,5.0,8.0,5.0,5.0,5.0,4.0
234,34.0,32.0,23.0,12.0,5.0,8.0,5.0,5.0,5.0,4.0,4.0
235,32.0,23.0,12.0,5.0,8.0,5.0,5.0,5.0,4.0,4.0,5.0
236,23.0,12.0,5.0,8.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
237,12.0,5.0,8.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0
238,97.0,97.0,80.0,76.0,77.0,76.0,73.0,70.0,74.0,78.0,81.0
239,97.0,80.0,76.0,77.0,76.0,73.0,70.0,74.0,78.0,81.0,82.0
240,80.0,76.0,77.0,76.0,73.0,70.0,74.0,78.0,81.0,82.0,81.0
241,13.0,14.0,17.0,16.0,15.0,21.0,27.0,32.0,34.0,41.0,48.0
242,14.0,17.0,16.0,15.0,21.0,27.0,32.0,34.0,41.0,48.0,101.0
243,75.0,60.0,57.0,36.0,37.0,34.0,26.0,22.0,17.0,15.0,12.0
244,60.0,57.0,36.0,37.0,34.0,26.0,22.0,17.0,15.0,12.0,14.0
245,57.0,36.0,37.0,34.0,26.0,22.0,17.0,15.0,12.0,14.0,16.0
246,36.0,37.0,34.0,26.0,22.0,17.0,15.0,12.0,14.0,16.0,15.0
247,37.0,34.0,26.0,22.0,17.0,15.0,12.0,14.0,16.0,15.0,14.0
248,34.0,26.0,22.0,17.0,15.0,12.0,14.0,16.0,15.0,14.0,14.0
249,26.0,22.0,17.0,15.0,12.0,14.0,16.0,15.0,14.0,14.0,16.0
250,81.0,64.0,55.0,53.0,53.0,48.0,45.0,28.0,27.0,33.0,27.0
251,64.0,55.0,53.0,53.0,48.0,45.0,28.0,27.0,33.0,27.0,24.0
252,55.0,53.0,53.0,48.0,45.0,28.0,27.0,33.0,27.0,24.0,21.0
253,32.0,32.0,31.0,26.0,28.0,35.0,38.0,43.0,54.0,63.0,72.0
254,32.0,31.0,26.0,28.0,35.0,38.0,43.0,54.0,63.0,72.0,79.0
255,31.0,26.0,28.0,35.0,38.0,43.0,54.0,63.0,72.0,79.0,87.0
256,26.0,28.0,35.0,38.0,43.0,54.0,63.0,72.0,79.0,87.0,101.0
257,94.0,79.0,83.0,83.0,76.0,82.0,59.0,62.0,67.0,61.0,64.0
258,79.0,83.0,83.0,76.0,82.0,59.0,62.0,67.0,61.0,64.0,59.0
259,83.0,83.0,76.0,82.0,59.0,62.0,67.0,61.0,64.0,59.0,62.0
260,83.0,76.0,82.0,59.0,62.0,67.0,61.0,64.0,59.0,62.0,59.0
261,76.0,82.0,59.0,62.0,67.0,61.0,64.0,59.0,62.0,59.0,54.0
262,29.0,26.0,20.0,22.0,13.0,11.0,8.0,6.0,9.0,9.0,9.0
263,26.0,20.0,22.0,13.0,11.0,8.0,6.0,9.0,9.0,9.0,10.0
264,20.0,22.0,13.0,11.0,8.0,6.0,9.0,9.0,9.0,10.0,13.0
265,22.0,13.0,11.0,8.0,6.0,9.0,9.0,9.0,10.0,13.0,14.0
266,13.0,11.0,8.0,6.0,9.0,9.0,9.0,10.0,13.0,14.0,17.0
267,11.0,8.0,6.0,9.0,9.0,9.0,10.0,13.0,14.0,17.0,16.0
268,8.0,6.0,9.0,9.0,9.0,10.0,13.0,14.0,17.0,16.0,20.0
269,9.0,6.0,6.0,7.0,6.0,5.0,7.0,8.0,15.0,18.0,17.0
270,6.0,6.0,7.0,6.0,5.0,7.0,8.0,15.0,18.0,17.0,20.0
271,6.0,7.0,6.0,5.0,7.0,8.0,15.0,18.0,17.0,20.0,26.0
272,7.0,6.0,5.0,7.0,8.0,15.0,18.0,17.0,20.0,26.0,35.0
273,6.0,5.0,7.0,8.0,15.0,18.0,17.0,20.0,26.0,35.0,45.0
274,5.0,7.0,8.0,15.0,18.0,17.0,20.0,26.0,35.0,45.0,48.0
275,7.0,8.0,15.0,18.0,17.0,20.0,26.0,35.0,45.0,48.0,101.0
276,30.0,28.0,26.0,32.0,30.0,26.0,23.0,27.0,27.0,29.0,30.0
277,28.0,26.0,32.0,30.0,26.0,23.0,27.0,27.0,29.0,30.0,27.0
278,26.0,32.0,30.0,26.0,23.0,27.0,27.0,29.0,30.0,27.0,32.0
279,32.0,30.0,26.0,23.0,27.0,27.0,29.0,30.0,27.0,32.0,30.0
280,30.0,26.0,23.0,27.0,27.0,29.0,30.0,27.0,32.0,30.0,37.0
281,26.0,23.0,27.0,27.0,29.0,30.0,27.0,32.0,30.0,37.0,38.0
282,23.0,27.0,27.0,29.0,30.0,27.0,32.0,30.0,37.0,38.0,42.0
283,41.0,42.0,41.0,30.0,36.0,38.0,37.0,41.0,45.0,45.0,44.0
284,42.0,41.0,30.0,36.0,38.0,37.0,41.0,45.0,45.0,44.0,45.0
285,41.0,30.0,36.0,38.0,37.0,41.0,45.0,45.0,44.0,45.0,49.0
286,30.0,36.0,38.0,37.0,41.0,45.0,45.0,44.0,45.0,49.0,101.0
287,95.0,90.0,77.0,80.0,74.0,67.0,77.0,83.0,80.0,84.0,86.0
288,90.0,77.0,80.0,74.0,67.0,77.0,83.0,80.0,84.0,86.0,93.0
289,77.0,80.0,74.0,67.0,77.0,83.0,80.0,84.0,86.0,93.0,99.0
290,80.0,74.0,67.0,77.0,83.0,80.0,84.0,86.0,93.0,99.0,95.0
291,74.0,67.0,77.0,83.0,80.0,84.0,86.0,93.0,99.0,95.0,99.0
292,67.0,77.0,83.0,80.0,84.0,86.0,93.0,99.0,95.0,99.0,101.0
293,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0
294,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0
295,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0
296,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0
297,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0,8.0
298,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0,8.0,11.0
299,1.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0,8.0,11.0,13.0
