,diff_0,diff_1,diff_2,diff_3,target
144,70.0,61.0,57.0,63.0,63.0
145,61.0,57.0,63.0,63.0,63.0
146,57.0,63.0,63.0,63.0,71.0
147,63.0,63.0,63.0,71.0,73.0
148,63.0,63.0,71.0,73.0,101.0
149,81.0,83.0,87.0,83.0,99.0
150,83.0,87.0,83.0,99.0,99.0
151,87.0,83.0,99.0,99.0,101.0
152,94.0,74.0,72.0,65.0,61.0
153,74.0,72.0,65.0,61.0,62.0
154,72.0,65.0,61.0,62.0,61.0
155,65.0,61.0,62.0,61.0,66.0
156,61.0,62.0,61.0,66.0,54.0
157,62.0,61.0,66.0,54.0,65.0
158,61.0,66.0,54.0,65.0,81.0
159,66.0,54.0,65.0,81.0,99.0
160,54.0,65.0,81.0,99.0,101.0
161,34.0,34.0,32.0,29.0,34.0
162,34.0,32.0,29.0,34.0,33.0
163,32.0,29.0,34.0,33.0,33.0
164,29.0,34.0,33.0,33.0,30.0
165,34.0,33.0,33.0,30.0,33.0
166,33.0,33.0,30.0,33.0,40.0
167,33.0,30.0,33.0,40.0,47.0
168,30.0,33.0,40.0,47.0,101.0
169,47.0,29.0,50.0,44.0,101.0
170,63.0,47.0,43.0,41.0,26.0
171,47.0,43.0,41.0,26.0,22.0
172,43.0,41.0,26.0,22.0,22.0
173,41.0,26.0,22.0,22.0,18.0
174,26.0,22.0,22.0,18.0,14.0
175,22.0,22.0,18.0,14.0,11.0
176,22.0,18.0,14.0,11.0,10.0
177,18.0,14.0,11.0,10.0,9.0
178,14.0,11.0,10.0,9.0,10.0
179,11.0,10.0,9.0,10.0,9.0
180,10.0,9.0,10.0,9.0,9.0
181,9.0,10.0,9.0,9.0,9.0
182,10.0,9.0,9.0,9.0,11.0
183,15.0,15.0,21.0,24.0,24.0
184,15.0,21.0,24.0,24.0,27.0
185,21.0,24.0,24.0,27.0,32.0
186,24.0,24.0,27.0,32.0,35.0
187,24.0,27.0,32.0,35.0,42.0
188,27.0,32.0,35.0,42.0,42.0
189,32.0,35.0,42.0,42.0,32.0
190,35.0,42.0,42.0,32.0,38.0
191,42.0,42.0,32.0,38.0,39.0
192,42.0,32.0,38.0,39.0,45.0
193,32.0,38.0,39.0,45.0,50.0
194,38.0,39.0,45.0,50.0,101.0
195,81.0,97.0,91.0,92.0,87.0
196,97.0,91.0,92.0,87.0,71.0
197,91.0,92.0,87.0,71.0,39.0
198,79.0,84.0,76.0,71.0,85.0
199,84.0,76.0,71.0,85.0,96.0
200,76.0,71.0,85.0,96.0,97.0
201,71.0,85.0,96.0,97.0,101.0
202,99.0,91.0,84.0,78.0,69.0
203,91.0,84.0,78.0,69.0,69.0
204,84.0,78.0,69.0,69.0,68.0
205,78.0,69.0,69.0,68.0,69.0
206,69.0,69.0,68.0,69.0,62.0
207,69.0,68.0,69.0,62.0,62.0
208,68.0,69.0,62.0,62.0,60.0
209,69.0,62.0,62.0,60.0,60.0
210,62.0,62.0,60.0,60.0,55.0
211,62.0,60.0,60.0,55.0,56.0
212,31.0,30.0,27.0,23.0,25.0
213,30.0,27.0,23.0,25.0,30.0
214,27.0,23.0,25.0,30.0,40.0
215,23.0,25.0,30.0,40.0,47.0
216,25.0,30.0,40.0,47.0,67.0
217,30.0,40.0,47.0,67.0,70.0
218,40.0,47.0,67.0,70.0,75.0
219,47.0,67.0,70.0,75.0,101.0
220,94.0,85.0,80.0,74.0,68.0
221,85.0,80.0,74.0,68.0,62.0
222,89.0,92.0,75.0,73.0,73.0
223,92.0,75.0,73.0,73.0,79.0
224,75.0,73.0,73.0,79.0,68.0
225,73.0,73.0,79.0,68.0,90.0
226,73.0,79.0,68.0,90.0,93.0
227,79.0,68.0,90.0,93.0,98.0
228,68.0,90.0,93.0,98.0,100.0
229,90.0,93.0,98.0,100.0,101.0
230,86.0,87.0,97.0,76.0,75.0
231,87.0,97.0,76.0,75.0,75.0
232,97.0,76.0,75.0,75.0,71.0
233,76.0,75.0,75.0,71.0,66.0
234,75.0,75.0,71.0,66.0,66.0
235,75.0,71.0,66.0,66.0,58.0
236,71.0,66.0,66.0,58.0,60.0
237,66.0,66.0,58.0,60.0,69.0
238,66.0,58.0,60.0,69.0,101.0
239,25.0,21.0,25.0,25.0,23.0
240,21.0,25.0,25.0,23.0,24.0
241,25.0,25.0,23.0,24.0,25.0
242,25.0,23.0,24.0,25.0,26.0
243,23.0,24.0,25.0,26.0,30.0
244,24.0,25.0,26.0,30.0,30.0
245,25.0,26.0,30.0,30.0,35.0
246,26.0,30.0,30.0,35.0,39.0
247,30.0,30.0,35.0,39.0,38.0
248,30.0,35.0,39.0,38.0,41.0
249,35.0,39.0,38.0,41.0,43.0
250,39.0,38.0,41.0,43.0,44.0
251,38.0,41.0,43.0,44.0,45.0
252,81.0,76.0,63.0,54.0,31.0
253,76.0,63.0,54.0,31.0,25.0
254,20.0,20.0,18.0,21.0,17.0
255,20.0,18.0,21.0,17.0,13.0
256,18.0,21.0,17.0,13.0,15.0
257,21.0,17.0,13.0,15.0,16.0
258,17.0,13.0,15.0,16.0,19.0
259,13.0,15.0,16.0,19.0,17.0
260,15.0,16.0,19.0,17.0,16.0
261,16.0,19.0,17.0,16.0,17.0
262,19.0,17.0,16.0,17.0,19.0
263,17.0,16.0,17.0,19.0,19.0
264,16.0,17.0,19.0,19.0,21.0
265,17.0,19.0,19.0,21.0,23.0
266,19.0,19.0,21.0,23.0,24.0
267,68.0,57.0,52.0,48.0,39.0
268,57.0,52.0,48.0,39.0,36.0
269,52.0,48.0,39.0,36.0,31.0
270,48.0,39.0,36.0,31.0,33.0
271,39.0,36.0,31.0,33.0,39.0
272,36.0,31.0,33.0,39.0,21.0
273,31.0,33.0,39.0,21.0,18.0
274,33.0,39.0,21.0,18.0,13.0
275,39.0,21.0,18.0,13.0,18.0
276,21.0,18.0,13.0,18.0,18.0
277,18.0,13.0,18.0,18.0,22.0
278,13.0,18.0,18.0,22.0,25.0
279,18.0,18.0,22.0,25.0,26.0
280,76.0,89.0,82.0,72.0,70.0
281,89.0,82.0,72.0,70.0,101.0
282,94.0,69.0,62.0,61.0,59.0
283,69.0,62.0,61.0,59.0,61.0
284,62.0,61.0,59.0,61.0,52.0
285,61.0,59.0,61.0,52.0,54.0
286,59.0,61.0,52.0,54.0,49.0
287,61.0,52.0,54.0,49.0,44.0
288,52.0,54.0,49.0,44.0,40.0
289,54.0,49.0,44.0,40.0,35.0
290,12.0,17.0,23.0,14.0,20.0
291,17.0,23.0,14.0,20.0,25.0
292,23.0,14.0,20.0,25.0,29.0
293,14.0,20.0,25.0,29.0,31.0
294,20.0,25.0,29.0,31.0,32.0
295,25.0,29.0,31.0,32.0,36.0
296,29.0,31.0,32.0,36.0,33.0
297,31.0,32.0,36.0,33.0,34.0
298,32.0,36.0,33.0,34.0,40.0
299,36.0,33.0,34.0,40.0,40.0
300,33.0,34.0,40.0,40.0,48.0
301,34.0,40.0,40.0,48.0,49.0
302,40.0,40.0,48.0,49.0,101.0
303,53.0,48.0,51.0,46.0,44.0
304,48.0,51.0,46.0,44.0,44.0
305,51.0,46.0,44.0,44.0,39.0
306,46.0,44.0,44.0,39.0,40.0
307,44.0,44.0,39.0,40.0,44.0
308,44.0,39.0,40.0,44.0,39.0
309,39.0,40.0,44.0,39.0,43.0
310,40.0,44.0,39.0,43.0,37.0
311,44.0,39.0,43.0,37.0,36.0
312,39.0,43.0,37.0,36.0,26.0
313,43.0,37.0,36.0,26.0,30.0
314,37.0,36.0,26.0,30.0,26.0
315,36.0,26.0,30.0,26.0,29.0
316,24.0,33.0,35.0,39.0,50.0
317,33.0,35.0,39.0,50.0,53.0
318,35.0,39.0,50.0,53.0,51.0
319,39.0,50.0,53.0,51.0,89.0
320,50.0,53.0,51.0,89.0,101.0
321,100.0,70.0,66.0,62.0,54.0
322,70.0,66.0,62.0,54.0,52.0
323,66.0,62.0,54.0,52.0,56.0
324,62.0,54.0,52.0,56.0,56.0
325,54.0,52.0,56.0,56.0,58.0
326,52.0,56.0,56.0,58.0,65.0
327,56.0,56.0,58.0,65.0,77.0
328,56.0,58.0,65.0,77.0,97.0
329,58.0,65.0,77.0,97.0,101.0
330,65.0,66.0,65.0,56.0,54.0
331,66.0,65.0,56.0,54.0,61.0
332,65.0,56.0,54.0,61.0,74.0
333,56.0,54.0,61.0,74.0,93.0
334,54.0,61.0,74.0,93.0,101.0
335,54.0,63.0,74.0,75.0,72.0
336,63.0,74.0,75.0,72.0,92.0
337,74.0,75.0,72.0,92.0,101.0
338,86.0,83.0,62.0,62.0,81.0
339,83.0,62.0,62.0,81.0,83.0
340,62.0,62.0,81.0,83.0,70.0
341,62.0,81.0,83.0,70.0,84.0
342,81.0,83.0,70.0,84.0,87.0
343,83.0,70.0,84.0,87.0,90.0
344,70.0,84.0,87.0,90.0,101.0
345,77.0,62.0,39.0,42.0,42.0
346,62.0,39.0,42.0,42.0,37.0
347,39.0,42.0,42.0,37.0,21.0
348,42.0,42.0,37.0,21.0,7.0
349,42.0,37.0,21.0,7.0,13.0
350,37.0,21.0,7.0,13.0,12.0
351,21.0,7.0,13.0,12.0,11.0
352,7.0,13.0,12.0,11.0,11.0
353,13.0,12.0,11.0,11.0,15.0
354,12.0,11.0,11.0,15.0,13.0
355,11.0,11.0,15.0,13.0,15.0
356,11.0,15.0,13.0,15.0,15.0
357,15.0,13.0,15.0,15.0,17.0
358,97.0,98.0,94.0,92.0,85.0
359,76.0,70.0,60.0,58.0,58.0
360,70.0,60.0,58.0,58.0,55.0
361,60.0,58.0,58.0,55.0,42.0
362,58.0,58.0,55.0,42.0,44.0
363,58.0,55.0,42.0,44.0,46.0
364,55.0,42.0,44.0,46.0,48.0
365,42.0,44.0,46.0,48.0,56.0
366,44.0,46.0,48.0,56.0,75.0
367,46.0,48.0,56.0,75.0,80.0
368,1.0,1.0,1.0,1.0,2.0
369,1.0,1.0,1.0,2.0,2.0
370,1.0,1.0,2.0,2.0,3.0
371,1.0,2.0,2.0,3.0,4.0
372,2.0,2.0,3.0,4.0,5.0
373,2.0,3.0,4.0,5.0,6.0
374,3.0,4.0,5.0,6.0,7.0
375,4.0,5.0,6.0,7.0,8.0
376,5.0,6.0,7.0,8.0,11.0
377,6.0,7.0,8.0,11.0,12.0
378,7.0,8.0,11.0,12.0,16.0
379,8.0,11.0,12.0,16.0,19.0
380,11.0,12.0,16.0,19.0,19.0
381,8.0,8.0,7.0,8.0,9.0
382,8.0,7.0,8.0,9.0,6.0
383,7.0,8.0,9.0,6.0,5.0
384,8.0,9.0,6.0,5.0,10.0
385,9.0,6.0,5.0,10.0,12.0
386,6.0,5.0,10.0,12.0,19.0
387,5.0,10.0,12.0,19.0,21.0
388,10.0,12.0,19.0,21.0,26.0
389,12.0,19.0,21.0,26.0,33.0
390,19.0,21.0,26.0,33.0,32.0
391,21.0,26.0,33.0,32.0,39.0
392,26.0,33.0,32.0,39.0,47.0
393,33.0,32.0,39.0,47.0,101.0
394,48.0,41.0,42.0,31.0,33.0
395,41.0,42.0,31.0,33.0,31.0
396,42.0,31.0,33.0,31.0,30.0
397,31.0,33.0,31.0,30.0,24.0
398,33.0,31.0,30.0,24.0,25.0
399,31.0,30.0,24.0,25.0,24.0
400,30.0,24.0,25.0,24.0,26.0
401,24.0,25.0,24.0,26.0,23.0
402,25.0,24.0,26.0,23.0,31.0
403,24.0,26.0,23.0,31.0,37.0
404,26.0,23.0,31.0,37.0,41.0
405,23.0,31.0,37.0,41.0,46.0
406,31.0,37.0,41.0,46.0,101.0
407,92.0,96.0,96.0,98.0,100.0
408,96.0,96.0,98.0,100.0,101.0
409,45.0,52.0,34.0,37.0,101.0
410,98.0,96.0,80.0,88.0,90.0
411,96.0,80.0,88.0,90.0,81.0
412,80.0,88.0,90.0,81.0,86.0
413,88.0,90.0,81.0,86.0,86.0
414,90.0,81.0,86.0,86.0,93.0
415,81.0,86.0,86.0,93.0,68.0
416,86.0,86.0,93.0,68.0,84.0
417,86.0,93.0,68.0,84.0,101.0
418,67.0,61.0,60.0,53.0,51.0
419,61.0,60.0,53.0,51.0,48.0
420,60.0,53.0,51.0,48.0,44.0
421,53.0,51.0,48.0,44.0,38.0
422,51.0,48.0,44.0,38.0,40.0
423,48.0,44.0,38.0,40.0,43.0
424,44.0,38.0,40.0,43.0,52.0
425,38.0,40.0,43.0,52.0,56.0
426,40.0,43.0,52.0,56.0,63.0
427,43.0,52.0,56.0,63.0,70.0
428,52.0,56.0,63.0,70.0,85.0
429,56.0,63.0,70.0,85.0,91.0
430,63.0,70.0,85.0,91.0,90.0
431,3.0,3.0,4.0,4.0,4.0
432,3.0,4.0,4.0,4.0,7.0
433,4.0,4.0,4.0,7.0,9.0
434,4.0,4.0,7.0,9.0,14.0
435,4.0,7.0,9.0,14.0,18.0
436,7.0,9.0,14.0,18.0,16.0
437,9.0,14.0,18.0,16.0,19.0
438,14.0,18.0,16.0,19.0,21.0
439,18.0,16.0,19.0,21.0,24.0
440,16.0,19.0,21.0,24.0,27.0
441,19.0,21.0,24.0,27.0,28.0
442,21.0,24.0,27.0,28.0,34.0
443,24.0,27.0,28.0,34.0,38.0
444,88.0,73.0,67.0,57.0,58.0
445,73.0,67.0,57.0,58.0,51.0
446,67.0,57.0,58.0,51.0,44.0
447,71.0,71.0,69.0,64.0,58.0
448,71.0,69.0,64.0,58.0,56.0
449,69.0,64.0,58.0,56.0,59.0
450,64.0,58.0,56.0,59.0,73.0
451,58.0,56.0,59.0,73.0,101.0
452,52.0,46.0,33.0,28.0,22.0
453,46.0,33.0,28.0,22.0,20.0
454,33.0,28.0,22.0,20.0,24.0
455,28.0,22.0,20.0,24.0,25.0
456,22.0,20.0,24.0,25.0,26.0
457,20.0,24.0,25.0,26.0,28.0
458,24.0,25.0,26.0,28.0,37.0
459,25.0,26.0,28.0,37.0,51.0
460,26.0,28.0,37.0,51.0,61.0
461,28.0,37.0,51.0,61.0,71.0
462,37.0,51.0,61.0,71.0,82.0
463,51.0,61.0,71.0,82.0,88.0
464,61.0,71.0,82.0,88.0,86.0
465,87.0,81.0,79.0,78.0,72.0
466,81.0,79.0,78.0,72.0,72.0
467,79.0,78.0,72.0,72.0,67.0
468,78.0,72.0,72.0,67.0,67.0
469,72.0,72.0,67.0,67.0,56.0
470,72.0,67.0,67.0,56.0,52.0
471,74.0,73.0,70.0,65.0,57.0
472,73.0,70.0,65.0,57.0,59.0
473,70.0,65.0,57.0,59.0,56.0
474,65.0,57.0,59.0,56.0,68.0
475,57.0,59.0,56.0,68.0,75.0
476,59.0,56.0,68.0,75.0,90.0
477,56.0,68.0,75.0,90.0,99.0
478,68.0,75.0,90.0,99.0,99.0
479,75.0,90.0,99.0,99.0,101.0
480,79.0,59.0,48.0,33.0,24.0
481,59.0,48.0,33.0,24.0,15.0
482,48.0,33.0,24.0,15.0,14.0
483,33.0,24.0,15.0,14.0,10.0
484,24.0,15.0,14.0,10.0,11.0
485,15.0,14.0,10.0,11.0,10.0
486,14.0,10.0,11.0,10.0,9.0
487,51.0,59.0,59.0,58.0,67.0
488,59.0,59.0,58.0,67.0,67.0
489,59.0,58.0,67.0,67.0,75.0
490,58.0,67.0,67.0,75.0,101.0
491,19.0,12.0,15.0,20.0,16.0
492,12.0,15.0,20.0,16.0,15.0
493,15.0,20.0,16.0,15.0,13.0
494,20.0,16.0,15.0,13.0,13.0
495,16.0,15.0,13.0,13.0,16.0
496,15.0,13.0,13.0,16.0,14.0
497,13.0,13.0,16.0,14.0,15.0
498,13.0,16.0,14.0,15.0,19.0
499,16.0,14.0,15.0,19.0,28.0
500,14.0,15.0,19.0,28.0,36.0
501,15.0,19.0,28.0,36.0,47.0
502,19.0,28.0,36.0,47.0,52.0
503,28.0,36.0,47.0,52.0,101.0
504,84.0,79.0,68.0,55.0,48.0
505,79.0,68.0,55.0,48.0,57.0
506,68.0,55.0,48.0,57.0,52.0
507,55.0,48.0,57.0,52.0,51.0
508,48.0,57.0,52.0,51.0,64.0
509,57.0,52.0,51.0,64.0,86.0
510,52.0,51.0,64.0,86.0,94.0
511,51.0,64.0,86.0,94.0,101.0
512,69.0,65.0,66.0,73.0,74.0
513,65.0,66.0,73.0,74.0,78.0
514,66.0,73.0,74.0,78.0,79.0
515,73.0,74.0,78.0,79.0,69.0
516,14.0,13.0,12.0,13.0,12.0
517,13.0,12.0,13.0,12.0,12.0
518,12.0,13.0,12.0,12.0,14.0
519,13.0,12.0,12.0,14.0,20.0
520,12.0,12.0,14.0,20.0,22.0
521,12.0,14.0,20.0,22.0,22.0
522,14.0,20.0,22.0,22.0,23.0
523,20.0,22.0,22.0,23.0,24.0
524,22.0,22.0,23.0,24.0,22.0
525,22.0,23.0,24.0,22.0,23.0
526,23.0,24.0,22.0,23.0,24.0
527,24.0,22.0,23.0,24.0,27.0
528,22.0,23.0,24.0,27.0,32.0
529,58.0,75.0,78.0,88.0,82.0
530,75.0,78.0,88.0,82.0,88.0
531,78.0,88.0,82.0,88.0,93.0
532,88.0,82.0,88.0,93.0,101.0
533,17.0,25.0,28.0,33.0,31.0
534,25.0,28.0,33.0,31.0,32.0
535,28.0,33.0,31.0,32.0,36.0
536,33.0,31.0,32.0,36.0,36.0
537,31.0,32.0,36.0,36.0,41.0
538,32.0,36.0,36.0,41.0,46.0
539,36.0,36.0,41.0,46.0,49.0
540,36.0,41.0,46.0,49.0,49.0
