,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
93,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0
94,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0
95,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0
96,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0
97,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0
98,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0
99,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0
100,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0
101,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0
102,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0
103,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0
104,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0
105,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0
106,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0
107,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0
108,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0
109,17.0,19.0,23.0,33.0,37.0,36.0,49.0,101.0
110,84.0,78.0,74.0,74.0,77.0,79.0,76.0,70.0
111,78.0,74.0,74.0,77.0,79.0,76.0,70.0,70.0
112,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0
113,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0
114,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0
115,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0
116,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0
117,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0
118,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0
119,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0
120,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0
121,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0
122,81.0,67.0,68.0,67.0,78.0,91.0,91.0,96.0
123,67.0,68.0,67.0,78.0,91.0,91.0,96.0,101.0
124,75.0,68.0,63.0,60.0,55.0,55.0,55.0,64.0
125,68.0,63.0,60.0,55.0,55.0,55.0,64.0,64.0
126,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0
127,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0
128,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0
129,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0
130,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0
131,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0
132,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0
133,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0
134,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0
135,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0
136,71.0,71.0,73.0,70.0,68.0,67.0,69.0,66.0
137,71.0,73.0,70.0,68.0,67.0,69.0,66.0,101.0
138,74.0,54.0,42.0,40.0,35.0,35.0,35.0,35.0
139,54.0,42.0,40.0,35.0,35.0,35.0,35.0,35.0
140,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0
141,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0
142,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0
143,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0
144,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0
145,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0
146,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0
147,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0
148,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0
149,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0
150,37.0,59.0,64.0,67.0,71.0,82.0,84.0,98.0
151,59.0,64.0,67.0,71.0,82.0,84.0,98.0,101.0
152,40.0,37.0,33.0,31.0,36.0,37.0,42.0,52.0
153,37.0,33.0,31.0,36.0,37.0,42.0,52.0,61.0
154,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0
155,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0
156,36.0,37.0,42.0,52.0,61.0,81.0,87.0,96.0
157,37.0,42.0,52.0,61.0,81.0,87.0,96.0,101.0
158,82.0,80.0,78.0,78.0,75.0,78.0,72.0,72.0
159,80.0,78.0,78.0,75.0,78.0,72.0,72.0,78.0
