,diff_0,diff_1,diff_2,diff_3,target
0,24.0,20.0,20.0,17.0,15.0
1,20.0,20.0,17.0,15.0,15.0
2,20.0,17.0,15.0,15.0,16.0
3,17.0,15.0,15.0,16.0,17.0
4,15.0,15.0,16.0,17.0,17.0
5,15.0,16.0,17.0,17.0,23.0
6,16.0,17.0,17.0,23.0,37.0
7,17.0,17.0,23.0,37.0,54.0
8,17.0,23.0,37.0,54.0,60.0
9,23.0,37.0,54.0,60.0,73.0
10,37.0,54.0,60.0,73.0,86.0
11,54.0,60.0,73.0,86.0,95.0
12,60.0,73.0,86.0,95.0,101.0
13,55.0,28.0,18.0,16.0,18.0
14,28.0,18.0,16.0,18.0,20.0
15,18.0,16.0,18.0,20.0,33.0
16,16.0,18.0,20.0,33.0,45.0
17,18.0,20.0,33.0,45.0,61.0
18,20.0,33.0,45.0,61.0,79.0
19,33.0,45.0,61.0,79.0,95.0
20,45.0,61.0,79.0,95.0,101.0
21,42.0,60.0,65.0,60.0,43.0
22,60.0,65.0,60.0,43.0,17.0
23,65.0,60.0,43.0,17.0,19.0
24,60.0,43.0,17.0,19.0,20.0
25,43.0,17.0,19.0,20.0,19.0
26,17.0,19.0,20.0,19.0,19.0
27,19.0,20.0,19.0,19.0,21.0
28,20.0,19.0,19.0,21.0,33.0
29,19.0,19.0,21.0,33.0,54.0
30,19.0,21.0,33.0,54.0,61.0
31,21.0,33.0,54.0,61.0,71.0
32,33.0,54.0,61.0,71.0,85.0
33,54.0,61.0,71.0,85.0,101.0
34,98.0,100.0,94.0,89.0,93.0
35,100.0,94.0,89.0,93.0,101.0
36,87.0,81.0,73.0,78.0,77.0
37,81.0,73.0,78.0,77.0,77.0
38,73.0,78.0,77.0,77.0,73.0
39,78.0,77.0,77.0,73.0,80.0
40,77.0,77.0,73.0,80.0,82.0
41,77.0,73.0,80.0,82.0,89.0
42,73.0,80.0,82.0,89.0,95.0
43,80.0,82.0,89.0,95.0,95.0
44,82.0,89.0,95.0,95.0,89.0
45,89.0,95.0,95.0,89.0,101.0
46,92.0,90.0,86.0,85.0,79.0
47,90.0,86.0,85.0,79.0,82.0
48,86.0,85.0,79.0,82.0,69.0
49,85.0,79.0,82.0,69.0,64.0
50,79.0,82.0,69.0,64.0,59.0
51,82.0,69.0,64.0,59.0,63.0
52,69.0,64.0,59.0,63.0,59.0
53,64.0,59.0,63.0,59.0,63.0
54,59.0,63.0,59.0,63.0,58.0
55,63.0,59.0,63.0,58.0,72.0
56,59.0,63.0,58.0,72.0,82.0
57,63.0,58.0,72.0,82.0,94.0
58,58.0,72.0,82.0,94.0,101.0
59,35.0,70.0,91.0,100.0,101.0
60,97.0,88.0,85.0,83.0,84.0
61,88.0,85.0,83.0,84.0,81.0
62,85.0,83.0,84.0,81.0,72.0
63,83.0,84.0,81.0,72.0,44.0
64,84.0,81.0,72.0,44.0,54.0
65,81.0,72.0,44.0,54.0,55.0
66,72.0,44.0,54.0,55.0,51.0
67,44.0,54.0,55.0,51.0,48.0
68,54.0,55.0,51.0,48.0,45.0
69,55.0,51.0,48.0,45.0,43.0
70,51.0,48.0,45.0,43.0,40.0
71,48.0,45.0,43.0,40.0,36.0
72,45.0,43.0,40.0,36.0,36.0
73,43.0,40.0,36.0,36.0,34.0
74,40.0,36.0,36.0,34.0,39.0
75,36.0,36.0,34.0,39.0,46.0
76,36.0,34.0,39.0,46.0,101.0
77,82.0,87.0,84.0,87.0,81.0
78,87.0,84.0,87.0,81.0,85.0
79,84.0,87.0,81.0,85.0,76.0
80,87.0,81.0,85.0,76.0,77.0
81,81.0,85.0,76.0,77.0,83.0
82,85.0,76.0,77.0,83.0,101.0
83,41.0,67.0,75.0,89.0,75.0
84,67.0,75.0,89.0,75.0,81.0
85,75.0,89.0,75.0,81.0,88.0
86,89.0,75.0,81.0,88.0,93.0
87,75.0,81.0,88.0,93.0,100.0
88,81.0,88.0,93.0,100.0,100.0
89,88.0,93.0,100.0,100.0,97.0
90,93.0,100.0,100.0,97.0,101.0
91,63.0,62.0,58.0,53.0,53.0
92,62.0,58.0,53.0,53.0,44.0
93,58.0,53.0,53.0,44.0,35.0
94,53.0,53.0,44.0,35.0,35.0
95,53.0,44.0,35.0,35.0,35.0
96,44.0,35.0,35.0,35.0,35.0
97,35.0,35.0,35.0,35.0,38.0
98,35.0,35.0,35.0,38.0,37.0
99,35.0,35.0,38.0,37.0,36.0
100,35.0,38.0,37.0,36.0,41.0
101,38.0,37.0,36.0,41.0,44.0
102,37.0,36.0,41.0,44.0,52.0
103,36.0,41.0,44.0,52.0,53.0
104,41.0,44.0,52.0,53.0,59.0
105,44.0,52.0,53.0,59.0,63.0
106,52.0,53.0,59.0,63.0,64.0
107,53.0,59.0,63.0,64.0,101.0
108,88.0,58.0,73.0,75.0,78.0
109,58.0,73.0,75.0,78.0,76.0
110,73.0,75.0,78.0,76.0,74.0
111,75.0,78.0,76.0,74.0,82.0
112,78.0,76.0,74.0,82.0,75.0
113,76.0,74.0,82.0,75.0,82.0
114,74.0,82.0,75.0,82.0,89.0
115,82.0,75.0,82.0,89.0,92.0
116,75.0,82.0,89.0,92.0,100.0
117,82.0,89.0,92.0,100.0,101.0
118,90.0,90.0,98.0,93.0,91.0
119,90.0,98.0,93.0,91.0,92.0
120,98.0,93.0,91.0,92.0,90.0
121,93.0,91.0,92.0,90.0,101.0
122,91.0,99.0,93.0,90.0,88.0
123,99.0,93.0,90.0,88.0,89.0
124,93.0,90.0,88.0,89.0,86.0
125,90.0,88.0,89.0,86.0,84.0
126,88.0,89.0,86.0,84.0,76.0
127,89.0,86.0,84.0,76.0,85.0
128,86.0,84.0,76.0,85.0,93.0
129,84.0,76.0,85.0,93.0,101.0
130,96.0,81.0,81.0,78.0,85.0
131,81.0,81.0,78.0,85.0,72.0
132,81.0,78.0,85.0,72.0,71.0
133,78.0,85.0,72.0,71.0,64.0
134,85.0,72.0,71.0,64.0,60.0
135,72.0,71.0,64.0,60.0,63.0
136,71.0,64.0,60.0,63.0,69.0
137,64.0,60.0,63.0,69.0,57.0
138,60.0,63.0,69.0,57.0,54.0
139,63.0,69.0,57.0,54.0,42.0
140,69.0,57.0,54.0,42.0,57.0
141,57.0,54.0,42.0,57.0,55.0
142,54.0,42.0,57.0,55.0,68.0
143,42.0,57.0,55.0,68.0,91.0
144,57.0,55.0,68.0,91.0,101.0
145,87.0,90.0,90.0,88.0,84.0
146,90.0,90.0,88.0,84.0,91.0
147,90.0,88.0,84.0,91.0,89.0
148,88.0,84.0,91.0,89.0,90.0
149,84.0,91.0,89.0,90.0,96.0
150,91.0,89.0,90.0,96.0,101.0
151,93.0,80.0,63.0,58.0,53.0
152,80.0,63.0,58.0,53.0,52.0
153,63.0,58.0,53.0,52.0,54.0
154,58.0,53.0,52.0,54.0,57.0
155,53.0,52.0,54.0,57.0,63.0
156,52.0,54.0,57.0,63.0,76.0
157,54.0,57.0,63.0,76.0,94.0
158,57.0,63.0,76.0,94.0,101.0
159,89.0,74.0,75.0,56.0,52.0
160,74.0,75.0,56.0,52.0,44.0
161,75.0,56.0,52.0,44.0,57.0
162,56.0,52.0,44.0,57.0,40.0
163,52.0,44.0,57.0,40.0,36.0
164,44.0,57.0,40.0,36.0,27.0
165,57.0,40.0,36.0,27.0,25.0
166,40.0,36.0,27.0,25.0,24.0
167,36.0,27.0,25.0,24.0,26.0
168,27.0,25.0,24.0,26.0,25.0
169,25.0,24.0,26.0,25.0,27.0
170,24.0,26.0,25.0,27.0,29.0
171,26.0,25.0,27.0,29.0,35.0
172,25.0,27.0,29.0,35.0,34.0
173,27.0,29.0,35.0,34.0,32.0
174,29.0,35.0,34.0,32.0,34.0
175,35.0,34.0,32.0,34.0,36.0
176,34.0,32.0,34.0,36.0,34.0
177,32.0,34.0,36.0,34.0,36.0
178,34.0,36.0,34.0,36.0,43.0
179,36.0,34.0,36.0,43.0,101.0
180,93.0,71.0,62.0,67.0,46.0
181,71.0,62.0,67.0,46.0,44.0
182,62.0,67.0,46.0,44.0,40.0
183,67.0,46.0,44.0,40.0,29.0
184,46.0,44.0,40.0,29.0,25.0
185,44.0,40.0,29.0,25.0,21.0
186,40.0,29.0,25.0,21.0,18.0
187,29.0,25.0,21.0,18.0,18.0
188,25.0,21.0,18.0,18.0,18.0
189,97.0,81.0,76.0,64.0,65.0
190,81.0,76.0,64.0,65.0,61.0
191,76.0,64.0,65.0,61.0,54.0
192,64.0,65.0,61.0,54.0,45.0
193,65.0,61.0,54.0,45.0,43.0
194,61.0,54.0,45.0,43.0,51.0
195,54.0,45.0,43.0,51.0,51.0
196,45.0,43.0,51.0,51.0,46.0
197,43.0,51.0,51.0,46.0,49.0
198,51.0,51.0,46.0,49.0,50.0
199,51.0,46.0,49.0,50.0,46.0
200,46.0,49.0,50.0,46.0,48.0
201,49.0,50.0,46.0,48.0,48.0
202,50.0,46.0,48.0,48.0,52.0
203,46.0,48.0,48.0,52.0,56.0
204,48.0,48.0,52.0,56.0,62.0
205,48.0,52.0,56.0,62.0,101.0
206,50.0,67.0,68.0,60.0,49.0
207,67.0,68.0,60.0,49.0,41.0
208,68.0,60.0,49.0,41.0,41.0
209,60.0,49.0,41.0,41.0,36.0
210,49.0,41.0,41.0,36.0,33.0
211,41.0,41.0,36.0,33.0,31.0
212,41.0,36.0,33.0,31.0,33.0
213,36.0,33.0,31.0,33.0,42.0
214,33.0,31.0,33.0,42.0,69.0
215,31.0,33.0,42.0,69.0,88.0
216,33.0,42.0,69.0,88.0,101.0
217,64.0,26.0,33.0,34.0,32.0
218,26.0,33.0,34.0,32.0,24.0
219,33.0,34.0,32.0,24.0,20.0
220,34.0,32.0,24.0,20.0,21.0
221,32.0,24.0,20.0,21.0,25.0
222,24.0,20.0,21.0,25.0,26.0
223,20.0,21.0,25.0,26.0,23.0
224,21.0,25.0,26.0,23.0,24.0
225,25.0,26.0,23.0,24.0,26.0
226,26.0,23.0,24.0,26.0,32.0
227,23.0,24.0,26.0,32.0,41.0
228,24.0,26.0,32.0,41.0,49.0
229,26.0,32.0,41.0,49.0,55.0
230,32.0,41.0,49.0,55.0,65.0
231,41.0,49.0,55.0,65.0,101.0
232,11.0,17.0,14.0,14.0,12.0
233,17.0,14.0,14.0,12.0,13.0
234,14.0,14.0,12.0,13.0,17.0
235,14.0,12.0,13.0,17.0,12.0
236,12.0,13.0,17.0,12.0,15.0
237,13.0,17.0,12.0,15.0,16.0
238,17.0,12.0,15.0,16.0,21.0
239,12.0,15.0,16.0,21.0,18.0
240,15.0,16.0,21.0,18.0,20.0
241,16.0,21.0,18.0,20.0,14.0
242,21.0,18.0,20.0,14.0,22.0
243,18.0,20.0,14.0,22.0,23.0
244,20.0,14.0,22.0,23.0,29.0
245,14.0,22.0,23.0,29.0,37.0
246,22.0,23.0,29.0,37.0,42.0
247,23.0,29.0,37.0,42.0,47.0
248,29.0,37.0,42.0,47.0,48.0
249,37.0,42.0,47.0,48.0,50.0
250,42.0,47.0,48.0,50.0,101.0
251,97.0,91.0,86.0,86.0,85.0
252,91.0,86.0,86.0,85.0,90.0
253,86.0,86.0,85.0,90.0,96.0
254,86.0,85.0,90.0,96.0,101.0
255,9.0,10.0,13.0,16.0,15.0
256,10.0,13.0,16.0,15.0,24.0
257,13.0,16.0,15.0,24.0,35.0
258,16.0,15.0,24.0,35.0,39.0
259,15.0,24.0,35.0,39.0,53.0
260,24.0,35.0,39.0,53.0,63.0
261,35.0,39.0,53.0,63.0,72.0
262,39.0,53.0,63.0,72.0,101.0
263,90.0,86.0,87.0,81.0,81.0
264,86.0,87.0,81.0,81.0,96.0
265,87.0,81.0,81.0,96.0,101.0
266,62.0,30.0,25.0,20.0,14.0
267,30.0,25.0,20.0,14.0,11.0
268,25.0,20.0,14.0,11.0,12.0
269,20.0,14.0,11.0,12.0,15.0
270,14.0,11.0,12.0,15.0,11.0
271,11.0,12.0,15.0,11.0,11.0
272,12.0,15.0,11.0,11.0,10.0
273,15.0,11.0,11.0,10.0,10.0
274,11.0,11.0,10.0,10.0,13.0
275,11.0,10.0,10.0,13.0,16.0
276,10.0,10.0,13.0,16.0,22.0
277,10.0,13.0,16.0,22.0,29.0
278,13.0,16.0,22.0,29.0,40.0
279,16.0,22.0,29.0,40.0,55.0
280,22.0,29.0,40.0,55.0,76.0
281,29.0,40.0,55.0,76.0,83.0
282,40.0,55.0,76.0,83.0,101.0
283,94.0,73.0,66.0,56.0,48.0
284,73.0,66.0,56.0,48.0,40.0
285,66.0,56.0,48.0,40.0,37.0
286,56.0,48.0,40.0,37.0,34.0
287,48.0,40.0,37.0,34.0,37.0
288,40.0,37.0,34.0,37.0,36.0
289,37.0,34.0,37.0,36.0,33.0
290,34.0,37.0,36.0,33.0,40.0
291,37.0,36.0,33.0,40.0,51.0
292,36.0,33.0,40.0,51.0,59.0
293,33.0,40.0,51.0,59.0,71.0
294,40.0,51.0,59.0,71.0,77.0
295,51.0,59.0,71.0,77.0,83.0
296,59.0,71.0,77.0,83.0,85.0
297,71.0,77.0,83.0,85.0,93.0
298,77.0,83.0,85.0,93.0,90.0
299,83.0,85.0,93.0,90.0,101.0
300,98.0,92.0,83.0,71.0,54.0
301,92.0,83.0,71.0,54.0,52.0
302,83.0,71.0,54.0,52.0,34.0
303,71.0,54.0,52.0,34.0,32.0
304,54.0,52.0,34.0,32.0,31.0
305,52.0,34.0,32.0,31.0,30.0
306,34.0,32.0,31.0,30.0,26.0
307,32.0,31.0,30.0,26.0,30.0
308,31.0,30.0,26.0,30.0,28.0
309,30.0,26.0,30.0,28.0,24.0
310,26.0,30.0,28.0,24.0,20.0
311,30.0,28.0,24.0,20.0,21.0
312,28.0,24.0,20.0,21.0,24.0
313,24.0,20.0,21.0,24.0,24.0
314,20.0,21.0,24.0,24.0,28.0
315,21.0,24.0,24.0,28.0,44.0
316,24.0,24.0,28.0,44.0,101.0
317,9.0,11.0,17.0,12.0,11.0
318,11.0,17.0,12.0,11.0,14.0
319,17.0,12.0,11.0,14.0,17.0
320,12.0,11.0,14.0,17.0,18.0
321,11.0,14.0,17.0,18.0,16.0
322,14.0,17.0,18.0,16.0,20.0
323,17.0,18.0,16.0,20.0,28.0
324,18.0,16.0,20.0,28.0,24.0
325,16.0,20.0,28.0,24.0,21.0
326,20.0,28.0,24.0,21.0,28.0
327,28.0,24.0,21.0,28.0,30.0
328,24.0,21.0,28.0,30.0,32.0
329,21.0,28.0,30.0,32.0,32.0
330,28.0,30.0,32.0,32.0,33.0
331,30.0,32.0,32.0,33.0,34.0
332,32.0,32.0,33.0,34.0,35.0
333,32.0,33.0,34.0,35.0,44.0
334,33.0,34.0,35.0,44.0,101.0
335,34.0,19.0,18.0,18.0,16.0
336,19.0,18.0,18.0,16.0,17.0
337,18.0,18.0,16.0,17.0,13.0
338,18.0,16.0,17.0,13.0,8.0
339,16.0,17.0,13.0,8.0,7.0
340,17.0,13.0,8.0,7.0,8.0
341,13.0,8.0,7.0,8.0,8.0
342,8.0,7.0,8.0,8.0,7.0
343,7.0,8.0,8.0,7.0,6.0
344,8.0,8.0,7.0,6.0,5.0
345,8.0,7.0,6.0,5.0,5.0
346,7.0,6.0,5.0,5.0,4.0
347,6.0,5.0,5.0,4.0,6.0
348,5.0,5.0,4.0,6.0,8.0
349,5.0,4.0,6.0,8.0,9.0
350,4.0,6.0,8.0,9.0,7.0
351,6.0,8.0,9.0,7.0,8.0
352,8.0,9.0,7.0,8.0,9.0
353,9.0,7.0,8.0,9.0,11.0
354,7.0,8.0,9.0,11.0,11.0
355,8.0,9.0,11.0,11.0,11.0
356,9.0,11.0,11.0,11.0,14.0
357,11.0,11.0,11.0,14.0,12.0
358,11.0,11.0,14.0,12.0,18.0
359,11.0,14.0,12.0,18.0,18.0
360,14.0,12.0,18.0,18.0,20.0
361,12.0,18.0,18.0,20.0,28.0
362,18.0,18.0,20.0,28.0,31.0
363,18.0,20.0,28.0,31.0,31.0
364,20.0,28.0,31.0,31.0,34.0
365,28.0,31.0,31.0,34.0,30.0
366,31.0,31.0,34.0,30.0,35.0
367,31.0,34.0,30.0,35.0,39.0
368,34.0,30.0,35.0,39.0,40.0
369,30.0,35.0,39.0,40.0,39.0
370,35.0,39.0,40.0,39.0,40.0
371,96.0,57.0,43.0,35.0,20.0
372,57.0,43.0,35.0,20.0,12.0
373,43.0,35.0,20.0,12.0,9.0
374,35.0,20.0,12.0,9.0,5.0
375,20.0,12.0,9.0,5.0,3.0
376,12.0,9.0,5.0,3.0,2.0
377,9.0,5.0,3.0,2.0,2.0
378,18.0,13.0,20.0,24.0,25.0
379,13.0,20.0,24.0,25.0,24.0
380,20.0,24.0,25.0,24.0,20.0
381,24.0,25.0,24.0,20.0,18.0
382,25.0,24.0,20.0,18.0,19.0
383,24.0,20.0,18.0,19.0,22.0
384,20.0,18.0,19.0,22.0,20.0
385,18.0,19.0,22.0,20.0,23.0
386,19.0,22.0,20.0,23.0,25.0
387,22.0,20.0,23.0,25.0,31.0
388,20.0,23.0,25.0,31.0,35.0
389,23.0,25.0,31.0,35.0,36.0
390,25.0,31.0,35.0,36.0,42.0
391,31.0,35.0,36.0,42.0,44.0
392,35.0,36.0,42.0,44.0,49.0
393,36.0,42.0,44.0,49.0,51.0
394,42.0,44.0,49.0,51.0,101.0
395,97.0,97.0,99.0,98.0,91.0
396,97.0,99.0,98.0,91.0,90.0
397,99.0,98.0,91.0,90.0,87.0
398,98.0,91.0,90.0,87.0,86.0
399,91.0,90.0,87.0,86.0,82.0
400,90.0,87.0,86.0,82.0,77.0
401,87.0,86.0,82.0,77.0,74.0
402,86.0,82.0,77.0,74.0,73.0
403,82.0,77.0,74.0,73.0,64.0
404,77.0,74.0,73.0,64.0,65.0
405,74.0,73.0,64.0,65.0,62.0
406,73.0,64.0,65.0,62.0,59.0
407,64.0,65.0,62.0,59.0,56.0
408,65.0,62.0,59.0,56.0,52.0
409,62.0,59.0,56.0,52.0,51.0
410,59.0,56.0,52.0,51.0,52.0
411,56.0,52.0,51.0,52.0,101.0
412,98.0,82.0,82.0,77.0,73.0
413,82.0,82.0,77.0,73.0,74.0
414,82.0,77.0,73.0,74.0,74.0
415,77.0,73.0,74.0,74.0,73.0
416,73.0,74.0,74.0,73.0,72.0
417,74.0,74.0,73.0,72.0,67.0
418,74.0,73.0,72.0,67.0,50.0
419,73.0,72.0,67.0,50.0,56.0
420,72.0,67.0,50.0,56.0,51.0
421,67.0,50.0,56.0,51.0,45.0
422,50.0,56.0,51.0,45.0,38.0
423,56.0,51.0,45.0,38.0,41.0
424,51.0,45.0,38.0,41.0,37.0
425,45.0,38.0,41.0,37.0,37.0
426,38.0,41.0,37.0,37.0,34.0
427,41.0,37.0,37.0,34.0,45.0
428,37.0,37.0,34.0,45.0,49.0
429,37.0,34.0,45.0,49.0,101.0
430,100.0,95.0,91.0,82.0,79.0
431,95.0,91.0,82.0,79.0,83.0
432,91.0,82.0,79.0,83.0,92.0
433,82.0,79.0,83.0,92.0,62.0
434,79.0,83.0,92.0,62.0,49.0
435,83.0,92.0,62.0,49.0,43.0
436,92.0,62.0,49.0,43.0,42.0
437,62.0,49.0,43.0,42.0,46.0
438,49.0,43.0,42.0,46.0,53.0
439,43.0,42.0,46.0,53.0,56.0
440,42.0,46.0,53.0,56.0,65.0
441,46.0,53.0,56.0,65.0,74.0
442,53.0,56.0,65.0,74.0,86.0
443,56.0,65.0,74.0,86.0,83.0
444,65.0,74.0,86.0,83.0,90.0
445,74.0,86.0,83.0,90.0,94.0
446,86.0,83.0,90.0,94.0,101.0
447,24.0,43.0,10.0,28.0,47.0
448,43.0,10.0,28.0,47.0,63.0
449,10.0,28.0,47.0,63.0,71.0
450,28.0,47.0,63.0,71.0,56.0
451,47.0,63.0,71.0,56.0,57.0
452,63.0,71.0,56.0,57.0,59.0
453,71.0,56.0,57.0,59.0,51.0
454,56.0,57.0,59.0,51.0,49.0
455,57.0,59.0,51.0,49.0,41.0
456,59.0,51.0,49.0,41.0,36.0
457,51.0,49.0,41.0,36.0,37.0
458,49.0,41.0,36.0,37.0,34.0
459,41.0,36.0,37.0,34.0,32.0
460,36.0,37.0,34.0,32.0,28.0
461,37.0,34.0,32.0,28.0,25.0
462,34.0,32.0,28.0,25.0,26.0
463,32.0,28.0,25.0,26.0,25.0
464,28.0,25.0,26.0,25.0,21.0
465,25.0,26.0,25.0,21.0,25.0
466,26.0,25.0,21.0,25.0,30.0
467,25.0,21.0,25.0,30.0,37.0
468,21.0,25.0,30.0,37.0,44.0
469,25.0,30.0,37.0,44.0,101.0
470,74.0,95.0,59.0,46.0,43.0
471,95.0,59.0,46.0,43.0,50.0
472,59.0,46.0,43.0,50.0,55.0
473,46.0,43.0,50.0,55.0,62.0
474,43.0,50.0,55.0,62.0,60.0
475,50.0,55.0,62.0,60.0,52.0
476,55.0,62.0,60.0,52.0,50.0
477,62.0,60.0,52.0,50.0,52.0
478,60.0,52.0,50.0,52.0,54.0
479,52.0,50.0,52.0,54.0,54.0
