,diff_0,target
522,86.0,87.0
523,87.0,93.0
524,93.0,101.0
525,70.0,61.0
526,61.0,55.0
527,55.0,52.0
528,52.0,46.0
529,46.0,45.0
530,45.0,34.0
531,34.0,36.0
532,36.0,36.0
533,36.0,35.0
534,35.0,35.0
535,35.0,35.0
536,35.0,35.0
537,35.0,33.0
538,33.0,28.0
539,28.0,31.0
540,31.0,32.0
541,32.0,35.0
542,35.0,37.0
543,37.0,41.0
544,41.0,47.0
545,47.0,49.0
546,49.0,101.0
547,89.0,79.0
548,79.0,67.0
549,67.0,57.0
550,57.0,47.0
551,47.0,43.0
552,43.0,36.0
553,36.0,35.0
554,35.0,36.0
555,36.0,36.0
556,36.0,32.0
557,32.0,28.0
558,28.0,28.0
559,28.0,25.0
560,25.0,21.0
561,21.0,18.0
562,18.0,18.0
563,18.0,14.0
564,14.0,13.0
565,13.0,11.0
566,11.0,11.0
567,11.0,12.0
568,12.0,12.0
569,12.0,12.0
570,12.0,13.0
571,13.0,15.0
572,15.0,15.0
573,15.0,15.0
574,15.0,15.0
575,15.0,16.0
576,16.0,19.0
577,19.0,21.0
578,21.0,26.0
579,26.0,22.0
580,22.0,26.0
581,26.0,29.0
582,29.0,29.0
583,29.0,33.0
584,33.0,34.0
585,34.0,38.0
586,38.0,46.0
587,46.0,44.0
588,44.0,48.0
589,48.0,47.0
590,47.0,50.0
591,50.0,101.0
592,70.0,66.0
593,66.0,59.0
594,59.0,85.0
595,85.0,101.0
596,91.0,85.0
597,85.0,85.0
598,85.0,66.0
599,66.0,59.0
600,59.0,55.0
601,55.0,54.0
602,54.0,41.0
603,41.0,44.0
604,44.0,29.0
605,29.0,36.0
606,36.0,27.0
607,27.0,43.0
608,43.0,59.0
609,59.0,67.0
610,67.0,78.0
611,78.0,101.0
612,69.0,58.0
613,58.0,52.0
614,52.0,42.0
615,42.0,34.0
616,34.0,31.0
617,31.0,28.0
618,28.0,28.0
619,28.0,23.0
620,23.0,23.0
621,23.0,23.0
622,23.0,23.0
623,23.0,28.0
624,28.0,26.0
625,26.0,27.0
626,27.0,25.0
627,25.0,33.0
628,33.0,38.0
629,38.0,41.0
630,41.0,46.0
631,46.0,101.0
632,73.0,81.0
633,81.0,100.0
634,100.0,101.0
635,20.0,18.0
636,18.0,16.0
637,16.0,16.0
638,16.0,13.0
639,13.0,13.0
640,13.0,13.0
641,13.0,12.0
642,12.0,17.0
643,17.0,17.0
644,17.0,18.0
645,18.0,17.0
646,17.0,21.0
647,21.0,25.0
648,25.0,26.0
649,26.0,28.0
650,28.0,34.0
651,34.0,35.0
652,35.0,40.0
653,40.0,46.0
654,46.0,46.0
655,46.0,47.0
656,47.0,101.0
657,72.0,61.0
658,61.0,53.0
659,53.0,48.0
660,48.0,48.0
661,48.0,41.0
662,41.0,34.0
663,34.0,28.0
664,28.0,25.0
665,25.0,23.0
666,23.0,29.0
667,29.0,29.0
668,29.0,36.0
669,36.0,46.0
670,46.0,55.0
671,55.0,64.0
672,64.0,68.0
673,68.0,66.0
674,66.0,67.0
675,67.0,75.0
676,75.0,101.0
677,40.0,101.0
678,53.0,17.0
679,17.0,14.0
680,14.0,14.0
681,14.0,14.0
682,14.0,20.0
683,20.0,23.0
684,23.0,21.0
685,21.0,26.0
686,26.0,30.0
687,30.0,35.0
688,35.0,47.0
689,47.0,65.0
690,65.0,66.0
691,66.0,74.0
692,74.0,86.0
693,86.0,96.0
694,96.0,99.0
695,99.0,96.0
696,96.0,97.0
697,97.0,101.0
698,93.0,101.0
699,97.0,90.0
700,90.0,82.0
701,82.0,87.0
702,87.0,96.0
703,96.0,101.0
704,6.0,5.0
705,5.0,5.0
706,5.0,4.0
707,4.0,5.0
708,5.0,7.0
709,7.0,8.0
710,8.0,8.0
711,8.0,10.0
712,10.0,11.0
713,11.0,13.0
714,13.0,15.0
715,15.0,23.0
716,23.0,26.0
717,26.0,28.0
718,28.0,30.0
719,30.0,33.0
720,33.0,39.0
721,39.0,45.0
722,45.0,45.0
723,45.0,46.0
724,46.0,46.0
725,46.0,44.0
726,44.0,49.0
727,49.0,101.0
728,61.0,59.0
729,59.0,36.0
730,36.0,19.0
731,19.0,17.0
732,17.0,11.0
733,11.0,9.0
734,9.0,9.0
735,9.0,8.0
736,8.0,5.0
737,5.0,11.0
738,11.0,11.0
739,11.0,13.0
740,13.0,14.0
741,14.0,15.0
742,15.0,17.0
743,17.0,22.0
744,22.0,29.0
745,29.0,37.0
746,37.0,46.0
747,46.0,101.0
748,94.0,87.0
749,87.0,71.0
750,71.0,63.0
751,63.0,43.0
752,43.0,35.0
753,35.0,33.0
754,33.0,30.0
755,30.0,31.0
756,31.0,29.0
757,29.0,29.0
758,29.0,34.0
759,34.0,34.0
760,34.0,33.0
761,33.0,35.0
762,35.0,37.0
763,37.0,37.0
764,37.0,24.0
765,24.0,27.0
766,27.0,32.0
767,32.0,41.0
768,41.0,101.0
769,82.0,76.0
770,76.0,76.0
771,76.0,66.0
772,66.0,62.0
773,62.0,62.0
774,62.0,83.0
775,83.0,82.0
776,82.0,81.0
777,81.0,97.0
778,97.0,98.0
779,98.0,95.0
780,95.0,100.0
781,100.0,101.0
782,55.0,37.0
783,37.0,26.0
784,26.0,26.0
785,26.0,25.0
786,25.0,26.0
787,26.0,24.0
788,24.0,27.0
789,27.0,27.0
790,27.0,29.0
791,29.0,28.0
792,28.0,26.0
793,26.0,22.0
794,22.0,31.0
795,31.0,43.0
796,43.0,51.0
797,51.0,48.0
798,48.0,40.0
799,40.0,58.0
800,58.0,60.0
801,60.0,101.0
802,21.0,15.0
803,15.0,10.0
804,10.0,5.0
805,5.0,5.0
806,5.0,4.0
807,4.0,2.0
808,2.0,2.0
809,2.0,1.0
810,1.0,1.0
811,1.0,1.0
812,1.0,1.0
813,1.0,3.0
814,3.0,5.0
815,5.0,5.0
816,5.0,11.0
817,11.0,16.0
818,16.0,22.0
819,22.0,35.0
820,35.0,38.0
821,38.0,49.0
822,49.0,101.0
823,74.0,47.0
824,47.0,101.0
825,99.0,99.0
826,99.0,90.0
827,90.0,86.0
828,86.0,82.0
829,82.0,82.0
830,82.0,82.0
831,82.0,82.0
832,82.0,81.0
833,81.0,80.0
834,80.0,78.0
835,78.0,78.0
836,78.0,81.0
837,81.0,87.0
838,87.0,91.0
839,91.0,101.0
840,83.0,80.0
841,80.0,76.0
842,76.0,68.0
843,68.0,22.0
844,22.0,17.0
845,17.0,10.0
846,10.0,10.0
847,10.0,12.0
848,12.0,14.0
849,14.0,16.0
850,16.0,24.0
851,24.0,35.0
852,35.0,45.0
853,45.0,53.0
854,53.0,58.0
855,58.0,64.0
856,64.0,69.0
857,69.0,84.0
858,84.0,87.0
859,87.0,101.0
860,84.0,69.0
861,69.0,65.0
862,65.0,57.0
863,57.0,55.0
864,55.0,58.0
865,58.0,61.0
866,61.0,57.0
867,57.0,61.0
868,61.0,67.0
869,67.0,57.0
870,57.0,55.0
871,55.0,55.0
872,55.0,61.0
873,61.0,63.0
874,63.0,74.0
875,74.0,75.0
876,75.0,75.0
877,75.0,101.0
878,97.0,97.0
879,97.0,89.0
880,89.0,89.0
881,89.0,94.0
882,94.0,90.0
883,90.0,99.0
884,99.0,97.0
885,97.0,98.0
886,98.0,101.0
887,66.0,101.0
888,1.0,5.0
889,5.0,8.0
890,8.0,8.0
891,8.0,8.0
892,8.0,6.0
893,6.0,9.0
894,9.0,10.0
895,10.0,9.0
896,95.0,87.0
897,87.0,73.0
898,73.0,68.0
899,68.0,62.0
900,62.0,52.0
901,52.0,54.0
902,54.0,63.0
903,63.0,55.0
904,55.0,63.0
905,63.0,63.0
906,63.0,59.0
907,59.0,66.0
908,66.0,74.0
909,74.0,84.0
910,84.0,101.0
911,71.0,67.0
912,67.0,62.0
913,62.0,56.0
914,56.0,53.0
915,53.0,53.0
916,53.0,46.0
917,46.0,40.0
918,40.0,37.0
919,37.0,37.0
920,37.0,46.0
921,46.0,51.0
922,51.0,54.0
923,54.0,56.0
924,56.0,62.0
925,62.0,65.0
926,65.0,83.0
927,83.0,86.0
928,86.0,93.0
929,93.0,100.0
930,100.0,101.0
931,71.0,63.0
932,63.0,55.0
933,55.0,50.0
934,50.0,49.0
935,49.0,47.0
936,47.0,45.0
937,45.0,42.0
938,42.0,44.0
939,44.0,39.0
940,39.0,40.0
941,40.0,45.0
942,45.0,52.0
943,52.0,55.0
944,55.0,62.0
945,62.0,66.0
946,66.0,73.0
947,73.0,84.0
948,84.0,89.0
949,89.0,89.0
950,89.0,101.0
951,95.0,90.0
952,90.0,87.0
953,87.0,88.0
954,88.0,80.0
955,80.0,76.0
956,76.0,68.0
957,68.0,79.0
958,79.0,76.0
959,76.0,92.0
960,92.0,96.0
961,96.0,97.0
962,97.0,93.0
963,93.0,98.0
964,98.0,101.0
965,94.0,71.0
966,71.0,46.0
967,46.0,36.0
968,36.0,29.0
969,29.0,21.0
970,21.0,16.0
971,16.0,11.0
972,11.0,10.0
973,10.0,9.0
974,9.0,7.0
975,7.0,5.0
976,5.0,10.0
977,10.0,21.0
978,21.0,29.0
979,29.0,43.0
980,43.0,53.0
981,53.0,71.0
982,71.0,83.0
983,83.0,101.0
984,32.0,101.0
985,41.0,40.0
986,40.0,37.0
987,37.0,37.0
988,37.0,49.0
989,49.0,54.0
990,54.0,71.0
991,71.0,80.0
992,80.0,88.0
993,88.0,96.0
994,96.0,101.0
995,92.0,91.0
996,91.0,81.0
997,81.0,72.0
998,72.0,68.0
999,68.0,60.0
1000,60.0,60.0
1001,60.0,54.0
1002,54.0,51.0
1003,51.0,48.0
1004,48.0,101.0
1005,75.0,68.0
1006,68.0,65.0
1007,65.0,61.0
1008,61.0,60.0
1009,60.0,61.0
1010,61.0,57.0
1011,57.0,59.0
1012,59.0,54.0
1013,54.0,57.0
1014,57.0,59.0
1015,59.0,66.0
1016,66.0,83.0
1017,83.0,90.0
1018,90.0,92.0
1019,92.0,96.0
1020,96.0,101.0
1021,94.0,81.0
1022,81.0,74.0
1023,74.0,72.0
1024,72.0,64.0
1025,64.0,65.0
1026,65.0,63.0
1027,63.0,57.0
1028,57.0,52.0
1029,52.0,58.0
1030,58.0,58.0
1031,58.0,77.0
1032,77.0,77.0
1033,77.0,91.0
1034,91.0,101.0
1035,68.0,3.0
1036,3.0,3.0
1037,3.0,7.0
1038,7.0,6.0
1039,6.0,4.0
1040,4.0,6.0
1041,6.0,7.0
1042,7.0,7.0
1043,7.0,8.0
1044,8.0,10.0
1045,10.0,10.0
1046,10.0,15.0
1047,15.0,22.0
1048,22.0,28.0
1049,28.0,31.0
1050,31.0,44.0
1051,44.0,54.0
1052,54.0,60.0
1053,60.0,69.0
1054,69.0,101.0
1055,90.0,101.0
1056,2.0,1.0
1057,1.0,2.0
1058,2.0,2.0
1059,2.0,4.0
1060,4.0,4.0
1061,4.0,4.0
1062,4.0,4.0
1063,4.0,7.0
1064,7.0,8.0
1065,8.0,11.0
1066,11.0,15.0
1067,15.0,19.0
1068,19.0,24.0
1069,24.0,25.0
1070,25.0,24.0
1071,24.0,28.0
1072,28.0,35.0
1073,35.0,39.0
1074,39.0,44.0
1075,44.0,101.0
1076,47.0,41.0
1077,41.0,27.0
1078,27.0,21.0
1079,21.0,23.0
1080,23.0,28.0
1081,28.0,33.0
1082,33.0,48.0
1083,48.0,69.0
1084,69.0,87.0
1085,87.0,95.0
1086,95.0,94.0
1087,94.0,101.0
1088,75.0,86.0
1089,86.0,99.0
1090,99.0,86.0
1091,86.0,83.0
1092,83.0,79.0
1093,79.0,84.0
1094,84.0,81.0
1095,81.0,79.0
1096,79.0,83.0
1097,83.0,86.0
1098,86.0,98.0
1099,98.0,101.0
1100,84.0,68.0
1101,68.0,62.0
1102,62.0,56.0
1103,56.0,101.0
1104,61.0,58.0
1105,58.0,52.0
1106,52.0,43.0
1107,43.0,41.0
1108,41.0,39.0
1109,39.0,39.0
1110,39.0,41.0
1111,41.0,49.0
1112,49.0,49.0
1113,49.0,53.0
1114,53.0,64.0
1115,64.0,71.0
1116,71.0,67.0
1117,67.0,70.0
1118,70.0,91.0
1119,91.0,101.0
1120,83.0,79.0
1121,79.0,71.0
1122,71.0,63.0
1123,63.0,55.0
1124,55.0,49.0
1125,49.0,43.0
1126,43.0,29.0
1127,29.0,24.0
1128,24.0,24.0
1129,24.0,24.0
1130,24.0,29.0
1131,29.0,33.0
1132,33.0,42.0
1133,42.0,53.0
1134,53.0,59.0
1135,59.0,69.0
1136,69.0,77.0
1137,77.0,85.0
1138,85.0,100.0
1139,100.0,101.0
1140,79.0,84.0
1141,84.0,101.0
1142,90.0,80.0
1143,80.0,80.0
1144,80.0,72.0
1145,72.0,73.0
1146,73.0,72.0
1147,72.0,76.0
1148,76.0,75.0
1149,75.0,83.0
1150,83.0,89.0
1151,89.0,99.0
1152,99.0,97.0
1153,97.0,98.0
1154,98.0,101.0
1155,98.0,98.0
1156,98.0,101.0
1157,78.0,68.0
1158,68.0,68.0
1159,68.0,68.0
1160,68.0,81.0
1161,81.0,94.0
1162,94.0,101.0
1163,95.0,100.0
1164,100.0,101.0
1165,94.0,94.0
1166,94.0,89.0
1167,89.0,79.0
1168,79.0,79.0
1169,79.0,72.0
1170,72.0,71.0
1171,71.0,70.0
1172,70.0,63.0
1173,63.0,56.0
1174,56.0,55.0
1175,55.0,55.0
1176,55.0,55.0
1177,55.0,55.0
1178,55.0,55.0
1179,55.0,52.0
1180,52.0,51.0
1181,51.0,49.0
1182,49.0,49.0
1183,49.0,48.0
1184,48.0,45.0
1185,45.0,49.0
1186,49.0,101.0
1187,61.0,50.0
1188,50.0,35.0
1189,35.0,35.0
1190,35.0,27.0
1191,27.0,30.0
1192,30.0,23.0
1193,23.0,20.0
1194,20.0,16.0
1195,16.0,14.0
1196,14.0,13.0
1197,13.0,12.0
1198,12.0,10.0
1199,10.0,13.0
1200,13.0,15.0
1201,15.0,19.0
1202,19.0,21.0
1203,21.0,32.0
1204,32.0,42.0
1205,42.0,54.0
1206,54.0,101.0
1207,98.0,98.0
1208,98.0,100.0
1209,100.0,100.0
1210,100.0,101.0
1211,84.0,70.0
1212,70.0,10.0
1213,10.0,16.0
1214,16.0,10.0
1215,10.0,9.0
1216,9.0,13.0
1217,13.0,18.0
1218,18.0,24.0
1219,24.0,33.0
1220,33.0,45.0
1221,45.0,61.0
1222,61.0,81.0
1223,81.0,83.0
1224,83.0,94.0
1225,94.0,101.0
1226,98.0,57.0
1227,57.0,44.0
1228,44.0,101.0
1229,38.0,29.0
1230,29.0,23.0
1231,23.0,19.0
1232,19.0,15.0
1233,15.0,13.0
1234,13.0,10.0
1235,10.0,8.0
1236,8.0,8.0
1237,8.0,8.0
1238,8.0,7.0
1239,7.0,11.0
1240,11.0,13.0
1241,13.0,20.0
1242,20.0,23.0
1243,23.0,27.0
1244,27.0,33.0
1245,33.0,36.0
1246,36.0,39.0
1247,39.0,47.0
1248,47.0,101.0
1249,77.0,57.0
1250,57.0,57.0
1251,57.0,35.0
1252,35.0,22.0
1253,22.0,14.0
1254,14.0,10.0
1255,10.0,10.0
1256,10.0,8.0
1257,8.0,8.0
1258,8.0,12.0
1259,12.0,16.0
1260,16.0,17.0
1261,17.0,16.0
1262,16.0,18.0
1263,18.0,20.0
1264,20.0,30.0
1265,30.0,36.0
1266,36.0,53.0
1267,53.0,58.0
1268,58.0,101.0
1269,95.0,94.0
1270,94.0,101.0
1271,78.0,78.0
1272,78.0,65.0
1273,65.0,62.0
1274,62.0,60.0
1275,60.0,55.0
1276,55.0,51.0
1277,51.0,49.0
1278,49.0,54.0
1279,54.0,60.0
1280,60.0,60.0
1281,60.0,77.0
1282,77.0,92.0
1283,92.0,95.0
1284,95.0,90.0
1285,90.0,93.0
1286,93.0,87.0
1287,87.0,95.0
1288,95.0,98.0
1289,98.0,99.0
1290,99.0,101.0
1291,98.0,98.0
1292,98.0,84.0
1293,84.0,78.0
1294,78.0,81.0
1295,81.0,78.0
1296,78.0,74.0
1297,74.0,71.0
1298,71.0,101.0
1299,74.0,79.0
1300,79.0,80.0
1301,80.0,95.0
1302,95.0,98.0
1303,98.0,101.0
1304,77.0,74.0
1305,74.0,64.0
1306,64.0,61.0
1307,61.0,53.0
1308,53.0,48.0
1309,48.0,43.0
1310,43.0,38.0
1311,38.0,42.0
1312,42.0,38.0
1313,38.0,44.0
1314,44.0,49.0
1315,49.0,53.0
1316,53.0,61.0
1317,61.0,66.0
1318,66.0,68.0
1319,68.0,80.0
1320,80.0,85.0
1321,85.0,96.0
1322,96.0,101.0
1323,94.0,81.0
1324,81.0,80.0
1325,80.0,72.0
1326,72.0,76.0
1327,76.0,80.0
1328,80.0,81.0
1329,81.0,85.0
1330,85.0,96.0
1331,96.0,101.0
1332,93.0,86.0
1333,86.0,86.0
1334,86.0,91.0
1335,91.0,99.0
1336,99.0,101.0
1337,94.0,84.0
1338,84.0,69.0
1339,69.0,66.0
1340,66.0,55.0
1341,55.0,43.0
1342,43.0,39.0
1343,39.0,30.0
1344,30.0,44.0
1345,44.0,57.0
1346,57.0,71.0
1347,71.0,87.0
1348,87.0,101.0
1349,89.0,86.0
1350,86.0,78.0
1351,78.0,91.0
1352,91.0,101.0
1353,77.0,72.0
1354,72.0,65.0
1355,65.0,61.0
1356,61.0,61.0
1357,61.0,59.0
1358,59.0,57.0
1359,57.0,63.0
1360,63.0,86.0
