,diff_0,diff_1,diff_2,target
588,17.0,17.0,18.0,18.0
589,17.0,18.0,18.0,19.0
590,18.0,18.0,19.0,19.0
591,18.0,19.0,19.0,28.0
592,19.0,19.0,28.0,35.0
593,19.0,28.0,35.0,41.0
594,28.0,35.0,41.0,48.0
595,35.0,41.0,48.0,101.0
596,60.0,72.0,77.0,101.0
597,100.0,99.0,98.0,95.0
598,99.0,98.0,95.0,82.0
599,98.0,95.0,82.0,76.0
600,95.0,82.0,76.0,75.0
601,82.0,76.0,75.0,77.0
602,76.0,75.0,77.0,76.0
603,75.0,77.0,76.0,73.0
604,77.0,76.0,73.0,70.0
605,22.0,32.0,34.0,30.0
606,32.0,34.0,30.0,30.0
607,34.0,30.0,30.0,25.0
608,30.0,30.0,25.0,24.0
609,30.0,25.0,24.0,21.0
610,25.0,24.0,21.0,25.0
611,24.0,21.0,25.0,30.0
612,21.0,25.0,30.0,47.0
613,25.0,30.0,47.0,47.0
614,30.0,47.0,47.0,67.0
615,47.0,47.0,67.0,81.0
616,47.0,67.0,81.0,89.0
617,67.0,81.0,89.0,92.0
618,81.0,89.0,92.0,101.0
619,82.0,77.0,68.0,58.0
620,77.0,68.0,58.0,53.0
621,68.0,58.0,53.0,41.0
622,58.0,53.0,41.0,35.0
623,53.0,41.0,35.0,31.0
624,41.0,35.0,31.0,31.0
625,35.0,31.0,31.0,27.0
626,31.0,31.0,27.0,26.0
627,31.0,27.0,26.0,22.0
628,27.0,26.0,22.0,18.0
629,26.0,22.0,18.0,18.0
630,22.0,18.0,18.0,17.0
631,18.0,18.0,17.0,17.0
632,18.0,17.0,17.0,19.0
633,17.0,17.0,19.0,19.0
634,17.0,19.0,19.0,23.0
635,19.0,19.0,23.0,23.0
636,19.0,23.0,23.0,25.0
637,23.0,23.0,25.0,44.0
638,23.0,25.0,44.0,36.0
639,25.0,44.0,36.0,34.0
640,44.0,36.0,34.0,38.0
641,36.0,34.0,38.0,36.0
642,34.0,38.0,36.0,41.0
643,38.0,36.0,41.0,35.0
644,36.0,41.0,35.0,27.0
645,41.0,35.0,27.0,40.0
646,35.0,27.0,40.0,42.0
647,27.0,40.0,42.0,41.0
648,40.0,42.0,41.0,46.0
649,42.0,41.0,46.0,101.0
650,55.0,72.0,53.0,54.0
651,72.0,53.0,54.0,39.0
652,53.0,54.0,39.0,44.0
653,54.0,39.0,44.0,55.0
654,39.0,44.0,55.0,54.0
655,44.0,55.0,54.0,52.0
656,55.0,54.0,52.0,50.0
657,54.0,52.0,50.0,47.0
658,52.0,50.0,47.0,45.0
659,50.0,47.0,45.0,36.0
660,47.0,45.0,36.0,13.0
661,45.0,36.0,13.0,28.0
662,36.0,13.0,28.0,33.0
663,13.0,28.0,33.0,41.0
664,28.0,33.0,41.0,53.0
665,33.0,41.0,53.0,65.0
666,41.0,53.0,65.0,76.0
667,53.0,65.0,76.0,101.0
668,33.0,40.0,38.0,42.0
669,40.0,38.0,42.0,47.0
670,38.0,42.0,47.0,50.0
671,42.0,47.0,50.0,44.0
672,47.0,50.0,44.0,39.0
673,50.0,44.0,39.0,39.0
674,44.0,39.0,39.0,37.0
675,39.0,39.0,37.0,41.0
676,39.0,37.0,41.0,42.0
677,37.0,41.0,42.0,39.0
678,41.0,42.0,39.0,41.0
679,42.0,39.0,41.0,45.0
680,39.0,41.0,45.0,42.0
681,41.0,45.0,42.0,42.0
682,45.0,42.0,42.0,42.0
683,42.0,42.0,42.0,45.0
684,42.0,42.0,45.0,44.0
685,42.0,45.0,44.0,38.0
686,45.0,44.0,38.0,43.0
687,44.0,38.0,43.0,47.0
688,38.0,43.0,47.0,43.0
689,43.0,47.0,43.0,46.0
690,47.0,43.0,46.0,50.0
691,43.0,46.0,50.0,101.0
692,95.0,98.0,97.0,91.0
693,98.0,97.0,91.0,81.0
694,97.0,91.0,81.0,90.0
695,91.0,81.0,90.0,96.0
696,81.0,90.0,96.0,94.0
697,90.0,96.0,94.0,99.0
698,96.0,94.0,99.0,98.0
699,94.0,99.0,98.0,101.0
700,73.0,74.0,72.0,64.0
701,74.0,72.0,64.0,64.0
702,72.0,64.0,64.0,61.0
703,64.0,64.0,61.0,59.0
704,64.0,61.0,59.0,50.0
705,61.0,59.0,50.0,52.0
706,59.0,50.0,52.0,55.0
707,50.0,52.0,55.0,62.0
708,52.0,55.0,62.0,75.0
709,55.0,62.0,75.0,85.0
710,62.0,75.0,85.0,101.0
711,96.0,75.0,63.0,46.0
712,75.0,63.0,46.0,41.0
713,63.0,46.0,41.0,34.0
714,46.0,41.0,34.0,26.0
715,41.0,34.0,26.0,21.0
716,34.0,26.0,21.0,14.0
717,26.0,21.0,14.0,13.0
718,21.0,14.0,13.0,10.0
719,14.0,13.0,10.0,12.0
720,13.0,10.0,12.0,11.0
721,10.0,12.0,11.0,12.0
722,12.0,11.0,12.0,13.0
723,11.0,12.0,13.0,12.0
724,12.0,13.0,12.0,15.0
725,13.0,12.0,15.0,14.0
726,12.0,15.0,14.0,18.0
727,15.0,14.0,18.0,20.0
728,14.0,18.0,20.0,28.0
729,18.0,20.0,28.0,35.0
730,20.0,28.0,35.0,41.0
731,28.0,35.0,41.0,49.0
732,35.0,41.0,49.0,101.0
733,96.0,100.0,93.0,101.0
734,97.0,83.0,76.0,76.0
735,83.0,76.0,76.0,69.0
736,76.0,76.0,69.0,70.0
737,76.0,69.0,70.0,66.0
738,69.0,70.0,66.0,63.0
739,70.0,66.0,63.0,69.0
740,66.0,63.0,69.0,73.0
741,63.0,69.0,73.0,79.0
742,69.0,73.0,79.0,84.0
743,73.0,79.0,84.0,98.0
744,79.0,84.0,98.0,101.0
745,99.0,89.0,83.0,77.0
746,89.0,83.0,77.0,69.0
747,83.0,77.0,69.0,70.0
748,77.0,69.0,70.0,67.0
749,69.0,70.0,67.0,59.0
750,70.0,67.0,59.0,53.0
751,67.0,59.0,53.0,52.0
752,59.0,53.0,52.0,48.0
753,53.0,52.0,48.0,43.0
754,52.0,48.0,43.0,49.0
755,48.0,43.0,49.0,48.0
756,43.0,49.0,48.0,55.0
757,49.0,48.0,55.0,65.0
758,48.0,55.0,65.0,70.0
759,55.0,65.0,70.0,86.0
760,65.0,70.0,86.0,90.0
761,70.0,86.0,90.0,101.0
762,12.0,9.0,7.0,5.0
763,9.0,7.0,5.0,3.0
764,7.0,5.0,3.0,2.0
765,5.0,3.0,2.0,3.0
766,3.0,2.0,3.0,3.0
767,2.0,3.0,3.0,3.0
768,3.0,3.0,3.0,3.0
