,artist,date,rank,song
25,BIRDMAN featuring LIL WAYNE & DRAKE,2010-01-09,26 ,Money To Blow
26,ALICIA KEYS,2010-01-09,27 ,Try Sleeping With A Broken Heart
27,CASCADA,2010-01-09,28 ,Evacuate The Dancefloor
28,EMINEM featuring DR. DRE,2010-01-09,29 ,Hell Breaks Loose
29,TAYLOR SWIFT,2010-01-09,30 ,Fifteen
30,NEW BOYZ featuring RAY J,2010-01-09,31 ,Tie Me Down
31,TRAIN,2010-01-09,32 ,"Hey, Soul Sister"
32,KRIS ALLEN,2010-01-09,33 ,Live Like We're Dying
33,TREY SONGZ,2010-01-09,34 ,Say Aah
34,SNOOP DOGG featuring THE-DREAM,2010-01-09,35 ,Gangsta Luv
35,50 CENT featuring NE-YO,2010-01-09,36 ,Baby By Me
36,"JAY-Z, RIHANNA & KANYE WEST",2010-01-09,37 ,Run This Town
37,LADY GAGA featuring BEYONCE,2010-01-09,38 ,Telephone
38,CARRIE UNDERWOOD,2010-01-09,39 ,Cowboy Casanova
39,SHAKIRA featuring LIL WAYNE,2010-01-09,40 ,Give It Up To Me
40,ORIANTHI,2010-01-09,41 ,According To You
41,TREY SONGZ featuring DRAKE,2010-01-09,42 ,I Invented Sex
42,LUKE BRYAN,2010-01-09,43 ,Do I
43,COLBIE CAILLAT,2010-01-09,44 ,Falling For You
44,REBA,2010-01-09,45 ,Consider Me Gone
45,SHINEDOWN,2010-01-09,46 ,If You Only Knew
46,JUSTIN BIEBER,2010-01-09,47 ,One Time
47,JASON ALDEAN,2010-01-09,48 ,The Truth
48,MELANIE FIONA,2010-01-09,49 ,It Kills Me
49,TIM McGRAW,2010-01-09,50 ,Southern Voice
50,GUCCI MANE featuring USHER,2010-01-09,51 ,Spotlight
51,MIRANDA LAMBERT,2010-01-09,52 ,White Liar
52,RIHANNA,2010-01-09,53 ,Russian Roulette
53,UNCLE KRACKER,2010-01-09,54 ,Smile
54,ALICIA KEYS,2010-01-09,55 ,Empire State Of Mind (Part II)
55,MUSE,2010-01-09,56 ,Uprising
56,DIERKS BENTLEY,2010-01-09,57 ,I Wanna Make You Close Your Eyes
57,DAUGHTRY,2010-01-09,58 ,Life After You
58,TIMBALAND featuring JUSTIN TIMBERLAKE,2010-01-09,59 ,Carry Out
59,JUSTIN BIEBER,2010-01-09,60 ,One Less Lonely Girl
60,USHER,2010-01-09,61 ,Papers
61,NICKELBACK,2010-01-09,62 ,Never Gonna Be Alone
62,DAVID NAIL,2010-01-09,63 ,Red Light
63,JOSH TURNER,2010-01-09,64 ,Why Don't We Just Dance
64,MARY J. BLIGE,2010-01-09,65 ,I Am
65,DARIUS RUCKER,2010-01-09,66 ,History In The Making
66,EMINEM,2010-01-09,67 ,Elevator
67,CHRIS BROWN,2010-01-09,68 ,Crawl
68,PITBULL featuring AKON,2010-01-09,69 ,Shut It Down
69,JASON DERULO,2010-01-09,70 ,In My Head
70,MICHAEL BUBLE,2010-01-09,71 ,Haven't Met You Yet
71,ADAM LAMBERT,2010-01-09,72 ,Whataya Want From Me
72,JAKE OWEN,2010-01-09,73 ,Eight Second Ride
73,ROB THOMAS,2010-01-09,74 ,Someday
74,SNOOP DOGG,2010-01-09,75 ,I Wanna Rock
75,CRAIG MORGAN,2010-01-09,76 ,Bonfire
76,GUCCI MANE featuring PLIES,2010-01-09,77 ,Wasted
77,ONEREPUBLIC,2010-01-09,78 ,All The Right Moves
78,ROBIN THICKE,2010-01-09,79 ,Sex Therapy
79,JESSE McCARTNEY featuring T-PAIN,2010-01-09,80 ,Body Language
80,BREAKING BENJAMIN,2010-01-09,81 ,I Will Not Bow
81,THREE DAYS GRACE,2010-01-09,82 ,Break
82,MAXWELL,2010-01-09,83 ,Bad Habits
83,LIL WAYNE,2010-01-09,84 ,On Fire
84,JOHN MAYER,2010-01-09,85 ,Heartbreak Warfare
85,BRAD PAISLEY,2010-01-09,86 ,American Saturday Night
86,BILLY CURRINGTON,2010-01-09,87 ,That's How Country Boys Roll
87,TOBY KEITH,2010-01-09,88 ,Cryin' For Me (Wayman's Song)
88,THE SCRIPT,2010-01-09,89 ,Breakeven
89,PHOENIX,2010-01-09,90 ,1901
90,LIFEHOUSE,2010-01-09,91 ,Halfway Gone
91,CHRIS YOUNG,2010-01-09,92 ,Gettin' You Home (The Black Dress Song)
92,THE BLACK EYED PEAS,2010-01-09,93 ,Imma Be
93,USHER featuring PLIES,2010-01-09,94 ,Hey Daddy (Daddy's Home)
94,WEEZER,2010-01-09,95 ,(If You're Wondering If I Want You To) I Want You To
95,30 SECONDS TO MARS,2010-01-09,96 ,Kings And Queens
96,DRAKE featuring LIL WAYNE & YOUNG JEEZY,2010-01-09,97 ,I'm Going In
97,OMARION featuring GUCCI MANE,2010-01-09,98 ,I Get It In
98,ESTER DEAN featuring CHRIS BROWN,2010-01-09,99 ,Drop It Low
99,BEYONCE,2010-01-09,100,Video Phone
0,KE$HA,2010-01-16,1  ,TiK ToK
1,IYAZ,2010-01-16,2  ,Replay
2,LADY GAGA,2010-01-16,3  ,Bad Romance
3,OWL CITY,2010-01-16,4  ,Fireflies
4,JAY-Z & ALICIA KEYS,2010-01-16,5  ,Empire State Of Mind
5,JASON DeRULO,2010-01-16,6  ,Whatcha Say
6,JAY SEAN featuring LIL WAYNE,2010-01-16,7  ,Down
7,MILEY CYRUS,2010-01-16,8  ,Party In The U.S.A.
8,DAVID GUETTA featuring AKON,2010-01-16,9  ,Sexy Bitch
9,JAY SEAN featuring SEAN PAUL & LIL JON,2010-01-16,10 ,Do You Remember
10,THE BLACK EYED PEAS,2010-01-16,11 ,Meet Me Halfway
11,YOUNG MONEY featuring LLOYD,2010-01-16,12 ,Bedrock
12,BRITNEY SPEARS,2010-01-16,13 ,3
13,THE BLACK EYED PEAS,2010-01-16,14 ,I Gotta Feeling
14,LADY GAGA,2010-01-16,15 ,Paparazzi
15,"DRAKE featuring KANYE WEST, LIL WAYNE & EMINEM",2010-01-16,16 ,Forever
16,JUSTIN BIEBER,2010-01-16,17 ,One Time
17,RIHANNA featuring JEEZY,2010-01-16,18 ,Hard
18,TAYLOR SWIFT,2010-01-16,19 ,You Belong With Me
19,BOYS LIKE GIRLS featuring TAYLOR SWIFT,2010-01-16,20 ,Two Is Better Than One
20,CHRIS BROWN featuring LIL WAYNE & SWIZZ BEATZ,2010-01-16,21 ,I Can Transform Ya
21,LADY ANTEBELLUM,2010-01-16,22 ,Need You Now
22,LUDACRIS,2010-01-16,23 ,How Low
23,BEYONCE,2010-01-16,24 ,Sweet Dreams
24,TAYLOR SWIFT,2010-01-16,25 ,Fifteen
25,NEW BOYZ featuring RAY J,2010-01-16,26 ,Tie Me Down
26,CASCADA,2010-01-16,27 ,Evacuate The Dancefloor
27,KELLY CLARKSON,2010-01-16,28 ,Already Gone
28,CARRIE UNDERWOOD,2010-01-16,29 ,Cowboy Casanova
29,JUSTIN BIEBER,2010-01-16,30 ,One Less Lonely Girl
30,"JAY-Z, RIHANNA & KANYE WEST",2010-01-16,31 ,Run This Town
31,KRIS ALLEN,2010-01-16,32 ,Live Like We're Dying
32,BIRDMAN featuring LIL WAYNE & DRAKE,2010-01-16,33 ,Money To Blow
33,TRAIN,2010-01-16,34 ,"Hey, Soul Sister"
34,KINGS OF LEON,2010-01-16,35 ,Use Somebody
35,ORIANTHI,2010-01-16,36 ,According To You
36,LADY GAGA featuring BEYONCE,2010-01-16,37 ,Telephone
37,COLBIE CAILLAT,2010-01-16,38 ,Falling For You
38,SELENA GOMEZ & THE SCENE,2010-01-16,39 ,Naturally
39,SHAKIRA featuring LIL WAYNE,2010-01-16,40 ,Give It Up To Me
40,SNOOP DOGG featuring THE-DREAM,2010-01-16,41 ,Gangsta Luv
41,TREY SONGZ,2010-01-16,42 ,Say Aah
42,RIHANNA,2010-01-16,43 ,Russian Roulette
43,UNCLE KRACKER,2010-01-16,44 ,Smile
44,JESSE McCARTNEY featuring T-PAIN,2010-01-16,45 ,Body Language
45,50 CENT featuring NE-YO,2010-01-16,46 ,Baby By Me
46,SHINEDOWN,2010-01-16,47 ,If You Only Knew
47,YOUNG MONEY featuring GUCCI MANE,2010-01-16,48 ,Steady Mobbin'
48,MIRANDA LAMBERT,2010-01-16,49 ,White Liar
49,LUKE BRYAN,2010-01-16,50 ,Do I
50,MUSE,2010-01-16,51 ,Uprising
51,GUCCI MANE featuring USHER,2010-01-16,52 ,Spotlight
52,CHRIS BROWN,2010-01-16,53 ,Crawl
53,JASON ALDEAN,2010-01-16,54 ,The Truth
54,ALICIA KEYS,2010-01-16,55 ,Try Sleeping With A Broken Heart
55,ONEREPUBLIC,2010-01-16,56 ,All The Right Moves
56,DAUGHTRY,2010-01-16,57 ,Life After You
57,NICKELBACK,2010-01-16,58 ,Never Gonna Be Alone
58,JASON DERULO,2010-01-16,59 ,In My Head
59,TIM McGRAW,2010-01-16,60 ,Southern Voice
60,REBA,2010-01-16,61 ,Consider Me Gone
61,TREY SONGZ featuring DRAKE,2010-01-16,62 ,I Invented Sex
62,MICHAEL BUBLE,2010-01-16,63 ,Haven't Met You Yet
63,BREAKING BENJAMIN,2010-01-16,64 ,I Will Not Bow
64,BLAKE SHELTON featuring TRACE ADKINS,2010-01-16,65 ,Hillbilly Bone
65,THE BLACK EYED PEAS,2010-01-16,66 ,Imma Be
66,MARY J. BLIGE,2010-01-16,67 ,I Am
67,ADAM LAMBERT,2010-01-16,68 ,Whataya Want From Me
68,DRAKE featuring LIL WAYNE & YOUNG JEEZY,2010-01-16,69 ,I'm Going In
69,MELANIE FIONA,2010-01-16,70 ,It Kills Me
70,TIMBALAND featuring JUSTIN TIMBERLAKE,2010-01-16,71 ,Carry Out
71,OWL CITY,2010-01-16,72 ,Vanilla Twilight
72,THREE DAYS GRACE,2010-01-16,73 ,Break
73,JOSH TURNER,2010-01-16,74 ,Why Don't We Just Dance
74,DIERKS BENTLEY,2010-01-16,75 ,I Wanna Make You Close Your Eyes
75,JAKE OWEN,2010-01-16,76 ,Eight Second Ride
76,ESTER DEAN featuring CHRIS BROWN,2010-01-16,77 ,Drop It Low
77,GUCCI MANE featuring PLIES,2010-01-16,78 ,Wasted
78,PINK,2010-01-16,79 ,Funhouse
79,USHER,2010-01-16,80 ,Papers
80,DARIUS RUCKER,2010-01-16,81 ,History In The Making
81,EMINEM,2010-01-16,82 ,Music Box
82,DAVID NAIL,2010-01-16,83 ,Red Light
83,ROB THOMAS,2010-01-16,84 ,Someday
84,THE SCRIPT,2010-01-16,85 ,Breakeven
85,JUSTIN BIEBER,2010-01-16,86 ,Love Me
86,PITBULL featuring AKON,2010-01-16,87 ,Shut It Down
87,COBRA STARSHIP,2010-01-16,88 ,Hot Mess
88,SNOOP DOGG,2010-01-16,89 ,I Wanna Rock
89,PHOENIX,2010-01-16,90 ,1901
90,CREED,2010-01-16,91 ,Rain
91,SELENE GOMEZ & THE SCENE,2010-01-16,92 ,Falling Down
92,JOHN MAYER,2010-01-16,93 ,Heartbreak Warfare
93,ROBIN THICKE,2010-01-16,94 ,Sex Therapy
94,CRAIG MORGAN,2010-01-16,95 ,Bonfire
95,LMFAO featuring LIL JON,2010-01-16,96 ,Shots
96,LADY ANTEBELLUM,2010-01-16,97 ,American Honey
97,BEYONCE,2010-01-16,98 ,Video Phone
98,LIFEHOUSE,2010-01-16,99 ,Halfway Gone
99,30 SECONDS TO MARS,2010-01-16,100,Kings And Queens
0,KE$HA,2010-01-23,1  ,TiK ToK
1,LADY GAGA,2010-01-23,2  ,Bad Romance
2,IYAZ,2010-01-23,3  ,Replay
3,JAY-Z & ALICIA KEYS,2010-01-23,4  ,Empire State Of Mind
4,OWL CITY,2010-01-23,5  ,Fireflies
5,DAVID GUETTA featuring AKON,2010-01-23,6  ,Sexy Bitch
6,JAY SEAN featuring LIL WAYNE,2010-01-23,7  ,Down
7,JASON DeRULO,2010-01-23,8  ,Whatcha Say
8,THE BLACK EYED PEAS,2010-01-23,9  ,I Gotta Feeling
9,MILEY CYRUS,2010-01-23,10 ,Party In The U.S.A.
10,JAY SEAN featuring SEAN PAUL & LIL JON,2010-01-23,11 ,Do You Remember
11,YOUNG MONEY featuring LLOYD,2010-01-23,12 ,Bedrock
12,THE BLACK EYED PEAS,2010-01-23,13 ,Meet Me Halfway
13,LADY GAGA,2010-01-23,14 ,Paparazzi
14,RIHANNA featuring JEEZY,2010-01-23,15 ,Hard
15,BRITNEY SPEARS,2010-01-23,16 ,3
16,TAYLOR SWIFT,2010-01-23,17 ,You Belong With Me
17,LIL WAYNE featuring EMINEM,2010-01-23,18 ,Drop The World
18,"DRAKE featuring KANYE WEST, LIL WAYNE & EMINEM",2010-01-23,19 ,Forever
19,LADY ANTEBELLUM,2010-01-23,20 ,Need You Now
20,LUDACRIS,2010-01-23,21 ,How Low
21,BEYONCE,2010-01-23,22 ,Sweet Dreams
22,BOYS LIKE GIRLS featuring TAYLOR SWIFT,2010-01-23,23 ,Two Is Better Than One
23,JUSTIN BIEBER,2010-01-23,24 ,One Time
24,KINGS OF LEON,2010-01-23,25 ,Use Somebody
25,KELLY CLARKSON,2010-01-23,26 ,Already Gone
26,CASCADA,2010-01-23,27 ,Evacuate The Dancefloor
27,TAYLOR SWIFT,2010-01-23,28 ,Fifteen
28,TRAIN,2010-01-23,29 ,"Hey, Soul Sister"
29,KRIS ALLEN,2010-01-23,30 ,Live Like We're Dying
30,CHRIS BROWN featuring LIL WAYNE & SWIZZ BEATZ,2010-01-23,31 ,I Can Transform Ya
31,NEW BOYZ featuring RAY J,2010-01-23,32 ,Tie Me Down
32,ORIANTHI,2010-01-23,33 ,According To You
33,"JAY-Z, RIHANNA & KANYE WEST",2010-01-23,34 ,Run This Town
34,CARRIE UNDERWOOD,2010-01-23,35 ,Cowboy Casanova
35,BIRDMAN featuring LIL WAYNE & DRAKE,2010-01-23,36 ,Money To Blow
36,LADY GAGA featuring BEYONCE,2010-01-23,37 ,Telephone
37,COLBIE CAILLAT,2010-01-23,38 ,Falling For You
38,JUSTIN BIEBER,2010-01-23,39 ,One Less Lonely Girl
39,TREY SONGZ,2010-01-23,40 ,Say Aah
40,SNOOP DOGG featuring THE-DREAM,2010-01-23,41 ,Gangsta Luv
41,SELENA GOMEZ & THE SCENE,2010-01-23,42 ,Naturally
42,UNCLE KRACKER,2010-01-23,43 ,Smile
43,SHAKIRA featuring LIL WAYNE,2010-01-23,44 ,Give It Up To Me
44,SHINEDOWN,2010-01-23,45 ,If You Only Knew
45,THE BLACK EYED PEAS,2010-01-23,46 ,Imma Be
46,MIRANDA LAMBERT,2010-01-23,47 ,White Liar
47,50 CENT featuring NE-YO,2010-01-23,48 ,Baby By Me
48,JASON ALDEAN,2010-01-23,49 ,The Truth
49,JASON DERULO,2010-01-23,50 ,In My Head
50,TIM McGRAW,2010-01-23,51 ,Southern Voice
51,MICHAEL BUBLE,2010-01-23,52 ,Haven't Met You Yet
52,LUKE BRYAN,2010-01-23,53 ,Do I
53,REBA,2010-01-23,54 ,Consider Me Gone
54,ALICIA KEYS,2010-01-23,55 ,Try Sleeping With A Broken Heart
55,DAUGHTRY,2010-01-23,56 ,Life After You
56,GUCCI MANE featuring USHER,2010-01-23,57 ,Spotlight
57,MUSE,2010-01-23,58 ,Uprising
58,RIHANNA,2010-01-23,59 ,Russian Roulette
59,ONEREPUBLIC,2010-01-23,60 ,All The Right Moves
60,TIMBALAND featuring JUSTIN TIMBERLAKE,2010-01-23,61 ,Carry Out
61,TREY SONGZ featuring DRAKE,2010-01-23,62 ,I Invented Sex
62,NICKELBACK,2010-01-23,63 ,Never Gonna Be Alone
63,MELANIE FIONA,2010-01-23,64 ,It Kills Me
64,JOSH TURNER,2010-01-23,65 ,Why Don't We Just Dance
65,DIERKS BENTLEY,2010-01-23,66 ,I Wanna Make You Close Your Eyes
66,JESSE McCARTNEY featuring T-PAIN,2010-01-23,67 ,Body Language
67,BLAKE SHELTON featuring TRACE ADKINS,2010-01-23,68 ,Hillbilly Bone
68,CHRIS BROWN,2010-01-23,69 ,Crawl
69,ADAM LAMBERT,2010-01-23,70 ,Whataya Want From Me
70,DARIUS RUCKER,2010-01-23,71 ,History In The Making
71,JAKE OWEN,2010-01-23,72 ,Eight Second Ride
72,BREAKING BENJAMIN,2010-01-23,73 ,I Will Not Bow
73,ROB THOMAS,2010-01-23,74 ,Someday
74,PITBULL featuring AKON,2010-01-23,75 ,Shut It Down
75,THREE DAYS GRACE,2010-01-23,76 ,Break
76,DAVID NAIL,2010-01-23,77 ,Red Light
77,GUCCI MANE featuring PLIES,2010-01-23,78 ,Wasted
78,JOHN MAYER,2010-01-23,79 ,Heartbreak Warfare
79,USHER,2010-01-23,80 ,Papers
80,YOUNG MONEY featuring GUCCI MANE,2010-01-23,81 ,Steady Mobbin'
81,MARY J. BLIGE,2010-01-23,82 ,I Am
82,PINK,2010-01-23,83 ,Funhouse
83,THE SCRIPT,2010-01-23,84 ,Breakeven
84,DRAKE featuring LIL WAYNE & YOUNG JEEZY,2010-01-23,85 ,I'm Going In
85,ESTER DEAN featuring CHRIS BROWN,2010-01-23,86 ,Drop It Low
86,SNOOP DOGG,2010-01-23,87 ,I Wanna Rock
87,PHOENIX,2010-01-23,88 ,1901
88,BRAD PAISLEY,2010-01-23,89 ,American Saturday Night
89,OWL CITY,2010-01-23,90 ,Vanilla Twilight
90,TOBY KEITH,2010-01-23,91 ,Cryin' For Me (Wayman's Song)
91,ROBIN THICKE,2010-01-23,92 ,Sex Therapy
92,COBRA STARSHIP,2010-01-23,93 ,Hot Mess
93,CHRIS YOUNG,2010-01-23,94 ,Gettin' You Home (The Black Dress Song)
94,LMFAO featuring LIL JON,2010-01-23,95 ,Shots
95,BILLY CURRINGTON,2010-01-23,96 ,That's How Country Boys Roll
96,CARRIE UNDERWOOD,2010-01-23,97 ,Temporary Home
97,LIFEHOUSE,2010-01-23,98 ,Halfway Gone
98,LADY ANTEBELLUM,2010-01-23,99 ,American Honey
99,(If You Are Wondering If I Want You To) I Want You To WEEZER,2010-01-23,100,
0,KE$HA,2010-01-30,1  ,TiK ToK
1,LADY GAGA,2010-01-30,2  ,Bad Romance
2,JAY-Z & ALICIA KEYS,2010-01-30,3  ,Empire State Of Mind
3,IYAZ,2010-01-30,4  ,Replay
4,OWL CITY,2010-01-30,5  ,Fireflies
5,DAVID GUETTA featuring AKON,2010-01-30,6  ,Sexy Bitch
6,KE$HA featuring 3OH!3,2010-01-30,7  ,Blah Blah Blah
7,YOUNG MONEY featuring LLOYD,2010-01-30,8  ,Bedrock
8,RIHANNA featuring JEEZY,2010-01-30,9  ,Hard
9,JAY SEAN featuring LIL WAYNE,2010-01-30,10 ,Down
10,JASON DeRULO,2010-01-30,11 ,Whatcha Say
11,THE BLACK EYED PEAS,2010-01-30,12 ,I Gotta Feeling
12,JAY SEAN featuring SEAN PAUL & LIL JON,2010-01-30,13 ,Do You Remember
13,LUDACRIS,2010-01-30,14 ,How Low
14,BRITNEY SPEARS,2010-01-30,15 ,3
15,TAYLOR SWIFT,2010-01-30,16 ,You Belong With Me
16,MILEY CYRUS,2010-01-30,17 ,Party In The U.S.A.
17,"DRAKE featuring KANYE WEST, LIL WAYNE & EMINEM",2010-01-30,18 ,Forever
18,LADY ANTEBELLUM,2010-01-30,19 ,Need You Now
