,artist,date,rank,song
0,JAY-Z & ALICIA KEYS,2010-01-02,1  ,Empire State Of Mind
1,KE$HA,2010-01-02,2  ,TiK ToK
2,LADY GAGA,2010-01-02,3  ,Bad Romance
3,IYAZ,2010-01-02,4  ,Replay
4,OWL CITY,2010-01-02,5  ,Fireflies
5,DAVID GUETTA featuring AKON,2010-01-02,6  ,Sexy Bitch
6,JASON DeRULO,2010-01-02,7  ,Whatcha Say
7,THE BLACK EYED PEAS,2010-01-02,8  ,Meet Me Halfway
8,BRITNEY SPEARS,2010-01-02,9  ,3
9,JAY SEAN featuring LIL WAYNE,2010-01-02,10 ,Down
10,LADY GAGA,2010-01-02,11 ,Paparazzi
11,BEYONCE,2010-01-02,12 ,Sweet Dreams
12,LUDACRIS,2010-01-02,13 ,How Low
13,"DRAKE featuring KANYE WEST, LIL WAYNE & EMINEM",2010-01-02,14 ,Forever
14,KELLY CLARKSON,2010-01-02,15 ,Already Gone
15,JAY SEAN featuring SEAN PAUL & LIL JON,2010-01-02,16 ,Do You Remember
16,MILEY CYRUS,2010-01-02,17 ,Party In The U.S.A.
17,THE BLACK EYED PEAS,2010-01-02,18 ,I Gotta Feeling
18,LADY ANTEBELLUM,2010-01-02,19 ,Need You Now
19,YOUNG MONEY featuring LLOYD,2010-01-02,20 ,Bedrock
20,RIHANNA featuring JEEZY,2010-01-02,21 ,Hard
21,TAYLOR SWIFT,2010-01-02,22 ,You Belong With Me
22,KINGS OF LEON,2010-01-02,23 ,Use Somebody
23,CHRIS BROWN featuring LIL WAYNE & SWIZZ BEATZ,2010-01-02,24 ,I Can Transform Ya
24,CASCADA,2010-01-02,25 ,Evacuate The Dancefloor
25,BIRDMAN featuring LIL WAYNE & DRAKE,2010-01-02,26 ,Money To Blow
26,TAYLOR SWIFT,2010-01-02,27 ,Fifteen
27,BOYS LIKE GIRLS featuring TAYLOR SWIFT,2010-01-02,28 ,Two Is Better Than One
28,50 CENT featuring NE-YO,2010-01-02,29 ,Baby By Me
29,CARRIE UNDERWOOD,2010-01-02,30 ,Cowboy Casanova
30,TIMBALAND featuring JUSTIN TIMBERLAKE,2010-01-02,31 ,Carry Out
31,"JAY-Z, RIHANNA & KANYE WEST",2010-01-02,32 ,Run This Town
32,NEW BOYZ featuring RAY J,2010-01-02,33 ,Tie Me Down
33,SHAKIRA featuring LIL WAYNE,2010-01-02,34 ,Give It Up To Me
34,SNOOP DOGG featuring THE-DREAM,2010-01-02,35 ,Gangsta Luv
35,KRIS ALLEN,2010-01-02,36 ,Live Like We're Dying
36,LUKE BRYAN,2010-01-02,37 ,Do I
37,TREY SONGZ,2010-01-02,38 ,Say Aah
38,COLBIE CAILLAT,2010-01-02,39 ,Falling For You
39,REBA,2010-01-02,40 ,Consider Me Gone
40,JUSTIN BIEBER,2010-01-02,41 ,One Time
41,GUCCI MANE featuring USHER,2010-01-02,42 ,Spotlight
42,TREY SONGZ featuring DRAKE,2010-01-02,43 ,I Invented Sex
43,RIHANNA,2010-01-02,44 ,Russian Roulette
44,TRAIN,2010-01-02,45 ,"Hey, Soul Sister"
45,LADY GAGA featuring BEYONCE,2010-01-02,46 ,Telephone
46,SHINEDOWN,2010-01-02,47 ,If You Only Knew
47,JASON ALDEAN,2010-01-02,48 ,The Truth
48,MIRANDA LAMBERT,2010-01-02,49 ,White Liar
49,TIM McGRAW,2010-01-02,50 ,Southern Voice
50,"GLEE CAST featuring LEA MICHELE, CORY MONTEITH, JENNA USHKOW",2010-01-02,51 ,My Life Would Suck Without You
51,DIERKS BENTLEY,2010-01-02,52 ,I Wanna Make You Close Your Eyes
52,GLEE CAST featuring LEA MICHELE,2010-01-02,53 ,Don't Rain On My Parade
53,MELANIE FIONA,2010-01-02,54 ,It Kills Me
54,ORIANTHI,2010-01-02,55 ,According To You
55,ALICIA KEYS,2010-01-02,56 ,Try Sleeping With A Broken Heart
56,USHER,2010-01-02,57 ,Papers
57,UNCLE KRACKER,2010-01-02,58 ,Smile
58,DAVID NAIL,2010-01-02,59 ,Red Light
59,CHRIS BROWN,2010-01-02,60 ,Crawl
60,NICKELBACK,2010-01-02,61 ,Never Gonna Be Alone
61,LIL WAYNE,2010-01-02,62 ,On Fire
62,JASON DERULO,2010-01-02,63 ,In My Head
63,DAUGHTRY,2010-01-02,64 ,Life After You
64,CRAIG MORGAN,2010-01-02,65 ,Bonfire
65,MUSE,2010-01-02,66 ,Uprising
66,MARY J. BLIGE,2010-01-02,67 ,I Am
67,GUCCI MANE featuring PLIES,2010-01-02,68 ,Wasted
68,JESSE McCARTNEY featuring T-PAIN,2010-01-02,69 ,Body Language
69,DARIUS RUCKER,2010-01-02,70 ,History In The Making
70,"GLEE CAST featuring LEA MICHELE, CORY MONTEITH, KEVIN McHALE",2010-01-02,71 ,You Can't Always Get What You Want
71,THIRTY SECONDS TO MARS,2010-01-02,72 ,This Is War
72,JUSTIN BIEBER,2010-01-02,73 ,One Less Lonely Girl
73,MICHAEL BUBLE,2010-01-02,74 ,Haven't Met You Yet
74,JOSH TURNER,2010-01-02,75 ,Why Don't We Just Dance
75,ROB THOMAS,2010-01-02,76 ,Someday
76,JAKE OWEN,2010-01-02,77 ,Eight Second Ride
77,MAXWELL,2010-01-02,78 ,Bad Habits
78,ONEREPUBLIC,2010-01-02,79 ,All The Right Moves
79,SNOOP DOGG,2010-01-02,80 ,I Wanna Rock
80,BREAKING BENJAMIN,2010-01-02,81 ,I Will Not Bow
81,30 SECONDS TO MARS,2010-01-02,82 ,Kings And Queens
82,PITBULL featuring AKON,2010-01-02,83 ,Shut It Down
83,THREE DAYS GRACE,2010-01-02,84 ,Break
84,BILLY CURRINGTON,2010-01-02,85 ,That's How Country Boys Roll
85,CHRIS YOUNG,2010-01-02,86 ,Gettin' You Home (The Black Dress Song)
86,PHOENIX,2010-01-02,87 ,1901
87,CHRIS BROWN featuring PLIES,2010-01-02,88 ,What I Do
88,GLEE CAST,2010-01-02,89 ,Last Christmas
89,BRAD PAISLEY,2010-01-02,90 ,American Saturday Night
90,TOBY KEITH,2010-01-02,91 ,Cryin' For Me (Wayman's Song)
91,OMARION featuring GUCCI MANE,2010-01-02,92 ,I Get It In
92,THE SCRIPT,2010-01-02,93 ,Breakeven
93,GLEE CAST featuring AMBER RILEY,2010-01-02,94 ,And I Am Telling You I'm Not Going
94,WEEZER,2010-01-02,95 ,(If You're Wondering If I Want You To) I Want You To
95,DRAKE featuring LIL WAYNE & YOUNG JEEZY,2010-01-02,96 ,I'm Going In
96,BEYONCE,2010-01-02,97 ,Video Phone
97,ESTER DEAN featuring CHRIS BROWN,2010-01-02,98 ,Drop It Low
98,LIFEHOUSE,2010-01-02,99 ,Halfway Gone
99,GEORGE STRAIT,2010-01-02,100,Twang
0,KE$HA,2010-01-09,1  ,TiK ToK
1,JAY-Z & ALICIA KEYS,2010-01-09,2  ,Empire State Of Mind
2,LADY GAGA,2010-01-09,3  ,Bad Romance
3,IYAZ,2010-01-09,4  ,Replay
4,OWL CITY,2010-01-09,5  ,Fireflies
5,DAVID GUETTA featuring AKON,2010-01-09,6  ,Sexy Bitch
6,JASON DeRULO,2010-01-09,7  ,Whatcha Say
7,JAY SEAN featuring LIL WAYNE,2010-01-09,8  ,Down
8,THE BLACK EYED PEAS,2010-01-09,9  ,Meet Me Halfway
9,BRITNEY SPEARS,2010-01-09,10 ,3
10,RIHANNA featuring JEEZY,2010-01-09,11 ,Hard
11,YOUNG MONEY featuring LLOYD,2010-01-09,12 ,Bedrock
12,LUDACRIS,2010-01-09,13 ,How Low
13,JAY SEAN featuring SEAN PAUL & LIL JON,2010-01-09,14 ,Do You Remember
14,LADY GAGA,2010-01-09,15 ,Paparazzi
15,"DRAKE featuring KANYE WEST, LIL WAYNE & EMINEM",2010-01-09,16 ,Forever
16,BEYONCE,2010-01-09,17 ,Sweet Dreams
17,KELLY CLARKSON,2010-01-09,18 ,Already Gone
18,MILEY CYRUS,2010-01-09,19 ,Party In The U.S.A.
19,THE BLACK EYED PEAS,2010-01-09,20 ,I Gotta Feeling
20,LADY ANTEBELLUM,2010-01-09,21 ,Need You Now
21,TAYLOR SWIFT,2010-01-09,22 ,You Belong With Me
22,BOYS LIKE GIRLS featuring TAYLOR SWIFT,2010-01-09,23 ,Two Is Better Than One
23,CHRIS BROWN featuring LIL WAYNE & SWIZZ BEATZ,2010-01-09,24 ,I Can Transform Ya
24,KINGS OF LEON,2010-01-09,25 ,Use Somebody
