,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
105,51.0,56.0,75.0,87.0,94.0,94.0,101.0
106,53.0,31.0,14.0,4.0,1.0,1.0,1.0
107,31.0,14.0,4.0,1.0,1.0,1.0,1.0
108,14.0,4.0,1.0,1.0,1.0,1.0,1.0
109,4.0,1.0,1.0,1.0,1.0,1.0,1.0
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,1.0,1.0,1.0,1.0,1.0,1.0,3.0
112,1.0,1.0,1.0,1.0,1.0,3.0,6.0
113,1.0,1.0,1.0,1.0,3.0,6.0,12.0
114,1.0,1.0,1.0,3.0,6.0,12.0,13.0
115,1.0,1.0,3.0,6.0,12.0,13.0,23.0
116,1.0,3.0,6.0,12.0,13.0,23.0,33.0
117,3.0,6.0,12.0,13.0,23.0,33.0,40.0
118,6.0,12.0,13.0,23.0,33.0,40.0,46.0
119,12.0,13.0,23.0,33.0,40.0,46.0,60.0
120,13.0,23.0,33.0,40.0,46.0,60.0,64.0
121,23.0,33.0,40.0,46.0,60.0,64.0,75.0
122,33.0,40.0,46.0,60.0,64.0,75.0,101.0
123,85.0,76.0,73.0,70.0,75.0,85.0,94.0
124,76.0,73.0,70.0,75.0,85.0,94.0,101.0
125,60.0,57.0,44.0,34.0,35.0,36.0,30.0
126,57.0,44.0,34.0,35.0,36.0,30.0,23.0
127,44.0,34.0,35.0,36.0,30.0,23.0,26.0
128,34.0,35.0,36.0,30.0,23.0,26.0,28.0
129,35.0,36.0,30.0,23.0,26.0,28.0,21.0
130,36.0,30.0,23.0,26.0,28.0,21.0,21.0
131,30.0,23.0,26.0,28.0,21.0,21.0,8.0
132,23.0,26.0,28.0,21.0,21.0,8.0,8.0
133,26.0,28.0,21.0,21.0,8.0,8.0,12.0
134,28.0,21.0,21.0,8.0,8.0,12.0,14.0
135,21.0,21.0,8.0,8.0,12.0,14.0,18.0
136,21.0,8.0,8.0,12.0,14.0,18.0,24.0
137,8.0,8.0,12.0,14.0,18.0,24.0,29.0
138,8.0,12.0,14.0,18.0,24.0,29.0,27.0
139,12.0,14.0,18.0,24.0,29.0,27.0,42.0
140,14.0,18.0,24.0,29.0,27.0,42.0,44.0
141,18.0,24.0,29.0,27.0,42.0,44.0,101.0
142,24.0,24.0,30.0,36.0,37.0,30.0,23.0
143,24.0,30.0,36.0,37.0,30.0,23.0,21.0
144,30.0,36.0,37.0,30.0,23.0,21.0,17.0
145,36.0,37.0,30.0,23.0,21.0,17.0,17.0
146,37.0,30.0,23.0,21.0,17.0,17.0,15.0
147,30.0,23.0,21.0,17.0,17.0,15.0,11.0
148,23.0,21.0,17.0,17.0,15.0,11.0,11.0
149,21.0,17.0,17.0,15.0,11.0,11.0,10.0
150,17.0,17.0,15.0,11.0,11.0,10.0,7.0
151,17.0,15.0,11.0,11.0,10.0,7.0,7.0
152,15.0,11.0,11.0,10.0,7.0,7.0,8.0
153,11.0,11.0,10.0,7.0,7.0,8.0,10.0
154,11.0,10.0,7.0,7.0,8.0,10.0,11.0
155,10.0,7.0,7.0,8.0,10.0,11.0,12.0
156,7.0,7.0,8.0,10.0,11.0,12.0,12.0
157,7.0,8.0,10.0,11.0,12.0,12.0,17.0
158,8.0,10.0,11.0,12.0,12.0,17.0,19.0
159,10.0,11.0,12.0,12.0,17.0,19.0,23.0
160,11.0,12.0,12.0,17.0,19.0,23.0,33.0
161,12.0,12.0,17.0,19.0,23.0,33.0,37.0
162,12.0,17.0,19.0,23.0,33.0,37.0,36.0
163,17.0,19.0,23.0,33.0,37.0,36.0,49.0
164,19.0,23.0,33.0,37.0,36.0,49.0,101.0
165,100.0,99.0,96.0,76.0,55.0,37.0,101.0
166,84.0,78.0,74.0,74.0,77.0,79.0,76.0
167,78.0,74.0,74.0,77.0,79.0,76.0,70.0
168,74.0,74.0,77.0,79.0,76.0,70.0,70.0
169,74.0,77.0,79.0,76.0,70.0,70.0,73.0
170,77.0,79.0,76.0,70.0,70.0,73.0,71.0
171,79.0,76.0,70.0,70.0,73.0,71.0,77.0
172,76.0,70.0,70.0,73.0,71.0,77.0,81.0
173,70.0,70.0,73.0,71.0,77.0,81.0,67.0
174,70.0,73.0,71.0,77.0,81.0,67.0,68.0
175,73.0,71.0,77.0,81.0,67.0,68.0,67.0
176,71.0,77.0,81.0,67.0,68.0,67.0,78.0
177,77.0,81.0,67.0,68.0,67.0,78.0,91.0
178,81.0,67.0,68.0,67.0,78.0,91.0,91.0
179,67.0,68.0,67.0,78.0,91.0,91.0,96.0
180,68.0,67.0,78.0,91.0,91.0,96.0,101.0
181,75.0,68.0,63.0,60.0,55.0,55.0,55.0
182,68.0,63.0,60.0,55.0,55.0,55.0,64.0
183,63.0,60.0,55.0,55.0,55.0,64.0,64.0
184,60.0,55.0,55.0,55.0,64.0,64.0,67.0
185,55.0,55.0,55.0,64.0,64.0,67.0,71.0
186,55.0,55.0,64.0,64.0,67.0,71.0,75.0
187,55.0,64.0,64.0,67.0,71.0,75.0,71.0
188,64.0,64.0,67.0,71.0,75.0,71.0,71.0
189,64.0,67.0,71.0,75.0,71.0,71.0,73.0
190,67.0,71.0,75.0,71.0,71.0,73.0,70.0
191,71.0,75.0,71.0,71.0,73.0,70.0,68.0
192,75.0,71.0,71.0,73.0,70.0,68.0,67.0
193,71.0,71.0,73.0,70.0,68.0,67.0,69.0
194,71.0,73.0,70.0,68.0,67.0,69.0,66.0
195,73.0,70.0,68.0,67.0,69.0,66.0,101.0
196,74.0,54.0,42.0,40.0,35.0,35.0,35.0
197,54.0,42.0,40.0,35.0,35.0,35.0,35.0
198,42.0,40.0,35.0,35.0,35.0,35.0,35.0
199,40.0,35.0,35.0,35.0,35.0,35.0,39.0
200,35.0,35.0,35.0,35.0,35.0,39.0,37.0
201,35.0,35.0,35.0,35.0,39.0,37.0,37.0
202,35.0,35.0,35.0,39.0,37.0,37.0,37.0
203,35.0,35.0,39.0,37.0,37.0,37.0,59.0
204,35.0,39.0,37.0,37.0,37.0,59.0,64.0
205,39.0,37.0,37.0,37.0,59.0,64.0,67.0
206,37.0,37.0,37.0,59.0,64.0,67.0,71.0
207,37.0,37.0,59.0,64.0,67.0,71.0,82.0
208,37.0,59.0,64.0,67.0,71.0,82.0,84.0
209,59.0,64.0,67.0,71.0,82.0,84.0,98.0
210,64.0,67.0,71.0,82.0,84.0,98.0,101.0
211,81.0,97.0,98.0,93.0,86.0,95.0,95.0
212,97.0,98.0,93.0,86.0,95.0,95.0,101.0
213,33.0,33.0,46.0,64.0,78.0,92.0,101.0
214,97.0,88.0,85.0,83.0,84.0,81.0,72.0
215,88.0,85.0,83.0,84.0,81.0,72.0,44.0
216,85.0,83.0,84.0,81.0,72.0,44.0,54.0
