,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
0,24.0,20.0,20.0,17.0,15.0,15.0,16.0,17.0
1,20.0,20.0,17.0,15.0,15.0,16.0,17.0,17.0
2,20.0,17.0,15.0,15.0,16.0,17.0,17.0,23.0
3,17.0,15.0,15.0,16.0,17.0,17.0,23.0,37.0
4,15.0,15.0,16.0,17.0,17.0,23.0,37.0,54.0
5,15.0,16.0,17.0,17.0,23.0,37.0,54.0,60.0
6,16.0,17.0,17.0,23.0,37.0,54.0,60.0,73.0
7,17.0,17.0,23.0,37.0,54.0,60.0,73.0,86.0
8,17.0,23.0,37.0,54.0,60.0,73.0,86.0,95.0
9,23.0,37.0,54.0,60.0,73.0,86.0,95.0,101.0
10,55.0,28.0,18.0,16.0,18.0,20.0,33.0,45.0
11,28.0,18.0,16.0,18.0,20.0,33.0,45.0,61.0
12,18.0,16.0,18.0,20.0,33.0,45.0,61.0,79.0
13,16.0,18.0,20.0,33.0,45.0,61.0,79.0,95.0
14,18.0,20.0,33.0,45.0,61.0,79.0,95.0,101.0
15,42.0,60.0,65.0,60.0,43.0,17.0,19.0,20.0
16,60.0,65.0,60.0,43.0,17.0,19.0,20.0,19.0
17,65.0,60.0,43.0,17.0,19.0,20.0,19.0,19.0
18,60.0,43.0,17.0,19.0,20.0,19.0,19.0,21.0
19,43.0,17.0,19.0,20.0,19.0,19.0,21.0,33.0
20,17.0,19.0,20.0,19.0,19.0,21.0,33.0,54.0
21,19.0,20.0,19.0,19.0,21.0,33.0,54.0,61.0
22,20.0,19.0,19.0,21.0,33.0,54.0,61.0,71.0
23,19.0,19.0,21.0,33.0,54.0,61.0,71.0,85.0
24,19.0,21.0,33.0,54.0,61.0,71.0,85.0,101.0
25,87.0,81.0,73.0,78.0,77.0,77.0,73.0,80.0
26,81.0,73.0,78.0,77.0,77.0,73.0,80.0,82.0
27,73.0,78.0,77.0,77.0,73.0,80.0,82.0,89.0
28,78.0,77.0,77.0,73.0,80.0,82.0,89.0,95.0
29,77.0,77.0,73.0,80.0,82.0,89.0,95.0,95.0
30,77.0,73.0,80.0,82.0,89.0,95.0,95.0,89.0
31,73.0,80.0,82.0,89.0,95.0,95.0,89.0,101.0
32,92.0,90.0,86.0,85.0,79.0,82.0,69.0,64.0
33,90.0,86.0,85.0,79.0,82.0,69.0,64.0,59.0
34,86.0,85.0,79.0,82.0,69.0,64.0,59.0,63.0
35,85.0,79.0,82.0,69.0,64.0,59.0,63.0,59.0
36,79.0,82.0,69.0,64.0,59.0,63.0,59.0,63.0
37,82.0,69.0,64.0,59.0,63.0,59.0,63.0,58.0
38,69.0,64.0,59.0,63.0,59.0,63.0,58.0,72.0
39,64.0,59.0,63.0,59.0,63.0,58.0,72.0,82.0
40,59.0,63.0,59.0,63.0,58.0,72.0,82.0,94.0
41,63.0,59.0,63.0,58.0,72.0,82.0,94.0,101.0
42,97.0,88.0,85.0,83.0,84.0,81.0,72.0,44.0
43,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0
44,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0
45,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0
46,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0
47,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0
48,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0
49,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0
50,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0
51,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0
52,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0
53,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0
54,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0
55,43.0,40.0,36.0,36.0,34.0,39.0,46.0,101.0
56,82.0,87.0,84.0,87.0,81.0,85.0,76.0,77.0
57,87.0,84.0,87.0,81.0,85.0,76.0,77.0,83.0
58,84.0,87.0,81.0,85.0,76.0,77.0,83.0,101.0
59,41.0,67.0,75.0,89.0,75.0,81.0,88.0,93.0
60,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0
61,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0
62,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0
63,75.0,81.0,88.0,93.0,100.0,100.0,97.0,101.0
64,63.0,62.0,58.0,53.0,53.0,44.0,35.0,35.0
65,62.0,58.0,53.0,53.0,44.0,35.0,35.0,35.0
66,58.0,53.0,53.0,44.0,35.0,35.0,35.0,35.0
67,53.0,53.0,44.0,35.0,35.0,35.0,35.0,38.0
68,53.0,44.0,35.0,35.0,35.0,35.0,38.0,37.0
69,44.0,35.0,35.0,35.0,35.0,38.0,37.0,36.0
70,35.0,35.0,35.0,35.0,38.0,37.0,36.0,41.0
71,35.0,35.0,35.0,38.0,37.0,36.0,41.0,44.0
72,35.0,35.0,38.0,37.0,36.0,41.0,44.0,52.0
73,35.0,38.0,37.0,36.0,41.0,44.0,52.0,53.0
74,38.0,37.0,36.0,41.0,44.0,52.0,53.0,59.0
75,37.0,36.0,41.0,44.0,52.0,53.0,59.0,63.0
76,36.0,41.0,44.0,52.0,53.0,59.0,63.0,64.0
77,41.0,44.0,52.0,53.0,59.0,63.0,64.0,101.0
78,88.0,58.0,73.0,75.0,78.0,76.0,74.0,82.0
79,58.0,73.0,75.0,78.0,76.0,74.0,82.0,75.0
80,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0
81,75.0,78.0,76.0,74.0,82.0,75.0,82.0,89.0
82,78.0,76.0,74.0,82.0,75.0,82.0,89.0,92.0
83,76.0,74.0,82.0,75.0,82.0,89.0,92.0,100.0
84,74.0,82.0,75.0,82.0,89.0,92.0,100.0,101.0
85,90.0,90.0,98.0,93.0,91.0,92.0,90.0,101.0
86,91.0,99.0,93.0,90.0,88.0,89.0,86.0,84.0
87,99.0,93.0,90.0,88.0,89.0,86.0,84.0,76.0
88,93.0,90.0,88.0,89.0,86.0,84.0,76.0,85.0
89,90.0,88.0,89.0,86.0,84.0,76.0,85.0,93.0
90,88.0,89.0,86.0,84.0,76.0,85.0,93.0,101.0
91,96.0,81.0,81.0,78.0,85.0,72.0,71.0,64.0
92,81.0,81.0,78.0,85.0,72.0,71.0,64.0,60.0
93,81.0,78.0,85.0,72.0,71.0,64.0,60.0,63.0
94,78.0,85.0,72.0,71.0,64.0,60.0,63.0,69.0
95,85.0,72.0,71.0,64.0,60.0,63.0,69.0,57.0
