,diff_0,diff_1,diff_2,diff_3,diff_4,target
0,75.0,67.0,61.0,54.0,40.0,30.0
1,67.0,61.0,54.0,40.0,30.0,23.0
2,61.0,54.0,40.0,30.0,23.0,23.0
3,54.0,40.0,30.0,23.0,23.0,22.0
4,40.0,30.0,23.0,23.0,22.0,22.0
5,30.0,23.0,23.0,22.0,22.0,25.0
6,23.0,23.0,22.0,22.0,25.0,25.0
7,23.0,22.0,22.0,25.0,25.0,25.0
8,22.0,22.0,25.0,25.0,25.0,24.0
9,22.0,25.0,25.0,25.0,24.0,24.0
10,25.0,25.0,25.0,24.0,24.0,32.0
11,25.0,25.0,24.0,24.0,32.0,41.0
12,25.0,24.0,24.0,32.0,41.0,54.0
13,24.0,24.0,32.0,41.0,54.0,63.0
14,24.0,32.0,41.0,54.0,63.0,72.0
15,32.0,41.0,54.0,63.0,72.0,101.0
16,25.0,17.0,12.0,11.0,8.0,6.0
17,17.0,12.0,11.0,8.0,6.0,5.0
18,12.0,11.0,8.0,6.0,5.0,4.0
19,11.0,8.0,6.0,5.0,4.0,4.0
20,8.0,6.0,5.0,4.0,4.0,4.0
21,6.0,5.0,4.0,4.0,4.0,5.0
22,5.0,4.0,4.0,4.0,5.0,5.0
23,4.0,4.0,4.0,5.0,5.0,6.0
24,4.0,4.0,5.0,5.0,6.0,8.0
25,4.0,5.0,5.0,6.0,8.0,9.0
26,5.0,5.0,6.0,8.0,9.0,10.0
27,5.0,6.0,8.0,9.0,10.0,10.0
28,6.0,8.0,9.0,10.0,10.0,7.0
29,8.0,9.0,10.0,10.0,7.0,7.0
30,9.0,10.0,10.0,7.0,7.0,7.0
31,10.0,10.0,7.0,7.0,7.0,10.0
32,10.0,7.0,7.0,7.0,10.0,43.0
33,7.0,7.0,7.0,10.0,43.0,101.0
34,58.0,55.0,54.0,57.0,67.0,75.0
35,55.0,54.0,57.0,67.0,75.0,77.0
36,54.0,57.0,67.0,75.0,77.0,79.0
37,57.0,67.0,75.0,77.0,79.0,79.0
38,67.0,75.0,77.0,79.0,79.0,83.0
39,75.0,77.0,79.0,79.0,83.0,91.0
40,77.0,79.0,79.0,83.0,91.0,101.0
41,93.0,80.0,63.0,54.0,43.0,32.0
42,80.0,63.0,54.0,43.0,32.0,25.0
43,63.0,54.0,43.0,32.0,25.0,15.0
44,54.0,43.0,32.0,25.0,15.0,12.0
45,43.0,32.0,25.0,15.0,12.0,8.0
46,32.0,25.0,15.0,12.0,8.0,6.0
47,25.0,15.0,12.0,8.0,6.0,4.0
48,15.0,12.0,8.0,6.0,4.0,1.0
49,12.0,8.0,6.0,4.0,1.0,3.0
50,8.0,6.0,4.0,1.0,3.0,6.0
51,6.0,4.0,1.0,3.0,6.0,10.0
52,4.0,1.0,3.0,6.0,10.0,16.0
53,1.0,3.0,6.0,10.0,16.0,25.0
54,3.0,6.0,10.0,16.0,25.0,34.0
55,6.0,10.0,16.0,25.0,34.0,41.0
56,10.0,16.0,25.0,34.0,41.0,51.0
57,16.0,25.0,34.0,41.0,51.0,56.0
58,25.0,34.0,41.0,51.0,56.0,75.0
59,34.0,41.0,51.0,56.0,75.0,87.0
60,41.0,51.0,56.0,75.0,87.0,94.0
61,51.0,56.0,75.0,87.0,94.0,94.0
62,56.0,75.0,87.0,94.0,94.0,101.0
63,53.0,31.0,14.0,4.0,1.0,1.0
64,31.0,14.0,4.0,1.0,1.0,1.0
65,14.0,4.0,1.0,1.0,1.0,1.0
66,4.0,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0,3.0
70,1.0,1.0,1.0,1.0,3.0,6.0
71,1.0,1.0,1.0,3.0,6.0,12.0
72,1.0,1.0,3.0,6.0,12.0,13.0
73,1.0,3.0,6.0,12.0,13.0,23.0
74,3.0,6.0,12.0,13.0,23.0,33.0
75,6.0,12.0,13.0,23.0,33.0,40.0
76,12.0,13.0,23.0,33.0,40.0,46.0
77,13.0,23.0,33.0,40.0,46.0,60.0
78,23.0,33.0,40.0,46.0,60.0,64.0
79,33.0,40.0,46.0,60.0,64.0,75.0
80,40.0,46.0,60.0,64.0,75.0,101.0
81,85.0,76.0,73.0,70.0,75.0,85.0
82,76.0,73.0,70.0,75.0,85.0,94.0
83,73.0,70.0,75.0,85.0,94.0,101.0
84,60.0,57.0,44.0,34.0,35.0,36.0
85,57.0,44.0,34.0,35.0,36.0,30.0
86,44.0,34.0,35.0,36.0,30.0,23.0
87,34.0,35.0,36.0,30.0,23.0,26.0
88,35.0,36.0,30.0,23.0,26.0,28.0
89,36.0,30.0,23.0,26.0,28.0,21.0
90,30.0,23.0,26.0,28.0,21.0,21.0
91,23.0,26.0,28.0,21.0,21.0,8.0
92,26.0,28.0,21.0,21.0,8.0,8.0
93,28.0,21.0,21.0,8.0,8.0,12.0
94,21.0,21.0,8.0,8.0,12.0,14.0
95,21.0,8.0,8.0,12.0,14.0,18.0
96,8.0,8.0,12.0,14.0,18.0,24.0
97,8.0,12.0,14.0,18.0,24.0,29.0
98,12.0,14.0,18.0,24.0,29.0,27.0
99,14.0,18.0,24.0,29.0,27.0,42.0
100,18.0,24.0,29.0,27.0,42.0,44.0
101,24.0,29.0,27.0,42.0,44.0,101.0
102,24.0,24.0,30.0,36.0,37.0,30.0
103,24.0,30.0,36.0,37.0,30.0,23.0
104,30.0,36.0,37.0,30.0,23.0,21.0
105,36.0,37.0,30.0,23.0,21.0,17.0
106,37.0,30.0,23.0,21.0,17.0,17.0
107,30.0,23.0,21.0,17.0,17.0,15.0
108,23.0,21.0,17.0,17.0,15.0,11.0
109,21.0,17.0,17.0,15.0,11.0,11.0
110,17.0,17.0,15.0,11.0,11.0,10.0
111,17.0,15.0,11.0,11.0,10.0,7.0
112,15.0,11.0,11.0,10.0,7.0,7.0
113,11.0,11.0,10.0,7.0,7.0,8.0
114,11.0,10.0,7.0,7.0,8.0,10.0
115,10.0,7.0,7.0,8.0,10.0,11.0
116,7.0,7.0,8.0,10.0,11.0,12.0
117,7.0,8.0,10.0,11.0,12.0,12.0
118,8.0,10.0,11.0,12.0,12.0,17.0
119,10.0,11.0,12.0,12.0,17.0,19.0
120,11.0,12.0,12.0,17.0,19.0,23.0
121,12.0,12.0,17.0,19.0,23.0,33.0
122,12.0,17.0,19.0,23.0,33.0,37.0
123,17.0,19.0,23.0,33.0,37.0,36.0
124,19.0,23.0,33.0,37.0,36.0,49.0
125,23.0,33.0,37.0,36.0,49.0,101.0
126,100.0,99.0,96.0,76.0,55.0,37.0
127,99.0,96.0,76.0,55.0,37.0,101.0
128,84.0,78.0,74.0,74.0,77.0,79.0
129,78.0,74.0,74.0,77.0,79.0,76.0
130,74.0,74.0,77.0,79.0,76.0,70.0
131,74.0,77.0,79.0,76.0,70.0,70.0
132,77.0,79.0,76.0,70.0,70.0,73.0
133,79.0,76.0,70.0,70.0,73.0,71.0
134,76.0,70.0,70.0,73.0,71.0,77.0
135,70.0,70.0,73.0,71.0,77.0,81.0
136,70.0,73.0,71.0,77.0,81.0,67.0
137,73.0,71.0,77.0,81.0,67.0,68.0
138,71.0,77.0,81.0,67.0,68.0,67.0
139,77.0,81.0,67.0,68.0,67.0,78.0
140,81.0,67.0,68.0,67.0,78.0,91.0
141,67.0,68.0,67.0,78.0,91.0,91.0
142,68.0,67.0,78.0,91.0,91.0,96.0
143,67.0,78.0,91.0,91.0,96.0,101.0
144,75.0,68.0,63.0,60.0,55.0,55.0
145,68.0,63.0,60.0,55.0,55.0,55.0
146,63.0,60.0,55.0,55.0,55.0,64.0
147,60.0,55.0,55.0,55.0,64.0,64.0
148,55.0,55.0,55.0,64.0,64.0,67.0
149,55.0,55.0,64.0,64.0,67.0,71.0
150,55.0,64.0,64.0,67.0,71.0,75.0
151,64.0,64.0,67.0,71.0,75.0,71.0
152,64.0,67.0,71.0,75.0,71.0,71.0
153,67.0,71.0,75.0,71.0,71.0,73.0
154,71.0,75.0,71.0,71.0,73.0,70.0
155,75.0,71.0,71.0,73.0,70.0,68.0
156,71.0,71.0,73.0,70.0,68.0,67.0
157,71.0,73.0,70.0,68.0,67.0,69.0
158,73.0,70.0,68.0,67.0,69.0,66.0
159,70.0,68.0,67.0,69.0,66.0,101.0
160,74.0,54.0,42.0,40.0,35.0,35.0
161,54.0,42.0,40.0,35.0,35.0,35.0
162,42.0,40.0,35.0,35.0,35.0,35.0
163,40.0,35.0,35.0,35.0,35.0,35.0
164,35.0,35.0,35.0,35.0,35.0,39.0
165,35.0,35.0,35.0,35.0,39.0,37.0
166,35.0,35.0,35.0,39.0,37.0,37.0
167,35.0,35.0,39.0,37.0,37.0,37.0
168,35.0,39.0,37.0,37.0,37.0,59.0
169,39.0,37.0,37.0,37.0,59.0,64.0
