,diff_0,diff_1,target
0,24.0,20.0,20.0
1,20.0,20.0,17.0
2,20.0,17.0,15.0
3,17.0,15.0,15.0
4,15.0,15.0,16.0
5,15.0,16.0,17.0
6,16.0,17.0,17.0
7,17.0,17.0,23.0
8,17.0,23.0,37.0
9,23.0,37.0,54.0
10,37.0,54.0,60.0
11,54.0,60.0,73.0
12,60.0,73.0,86.0
13,73.0,86.0,95.0
14,86.0,95.0,101.0
15,55.0,28.0,18.0
16,28.0,18.0,16.0
17,18.0,16.0,18.0
18,16.0,18.0,20.0
19,18.0,20.0,33.0
20,20.0,33.0,45.0
21,33.0,45.0,61.0
22,45.0,61.0,79.0
23,61.0,79.0,95.0
24,79.0,95.0,101.0
25,42.0,60.0,65.0
26,60.0,65.0,60.0
27,65.0,60.0,43.0
28,60.0,43.0,17.0
29,43.0,17.0,19.0
30,17.0,19.0,20.0
31,19.0,20.0,19.0
32,20.0,19.0,19.0
33,19.0,19.0,21.0
34,19.0,21.0,33.0
35,21.0,33.0,54.0
36,33.0,54.0,61.0
37,54.0,61.0,71.0
38,61.0,71.0,85.0
39,71.0,85.0,101.0
40,98.0,100.0,94.0
41,100.0,94.0,89.0
42,94.0,89.0,93.0
43,89.0,93.0,101.0
44,87.0,81.0,73.0
45,81.0,73.0,78.0
46,73.0,78.0,77.0
47,78.0,77.0,77.0
48,77.0,77.0,73.0
49,77.0,73.0,80.0
50,73.0,80.0,82.0
51,80.0,82.0,89.0
52,82.0,89.0,95.0
53,89.0,95.0,95.0
54,95.0,95.0,89.0
55,95.0,89.0,101.0
56,92.0,90.0,86.0
57,90.0,86.0,85.0
58,86.0,85.0,79.0
59,85.0,79.0,82.0
60,79.0,82.0,69.0
61,82.0,69.0,64.0
62,69.0,64.0,59.0
63,64.0,59.0,63.0
64,59.0,63.0,59.0
65,63.0,59.0,63.0
66,59.0,63.0,58.0
67,63.0,58.0,72.0
68,58.0,72.0,82.0
69,72.0,82.0,94.0
70,82.0,94.0,101.0
71,95.0,95.0,101.0
72,35.0,70.0,91.0
73,70.0,91.0,100.0
74,91.0,100.0,101.0
75,97.0,88.0,85.0
76,88.0,85.0,83.0
77,85.0,83.0,84.0
78,83.0,84.0,81.0
79,84.0,81.0,72.0
80,81.0,72.0,44.0
81,72.0,44.0,54.0
82,44.0,54.0,55.0
83,54.0,55.0,51.0
84,55.0,51.0,48.0
85,51.0,48.0,45.0
86,48.0,45.0,43.0
87,45.0,43.0,40.0
88,43.0,40.0,36.0
89,40.0,36.0,36.0
90,36.0,36.0,34.0
91,36.0,34.0,39.0
92,34.0,39.0,46.0
93,39.0,46.0,101.0
94,82.0,87.0,84.0
95,87.0,84.0,87.0
96,84.0,87.0,81.0
97,87.0,81.0,85.0
98,81.0,85.0,76.0
99,85.0,76.0,77.0
100,76.0,77.0,83.0
101,77.0,83.0,101.0
102,41.0,67.0,75.0
103,67.0,75.0,89.0
104,75.0,89.0,75.0
